model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,forecast/mae,0.305122047662735,1.0,711,43
ft_0,val_base,val,forecast/mae,0.2712697684764862,0.8890533167119171,711,43
ft_1,val_base,val,forecast/mae,0.3095458745956421,1.0144985489144231,711,43
ft_2,val_base,val,forecast/mae,0.3264021873474121,1.0697430416703253,711,43
merged,val_base,val,forecast/mae,0.28653815388679504,0.939093572823418,711,43
base,val_base,val,forecast/mse,0.13868334889411926,1.0,711,43
ft_0,val_base,val,forecast/mse,0.10494321584701538,0.7567110016007509,711,43
ft_1,val_base,val,forecast/mse,0.13779225945472717,0.993574647234165,711,43
ft_2,val_base,val,forecast/mse,0.15352310240268707,1.107004580051622,711,43
merged,val_base,val,forecast/mse,0.11682461947202682,0.8423838939829688,711,43
base,val_base,val,forecast/rmse,0.37240213331037625,1.0,711,43
ft_0,val_base,val,forecast/rmse,0.32394940322065013,0.869891373448864,711,43
ft_1,val_base,val,forecast/rmse,0.3712037977374789,0.9967821463259487,711,43
ft_2,val_base,val,forecast/rmse,0.3918202424616256,1.0521428515423286,711,43
merged,val_base,val,forecast/rmse,0.3417961665554879,0.9178147383775055,711,43
base,val_0,val,forecast/mae,0.3619745671749115,1.0,206,43
ft_0,val_0,val,forecast/mae,0.1624060571193695,0.4486670386455424,206,43
ft_1,val_0,val,forecast/mae,0.21142086386680603,0.5840765706742163,206,43
ft_2,val_0,val,forecast/mae,0.4357440173625946,1.2037973296395617,206,43
merged,val_0,val,forecast/mae,0.16371822357177734,0.45229206253230014,206,43
base,val_0,val,forecast/mse,0.16499637067317963,1.0,206,43
ft_0,val_0,val,forecast/mse,0.0386209636926651,0.23407159524232485,206,43
ft_1,val_0,val,forecast/mse,0.06657931208610535,0.4035198581306001,206,43
ft_2,val_0,val,forecast/mse,0.2771560251712799,1.6797704339828365,206,43
merged,val_0,val,forecast/mse,0.03796089440584183,0.23007108732733125,206,43
base,val_0,val,forecast/rmse,0.40619745281473596,1.0,206,43
ft_0,val_0,val,forecast/rmse,0.19652217099519612,0.4838094617122787,206,43
ft_1,val_0,val,forecast/rmse,0.2580296728791194,0.6352321293280119,206,43
ft_2,val_0,val,forecast/rmse,0.5264560999468806,1.2960595796424008,206,43
merged,val_0,val,forecast/rmse,0.19483555734475633,0.4796572602675073,206,43
base,val_1,val,forecast/mae,0.3678695857524872,1.0,206,43
ft_0,val_1,val,forecast/mae,0.27881956100463867,0.7579304509077741,206,43
ft_1,val_1,val,forecast/mae,0.3013586699962616,0.8191997427018173,206,43
ft_2,val_1,val,forecast/mae,0.2532416582107544,0.688400639842899,206,43
merged,val_1,val,forecast/mae,0.29045578837394714,0.7895618437164681,206,43
base,val_1,val,forecast/mse,0.18804879486560822,1.0,206,43
ft_0,val_1,val,forecast/mse,0.1236543357372284,0.657565159221572,206,43
ft_1,val_1,val,forecast/mse,0.13306409120559692,0.707604062555642,206,43
ft_2,val_1,val,forecast/mse,0.11154986917972565,0.5931964055363735,206,43
merged,val_1,val,forecast/mse,0.11792303621768951,0.6270874338863215,206,43
base,val_1,val,forecast/rmse,0.4336459326058625,1.0,206,43
ft_0,val_1,val,forecast/rmse,0.3516451844362843,0.8109039149132109,206,43
ft_1,val_1,val,forecast/rmse,0.36477951039716705,0.8411920485570711,206,43
ft_2,val_1,val,forecast/rmse,0.33399082199923646,0.7701924470782439,206,43
merged,val_1,val,forecast/rmse,0.34339923735746636,0.7918885236485761,206,43
base,val_2,val,forecast/mae,1.104335904121399,1.0,206,43
ft_0,val_2,val,forecast/mae,1.0512841939926147,0.9519605312742306,206,43
ft_1,val_2,val,forecast/mae,0.9676529765129089,0.8762306585356981,206,43
ft_2,val_2,val,forecast/mae,0.21393036842346191,0.19371856662911205,206,43
merged,val_2,val,forecast/mae,0.5210437178611755,0.47181633406704626,206,43
base,val_2,val,forecast/mse,1.5831420421600342,1.0,206,43
ft_0,val_2,val,forecast/mse,1.28354012966156,0.8107548757345246,206,43
ft_1,val_2,val,forecast/mse,1.1290637254714966,0.7131790423119617,206,43
ft_2,val_2,val,forecast/mse,0.06167592480778694,0.03895792238808622,206,43
merged,val_2,val,forecast/mse,0.3291609585285187,0.20791625120346907,206,43
base,val_2,val,forecast/rmse,1.2582297255112176,1.0,206,43
ft_0,val_2,val,forecast/rmse,1.1329343006818886,0.9004192777448319,206,43
ft_1,val_2,val,forecast/rmse,1.0625741035200775,0.8444992849682952,206,43
ft_2,val_2,val,forecast/rmse,0.2483463807020085,0.19737761369538906,206,43
merged,val_2,val,forecast/rmse,0.5737255079988327,0.4559783451036563,206,43
base,test,test,forecast/mae,0.6990646719932556,1.0,1470,43
ft_0,test,test,forecast/mae,0.6754263043403625,0.9661857212931494,1470,43
ft_1,test,test,forecast/mae,0.625255286693573,0.894416942728305,1470,43
ft_2,test,test,forecast/mae,0.5986059904098511,0.856295582357259,1470,43
merged,test,test,forecast/mae,0.49795928597450256,0.7123222012559473,1470,43
standard,test,test,forecast/mae,0.5323244333267212,0.7614809539851227,1470,43
base,test,test,forecast/mse,0.7753642797470093,1.0,1470,43
ft_0,test,test,forecast/mse,0.6854695081710815,0.8840612420199971,1470,43
ft_1,test,test,forecast/mse,0.5727473497390747,0.7386816296540696,1470,43
ft_2,test,test,forecast/mse,0.575150728225708,0.7417813062182486,1470,43
merged,test,test,forecast/mse,0.3419634699821472,0.4410358832802115,1470,43
standard,test,test,forecast/mse,0.4356326460838318,0.5618425525431385,1470,43
base,test,test,forecast/rmse,0.880547715769571,1.0,1470,43
ft_0,test,test,forecast/rmse,0.8279308595354334,0.9402453094910909,1470,43
ft_1,test,test,forecast/rmse,0.7568007331782091,0.8594658979005914,1470,43
ft_2,test,test,forecast/rmse,0.758386925141585,0.8612672675878543,1470,43
merged,test,test,forecast/rmse,0.5847764273482193,0.6641053254418394,1470,43
standard,test,test,forecast/rmse,0.6600247314183249,0.7495615735502579,1470,43
