merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,forecast/mse,0.7390707731246948,1470,124
0.0,test,test,forecast/rmse,0.8596922548939794,1470,124
0.0,test,test,forecast/mae,0.675934374332428,1470,124
0.0,val_0,val,forecast/mse,0.1648414582014084,206,124
0.0,val_0,val,forecast/rmse,0.40600672186727205,206,124
0.0,val_0,val,forecast/mae,0.36289000511169434,206,124
0.0,val_1,val,forecast/mse,0.19857020676136017,206,124
0.0,val_1,val,forecast/rmse,0.4456121707958168,206,124
0.0,val_1,val,forecast/mae,0.3772878646850586,206,124
0.0,val_2,val,forecast/mse,1.65811288356781,206,124
0.0,val_2,val,forecast/rmse,1.2876773212135912,206,124
0.0,val_2,val,forecast/mae,1.150151014328003,206,124
0.0,val_base,val,forecast/mse,0.13959412276744843,711,124
0.0,val_base,val,forecast/rmse,0.37362296873646356,711,124
0.0,val_base,val,forecast/mae,0.30226191878318787,711,124
0.1,test,test,forecast/mse,0.5687726140022278,1470,124
0.1,test,test,forecast/rmse,0.7541701492383717,1470,124
0.1,test,test,forecast/mae,0.6042219400405884,1470,124
0.1,val_0,val,forecast/mse,0.10992609709501266,206,124
0.1,val_0,val,forecast/rmse,0.3315510474949712,206,124
0.1,val_0,val,forecast/mae,0.2917763590812683,206,124
0.1,val_1,val,forecast/mse,0.12234271317720413,206,124
0.1,val_1,val,forecast/rmse,0.34977523236673597,206,124
0.1,val_1,val,forecast/mae,0.28414422273635864,206,124
0.1,val_2,val,forecast/mse,1.245167851448059,206,124
0.1,val_2,val,forecast/rmse,1.115870893718471,206,124
0.1,val_2,val,forecast/mae,1.013454556465149,206,124
0.1,val_base,val,forecast/mse,0.12174094468355179,711,124
0.1,val_base,val,forecast/rmse,0.34891395025643757,711,124
0.1,val_base,val,forecast/mae,0.2796904146671295,711,124
0.2,test,test,forecast/mse,0.4425344467163086,1470,124
0.2,test,test,forecast/rmse,0.6652326260161242,1470,124
0.2,test,test,forecast/mae,0.5449252724647522,1470,124
0.2,val_0,val,forecast/mse,0.06973030418157578,206,124
0.2,val_0,val,forecast/rmse,0.2640649620483107,206,124
0.2,val_0,val,forecast/mae,0.2239203304052353,206,124
0.2,val_1,val,forecast/mse,0.07814808934926987,206,124
0.2,val_1,val,forecast/rmse,0.2795497976197977,206,124
0.2,val_1,val,forecast/mae,0.21544432640075684,206,124
0.2,val_2,val,forecast/mse,0.906244695186615,206,124
0.2,val_2,val,forecast/rmse,0.9519688520044208,206,124
0.2,val_2,val,forecast/mae,0.8750568628311157,206,124
0.2,val_base,val,forecast/mse,0.11109650135040283,711,124
0.2,val_base,val,forecast/rmse,0.3333114179718463,711,124
0.2,val_base,val,forecast/mae,0.26820316910743713,711,124
0.3,test,test,forecast/mse,0.37308934330940247,1470,124
0.3,test,test,forecast/rmse,0.6108103988222552,1470,124
0.3,test,test,forecast/mae,0.5179082751274109,1470,124
0.3,val_0,val,forecast/mse,0.044591642916202545,206,124
0.3,val_0,val,forecast/rmse,0.21116733392312967,206,124
0.3,val_0,val,forecast/mae,0.17204411327838898,206,124
0.3,val_1,val,forecast/mse,0.07401587069034576,206,124
0.3,val_1,val,forecast/rmse,0.2720585795198265,206,124
0.3,val_1,val,forecast/mae,0.21325643360614777,206,124
0.3,val_2,val,forecast/mse,0.6588347554206848,206,124
0.3,val_2,val,forecast/rmse,0.8116863651809637,206,124
0.3,val_2,val,forecast/mae,0.7471083402633667,206,124
0.3,val_base,val,forecast/mse,0.10571525245904922,711,124
0.3,val_base,val,forecast/rmse,0.32513882028919466,711,124
0.3,val_base,val,forecast/mae,0.2643912434577942,711,124
0.4,test,test,forecast/mse,0.3637118935585022,1470,124
0.4,test,test,forecast/rmse,0.603085312006935,1470,124
0.4,test,test,forecast/mae,0.5188265442848206,1470,124
0.4,val_0,val,forecast/mse,0.032193608582019806,206,124
0.4,val_0,val,forecast/rmse,0.17942577457550463,206,124
0.4,val_0,val,forecast/mae,0.14593279361724854,206,124
0.4,val_1,val,forecast/mse,0.10678421705961227,206,124
0.4,val_1,val,forecast/rmse,0.3267785443685253,206,124
0.4,val_1,val,forecast/mae,0.2736237049102783,206,124
0.4,val_2,val,forecast/mse,0.49143651127815247,206,124
0.4,val_2,val,forecast/rmse,0.7010253285567879,206,124
0.4,val_2,val,forecast/mae,0.6379152536392212,206,124
0.4,val_base,val,forecast/mse,0.10396566241979599,711,124
0.4,val_base,val,forecast/rmse,0.3224370673787305,711,124
0.4,val_base,val,forecast/mae,0.26473918557167053,711,124
0.5,test,test,forecast/mse,0.4007900357246399,1470,124
0.5,test,test,forecast/rmse,0.6330798020191767,1470,124
0.5,test,test,forecast/mae,0.537554144859314,1470,124
0.5,val_0,val,forecast/mse,0.029569774866104126,206,124
0.5,val_0,val,forecast/rmse,0.17195864289445914,206,124
0.5,val_0,val,forecast/mae,0.14101476967334747,206,124
0.5,val_1,val,forecast/mse,0.16637958586215973,206,124
0.5,val_1,val,forecast/rmse,0.40789653818359345,206,124
0.5,val_1,val,forecast/mae,0.3510385751724243,206,124
0.5,val_2,val,forecast/mse,0.3800617456436157,206,124
0.5,val_2,val,forecast/rmse,0.6164914805928917,206,124
0.5,val_2,val,forecast/mae,0.5510745644569397,206,124
0.5,val_base,val,forecast/mse,0.10487718880176544,711,124
0.5,val_base,val,forecast/rmse,0.32384747768319183,711,124
0.5,val_base,val,forecast/mae,0.26763439178466797,711,124
0.6,test,test,forecast/mse,0.46340033411979675,1470,124
0.6,test,test,forecast/rmse,0.680735142415754,1470,124
0.6,test,test,forecast/mae,0.563369870185852,1470,124
0.6,val_0,val,forecast/mse,0.03509415313601494,206,124
0.6,val_0,val,forecast/rmse,0.18733433517648318,206,124
0.6,val_0,val,forecast/mae,0.15368005633354187,206,124
0.6,val_1,val,forecast/mse,0.23763129115104675,206,124
0.6,val_1,val,forecast/rmse,0.4874744005084234,206,124
0.6,val_1,val,forecast/mae,0.42638054490089417,206,124
0.6,val_2,val,forecast/mse,0.2997385561466217,206,124
0.6,val_2,val,forecast/rmse,0.5474838409913316,206,124
