model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,forecast/mae,0.3068266212940216,1.0,711,124
ft_0,val_base,val,forecast/mae,0.28142744302749634,0.9172197700466607,711,124
ft_1,val_base,val,forecast/mae,0.29132208228111267,0.9494680776149099,711,124
ft_2,val_base,val,forecast/mae,0.3287073075771332,1.071312867804075,711,124
merged,val_base,val,forecast/mae,0.285476952791214,0.9304178092084489,711,124
base,val_base,val,forecast/mse,0.14126378297805786,1.0,711,124
ft_0,val_base,val,forecast/mse,0.1123523935675621,0.7953375677686156,711,124
ft_1,val_base,val,forecast/mse,0.13053110241889954,0.9240238344684185,711,124
ft_2,val_base,val,forecast/mse,0.1548253446817398,1.0960016885983326,711,124
merged,val_base,val,forecast/mse,0.1155354455113411,0.817870250078797,711,124
base,val_base,val,forecast/rmse,0.37585074561327914,1.0,711,124
ft_0,val_base,val,forecast/rmse,0.3351900857238503,0.8918170035206862,711,124
ft_1,val_base,val,forecast/rmse,0.3612908833874715,0.9612615848292381,711,124
ft_2,val_base,val,forecast/rmse,0.3934785187043123,1.0469009927392048,711,124
merged,val_base,val,forecast/rmse,0.33990505367137613,0.9043617915849812,711,124
base,val_0,val,forecast/mae,0.373081237077713,1.0,206,124
ft_0,val_0,val,forecast/mae,0.14987342059612274,0.40171792548469554,206,124
ft_1,val_0,val,forecast/mae,0.1924258917570114,0.5157747767329532,206,124
ft_2,val_0,val,forecast/mae,0.4546332061290741,1.2185903791092387,206,124
merged,val_0,val,forecast/mae,0.13565132021903992,0.36359727249104107,206,124
base,val_0,val,forecast/mse,0.1745801717042923,1.0,206,124
ft_0,val_0,val,forecast/mse,0.034512318670749664,0.1976875055960386,206,124
ft_1,val_0,val,forecast/mse,0.055030521005392075,0.3152163299426923,206,124
ft_2,val_0,val,forecast/mse,0.277470201253891,1.589356904310279,206,124
merged,val_0,val,forecast/mse,0.026962298899888992,0.15444078578155096,206,124
base,val_0,val,forecast/rmse,0.4178279211640748,1.0,206,124
ft_0,val_0,val,forecast/rmse,0.18577491399742233,0.4446206310958125,206,124
ft_1,val_0,val,forecast/rmse,0.2345858499683902,0.5614412969694091,206,124
ft_2,val_0,val,forecast/rmse,0.5267544031651668,1.2606969914734782,206,124
merged,val_0,val,forecast/rmse,0.16420200638204452,0.39298954920143986,206,124
base,val_1,val,forecast/mae,0.32305964827537537,1.0,206,124
ft_0,val_1,val,forecast/mae,0.26432836055755615,0.8182029602540866,206,124
ft_1,val_1,val,forecast/mae,0.27106162905693054,0.8390451438425333,206,124
ft_2,val_1,val,forecast/mae,0.30130934715270996,0.9326740394884431,206,124
merged,val_1,val,forecast/mae,0.307279497385025,0.9511540640417606,206,124
base,val_1,val,forecast/mse,0.16464243829250336,1.0,206,124
ft_0,val_1,val,forecast/mse,0.11146941781044006,0.6770394010589407,206,124
ft_1,val_1,val,forecast/mse,0.11062982678413391,0.6719399198133182,206,124
ft_2,val_1,val,forecast/mse,0.1723840981721878,1.0470210473069563,206,124
merged,val_1,val,forecast/mse,0.1300159990787506,0.7896870359011843,206,124
base,val_1,val,forecast/rmse,0.40576155349232307,1.0,206,124
ft_0,val_1,val,forecast/rmse,0.33387036078460164,0.822824040156181,206,124
ft_1,val_1,val,forecast/rmse,0.33261062337834896,0.8197194152960623,206,124
ft_2,val_1,val,forecast/rmse,0.4151916402966079,1.0232404640684205,206,124
merged,val_1,val,forecast/rmse,0.3605773135941176,0.8886433682311393,206,124
base,val_2,val,forecast/mae,1.0863521099090576,1.0,206,124
ft_0,val_2,val,forecast/mae,1.0060679912567139,0.9260975167074839,206,124
ft_1,val_2,val,forecast/mae,0.8943416476249695,0.8232520924544787,206,124
ft_2,val_2,val,forecast/mae,0.2311575710773468,0.21278328542731675,206,124
merged,val_2,val,forecast/mae,0.5118432641029358,0.47115779445191486,206,124
base,val_2,val,forecast/mse,1.4468339681625366,1.0,206,124
ft_0,val_2,val,forecast/mse,1.1259126663208008,0.778190650134305,206,124
ft_1,val_2,val,forecast/mse,0.9558866024017334,0.660674703135218,206,124
ft_2,val_2,val,forecast/mse,0.07809144258499146,0.053974017961554176,206,124
merged,val_2,val,forecast/mse,0.3151957094669342,0.21785202476772736,206,124
base,val_2,val,forecast/rmse,1.2028441163187094,1.0,206,124
ft_0,val_2,val,forecast/rmse,1.0610903195867922,0.8821511492563534,206,124
ft_1,val_2,val,forecast/rmse,0.9776945343008384,0.812818985466763,206,124
ft_2,val_2,val,forecast/rmse,0.27944846141102914,0.23232308960056933,206,124
merged,val_2,val,forecast/rmse,0.561422932793927,0.46674621023392077,206,124
base,test,test,forecast/mae,0.6742931604385376,1.0,1470,124
ft_0,test,test,forecast/mae,0.6387733221054077,0.947322855373427,1470,124
ft_1,test,test,forecast/mae,0.5484780669212341,0.813411879433157,1470,124
ft_2,test,test,forecast/mae,0.5464737415313721,0.8104393957903472,1470,124
merged,test,test,forecast/mae,0.5013071894645691,0.7434558421718763,1470,124
standard,test,test,forecast/mae,0.5050237774848938,0.7489676703178234,1470,124
base,test,test,forecast/mse,0.7006294131278992,1.0,1470,124
ft_0,test,test,forecast/mse,0.6131775975227356,0.8751810672424634,1470,124
ft_1,test,test,forecast/mse,0.4430171847343445,0.6323131407751392,1470,124
ft_2,test,test,forecast/mse,0.48890063166618347,0.6978020370048826,1470,124
merged,test,test,forecast/mse,0.3561879098415375,0.5083827529469074,1470,124
standard,test,test,forecast/mse,0.39490312337875366,0.563640515198674,1470,124
base,test,test,forecast/rmse,0.8370360883067702,1.0,1470,124
ft_0,test,test,forecast/rmse,0.7830565736412253,0.9355111261991829,1470,124
ft_1,test,test,forecast/rmse,0.6655953611123987,0.7951811999633411,1470,124
ft_2,test,test,forecast/rmse,0.6992142959538109,0.8353454596781397,1470,124
merged,test,test,forecast/rmse,0.5968148036380612,0.7130096443575692,1470,124
standard,test,test,forecast/rmse,0.6284131788709986,0.7507599584412277,1470,124
