merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,forecast/mse,0.7033295035362244,1470,43
0.0,test,test,forecast/rmse,0.8386474250459631,1470,43
0.0,test,test,forecast/mae,0.6752908825874329,1470,43
0.0,val_0,val,forecast/mse,0.16288228332996368,206,43
0.0,val_0,val,forecast/rmse,0.40358677298688034,206,43
0.0,val_0,val,forecast/mae,0.3558635115623474,206,43
0.0,val_1,val,forecast/mse,0.1995132565498352,206,43
0.0,val_1,val,forecast/rmse,0.44666906827072234,206,43
0.0,val_1,val,forecast/mae,0.3457163870334625,206,43
0.0,val_2,val,forecast/mse,1.5057001113891602,206,43
0.0,val_2,val,forecast/rmse,1.227069725561331,206,43
0.0,val_2,val,forecast/mae,1.0886715650558472,206,43
0.0,val_base,val,forecast/mse,0.14096203446388245,711,43
0.0,val_base,val,forecast/rmse,0.37544911035169926,711,43
0.0,val_base,val,forecast/mae,0.3124808371067047,711,43
0.1,test,test,forecast/mse,0.5340621471405029,1470,43
0.1,test,test,forecast/rmse,0.7307955576907286,1470,43
0.1,test,test,forecast/mae,0.5918744802474976,1470,43
0.1,val_0,val,forecast/mse,0.11068543046712875,206,43
0.1,val_0,val,forecast/rmse,0.3326941996295228,206,43
0.1,val_0,val,forecast/mae,0.2878507375717163,206,43
0.1,val_1,val,forecast/mse,0.13868913054466248,206,43
0.1,val_1,val,forecast/rmse,0.3724098958737032,206,43
0.1,val_1,val,forecast/mae,0.285927951335907,206,43
0.1,val_2,val,forecast/mse,1.1323928833007812,206,43
0.1,val_2,val,forecast/rmse,1.0641395036839771,206,43
0.1,val_2,val,forecast/mae,0.9545743465423584,206,43
0.1,val_base,val,forecast/mse,0.1256626397371292,711,43
0.1,val_base,val,forecast/rmse,0.35448926603936715,711,43
0.1,val_base,val,forecast/mae,0.2964002788066864,711,43
0.2,test,test,forecast/mse,0.40694373846054077,1470,43
0.2,test,test,forecast/rmse,0.6379214202866531,1470,43
0.2,test,test,forecast/mae,0.5231086015701294,1470,43
0.2,val_0,val,forecast/mse,0.07036134600639343,206,43
0.2,val_0,val,forecast/rmse,0.2652571318671629,206,43
0.2,val_0,val,forecast/mae,0.2218218594789505,206,43
0.2,val_1,val,forecast/mse,0.09846123307943344,206,43
0.2,val_1,val,forecast/rmse,0.313785329611557,206,43
0.2,val_1,val,forecast/mae,0.2390609085559845,206,43
0.2,val_2,val,forecast/mse,0.824759840965271,206,43
0.2,val_2,val,forecast/rmse,0.9081628934091455,206,43
0.2,val_2,val,forecast/mae,0.8243160843849182,206,43
0.2,val_base,val,forecast/mse,0.11666201800107956,711,43
0.2,val_base,val,forecast/rmse,0.3415582205145699,711,43
0.2,val_base,val,forecast/mae,0.2873900830745697,711,43
0.3,test,test,forecast/mse,0.33188891410827637,1470,43
0.3,test,test,forecast/rmse,0.5760980073809285,1470,43
0.3,test,test,forecast/mae,0.4886399209499359,1470,43
0.3,val_0,val,forecast/mse,0.044405385851860046,206,43
0.3,val_0,val,forecast/rmse,0.2107258547304057,206,43
0.3,val_0,val,forecast/mae,0.17103636264801025,206,43
0.3,val_1,val,forecast/mse,0.08151112496852875,206,43
0.3,val_1,val,forecast/rmse,0.28550153234007125,206,43
0.3,val_1,val,forecast/mae,0.22842136025428772,206,43
0.3,val_2,val,forecast/mse,0.5913170576095581,206,43
0.3,val_2,val,forecast/rmse,0.7689714283440953,206,43
0.3,val_2,val,forecast/mae,0.7055784463882446,206,43
0.3,val_base,val,forecast/mse,0.1130097508430481,711,43
0.3,val_base,val,forecast/rmse,0.33616922947088435,711,43
0.3,val_base,val,forecast/mae,0.28444164991378784,711,43
0.4,test,test,forecast/mse,0.3097909390926361,1470,43
0.4,test,test,forecast/rmse,0.5565886623824061,1470,43
0.4,test,test,forecast/mae,0.47841939330101013,1470,43
0.4,val_0,val,forecast/mse,0.034975796937942505,206,43
0.4,val_0,val,forecast/rmse,0.1870181727478442,206,43
0.4,val_0,val,forecast/mae,0.15308572351932526,206,43
0.4,val_1,val,forecast/mse,0.08650165051221848,206,43
0.4,val_1,val,forecast/rmse,0.29411162933862117,206,43
0.4,val_1,val,forecast/mae,0.24513424932956696,206,43
0.4,val_2,val,forecast/mse,0.42611175775527954,206,43
0.4,val_2,val,forecast/rmse,0.6527723628917508,206,43
0.4,val_2,val,forecast/mae,0.6025261878967285,206,43
0.4,val_base,val,forecast/mse,0.11373641341924667,711,43
0.4,val_base,val,forecast/rmse,0.3372482963919116,711,43
0.4,val_base,val,forecast/mae,0.28602105379104614,711,43
0.5,test,test,forecast/mse,0.3333456814289093,1470,43
0.5,test,test,forecast/rmse,0.577360962855049,1470,43
0.5,test,test,forecast/mae,0.484504759311676,1470,43
0.5,val_0,val,forecast/mse,0.04352425038814545,206,43
0.5,val_0,val,forecast/rmse,0.20862466390181542,206,43
0.5,val_0,val,forecast/mae,0.16782695055007935,206,43
0.5,val_1,val,forecast/mse,0.109136663377285,206,43
0.5,val_1,val,forecast/rmse,0.33035838626752767,206,43
0.5,val_1,val,forecast/mae,0.2729172110557556,206,43
0.5,val_2,val,forecast/mse,0.31474751234054565,206,43
0.5,val_2,val,forecast/rmse,0.5610236290394065,206,43
