model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,forecast/mae,0.4031299352645874,1.0,926,124
ft_0,val_base,val,forecast/mae,0.4647440016269684,1.152839223715653,926,124
ft_1,val_base,val,forecast/mae,0.40230026841163635,0.9979419368784744,926,124
ft_2,val_base,val,forecast/mae,0.43762001395225525,1.0855557369239546,926,124
merged,val_base,val,forecast/mae,0.6636707186698914,1.646294806249758,926,124
base,val_base,val,forecast/mse,0.33460116386413574,1.0,926,124
ft_0,val_base,val,forecast/mse,0.4025121331214905,1.2029609475146055,926,124
ft_1,val_base,val,forecast/mse,0.32492753863334656,0.9710890867232095,926,124
ft_2,val_base,val,forecast/mse,0.3574892282485962,1.068404019042068,926,124
merged,val_base,val,forecast/mse,0.7751955389976501,2.316774783582095,926,124
base,val_base,val,forecast/rmse,0.5784472005845787,1.0,926,124
ft_0,val_base,val,forecast/rmse,0.6344384391897219,1.0967957638113877,926,124
ft_1,val_base,val,forecast/rmse,0.5700241561840573,0.9854385250857658,926,124
ft_2,val_base,val,forecast/rmse,0.5979040292961707,1.0336363088833846,926,124
merged,val_base,val,forecast/rmse,0.8804518947663468,1.5220955238033174,926,124
base,val_0,val,forecast/mae,0.6527470350265503,1.0,229,124
ft_0,val_0,val,forecast/mae,0.5358826518058777,0.8209652791208478,229,124
ft_1,val_0,val,forecast/mae,0.48458290100097656,0.7423747255799734,229,124
ft_2,val_0,val,forecast/mae,0.5453727841377258,0.8355040388893424,229,124
merged,val_0,val,forecast/mae,0.6258612275123596,0.9588112912483822,229,124
base,val_0,val,forecast/mse,0.7139962315559387,1.0,229,124
ft_0,val_0,val,forecast/mse,0.5344703793525696,0.7485619051347836,229,124
ft_1,val_0,val,forecast/mse,0.4361587166786194,0.6108697740997084,229,124
ft_2,val_0,val,forecast/mse,0.49861040711402893,0.6983375892999582,229,124
merged,val_0,val,forecast/mse,0.6455006003379822,0.9040672370655359,229,124
base,val_0,val,forecast/rmse,0.8449829770805675,1.0,229,124
ft_0,val_0,val,forecast/rmse,0.731074811050531,0.8651947209355727,229,124
ft_1,val_0,val,forecast/rmse,0.6604231345725401,0.7815815850566775,229,124
ft_2,val_0,val,forecast/rmse,0.7061235069830412,0.8356659555707401,229,124
merged,val_0,val,forecast/rmse,0.8034305199194154,0.9508245038205189,229,124
base,val_1,val,forecast/mae,0.3973858654499054,1.0,229,124
ft_0,val_1,val,forecast/mae,0.4538494646549225,1.1420875881961507,229,124
ft_1,val_1,val,forecast/mae,0.35986778140068054,0.905587774223554,229,124
ft_2,val_1,val,forecast/mae,0.38384371995925903,0.965921924587543,229,124
merged,val_1,val,forecast/mae,0.46634840965270996,1.173540506089032,229,124
base,val_1,val,forecast/mse,0.35221949219703674,1.0,229,124
ft_0,val_1,val,forecast/mse,0.3112780749797821,0.8837616369216971,229,124
ft_1,val_1,val,forecast/mse,0.2789103388786316,0.7918651439160133,229,124
ft_2,val_1,val,forecast/mse,0.29914912581443787,0.8493258676526894,229,124
merged,val_1,val,forecast/mse,0.34269288182258606,0.9729526315678141,229,124
base,val_1,val,forecast/rmse,0.5934808271520123,1.0,229,124
ft_0,val_1,val,forecast/rmse,0.557923000941691,0.9400859731544223,229,124
ft_1,val_1,val,forecast/rmse,0.5281196255382218,0.8898680485982252,229,124
ft_2,val_1,val,forecast/rmse,0.5469452676588745,0.9215887736147231,229,124
merged,val_1,val,forecast/rmse,0.5853997624039371,0.9863836127834921,229,124
base,val_2,val,forecast/mae,0.5734676718711853,1.0,229,124
ft_0,val_2,val,forecast/mae,0.9739556908607483,1.6983619803411032,229,124
ft_1,val_2,val,forecast/mae,0.614773690700531,1.072028504579111,229,124
ft_2,val_2,val,forecast/mae,0.39035680890083313,0.6806954045502267,229,124
merged,val_2,val,forecast/mae,0.8264007568359375,1.441059012340572,229,124
base,val_2,val,forecast/mse,0.5501416325569153,1.0,229,124
ft_0,val_2,val,forecast/mse,1.3078995943069458,2.377387052545303,229,124
ft_1,val_2,val,forecast/mse,0.5655918717384338,1.0280841119217061,229,124
ft_2,val_2,val,forecast/mse,0.27415379881858826,0.49833312477078434,229,124
merged,val_2,val,forecast/mse,1.1936275959014893,2.169673271869679,229,124
base,val_2,val,forecast/rmse,0.7417153312133404,1.0,229,124
ft_0,val_2,val,forecast/rmse,1.1436343796454118,1.5418777683543217,229,124
ft_1,val_2,val,forecast/rmse,0.7520584230885482,1.0139448268627371,229,124
ft_2,val_2,val,forecast/rmse,0.523596981292471,0.7059271384291613,229,124
merged,val_2,val,forecast/rmse,1.092532652098549,1.472981083337352,229,124
base,test,test,forecast/mae,0.5702095031738281,1.0,3365,124
ft_0,test,test,forecast/mae,0.6887531876564026,1.20789496460994,3365,124
ft_1,test,test,forecast/mae,0.5349199175834656,0.9381111935281014,3365,124
ft_2,test,test,forecast/mae,0.4998612403869629,0.876627340661105,3365,124
merged,test,test,forecast/mae,0.6634865999221802,1.1635839042126883,3365,124
standard,test,test,forecast/mae,0.45731475949287415,0.8020118166172723,3365,124
base,test,test,forecast/mse,0.6362001895904541,1.0,3365,124
ft_0,test,test,forecast/mse,0.7840062379837036,1.2323263193121614,3365,124
ft_1,test,test,forecast/mse,0.5300809741020203,0.8331983906563329,3365,124
ft_2,test,test,forecast/mse,0.49000465869903564,0.7702051440985423,3365,124
merged,test,test,forecast/mse,0.7412374019622803,1.1651008819086373,3365,124
standard,test,test,forecast/mse,0.42706435918807983,0.6712735490742264,3365,124
base,test,test,forecast/rmse,0.7976215829517492,1.0,3365,124
ft_0,test,test,forecast/rmse,0.8854412673823734,1.1101019409550463,3365,124
ft_1,test,test,forecast/rmse,0.7280666000456416,0.9127970150347409,3365,124
ft_2,test,test,forecast/rmse,0.7000033276342589,0.8776133226532868,3365,124
merged,test,test,forecast/rmse,0.8609514515710397,1.0793983888762466,3365,124
standard,test,test,forecast/rmse,0.6535016137608841,0.8193128517692287,3365,124
