merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,forecast/mse,0.7358776926994324,3365,43
0.0,test,test,forecast/rmse,0.857833138028272,3365,43
0.0,test,test,forecast/mae,0.6292352080345154,3365,43
0.1,test,test,forecast/mse,0.6228590607643127,3365,43
0.1,test,test,forecast/rmse,0.7892142046138759,3365,43
0.1,test,test,forecast/mae,0.5703654289245605,3365,43
0.2,test,test,forecast/mse,0.5464186668395996,3365,43
0.2,test,test,forecast/rmse,0.7392013709670725,3365,43
0.2,test,test,forecast/mae,0.5264132618904114,3365,43
0.3,test,test,forecast/mse,0.5050932168960571,3365,43
0.3,test,test,forecast/rmse,0.7106991043304172,3365,43
0.3,test,test,forecast/mae,0.501578152179718,3365,43
0.4,test,test,forecast/mse,0.49029287695884705,3365,43
0.4,test,test,forecast/rmse,0.7002091665772786,3365,43
0.4,test,test,forecast/mae,0.49387454986572266,3365,43
0.5,test,test,forecast/mse,0.4927326440811157,3365,43
0.5,test,test,forecast/rmse,0.7019491748560687,3365,43
0.5,test,test,forecast/mae,0.4978939890861511,3365,43
0.6,test,test,forecast/mse,0.5060163736343384,3365,43
0.6,test,test,forecast/rmse,0.7113482787174917,3365,43
0.6,test,test,forecast/mae,0.5088664293289185,3365,43
0.7,test,test,forecast/mse,0.5264369249343872,3365,43
0.7,test,test,forecast/rmse,0.7255597321615824,3365,43
0.7,test,test,forecast/mae,0.5234977006912231,3365,43
0.8,test,test,forecast/mse,0.5517919659614563,3365,43
0.8,test,test,forecast/rmse,0.7428270094453057,3365,43
0.8,test,test,forecast/mae,0.5400295853614807,3365,43
0.9,test,test,forecast/mse,0.5806198716163635,3365,43
0.9,test,test,forecast/rmse,0.7619841675627936,3365,43
0.9,test,test,forecast/mae,0.5576000213623047,3365,43
1.0,test,test,forecast/mse,0.6119112372398376,3365,43
1.0,test,test,forecast/rmse,0.7822475549593221,3365,43
1.0,test,test,forecast/mae,0.575832188129425,3365,43
1.1,test,test,forecast/mse,0.6451979875564575,3365,43
1.1,test,test,forecast/rmse,0.8032421724215292,3365,43
1.1,test,test,forecast/mae,0.5946100354194641,3365,43
1.2,test,test,forecast/mse,0.6803140640258789,3365,43
1.2,test,test,forecast/rmse,0.8248115324277898,3365,43
1.2,test,test,forecast/mae,0.6138719320297241,3365,43
1.3,test,test,forecast/mse,0.7172152400016785,3365,43
1.3,test,test,forecast/rmse,0.846885612111623,3365,43
1.3,test,test,forecast/mae,0.6335683465003967,3365,43
1.4,test,test,forecast/mse,0.7558228373527527,3365,43
1.4,test,test,forecast/rmse,0.8693807206010222,3365,43
1.4,test,test,forecast/mae,0.6536077857017517,3365,43
1.5,test,test,forecast/mse,0.7959837913513184,3365,43
1.5,test,test,forecast/rmse,0.8921792372339307,3365,43
1.5,test,test,forecast/mae,0.6738439202308655,3365,43
