merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,window_auroc,0.7737556930700988,87742,8
0.0,test,test,window_auprc,0.6204757044704738,87742,8
0.0,test,test,window_f1,0.639351337213104,87742,8
0.0,test,test,window_precision,0.5207277065314644,87742,8
0.0,test,test,window_recall,0.827964637740067,87742,8
0.0,test,test,point_auroc,0.769901032518943,87742,8
0.0,test,test,point_auprc,0.5396660594072582,87742,8
0.0,test,test,point_f1,0.5829532186502685,87742,8
0.0,test,test,point_precision,0.4697543718794691,87742,8
0.0,test,test,point_recall,0.7680285503322668,87742,8
0.0,test,test,pa_f1,0.7961997285520395,87742,8
0.0,test,test,pa_precision,0.9489187808615699,87742,8
0.0,test,test,pa_recall,0.6858232832882106,87742,8
0.0,test,test,event_f1,0.23965141612200433,87742,8
0.0,test,test,event_precision,0.14175257731958762,87742,8
0.0,test,test,event_recall,0.7746478873239436,87742,8
0.0,test,test,event_tp,55.0,87742,8
0.0,test,test,event_fp,333.0,87742,8
0.0,test,test,event_fn,16.0,87742,8
0.0,val_0,val,reconstruction/score_mean,0.273974077525055,3213,8
0.0,val_0,val,reconstruction/score_std,0.14846080025512215,3213,8
0.0,val_0,val,reconstruction/score_p50,0.25253137946128845,3213,8
0.0,val_0,val,reconstruction/score_p95,0.627281105518341,3213,8
0.0,val_0,val,reconstruction/score_p99,0.8431389689445496,3213,8
0.0,val_1,val,reconstruction/score_mean,0.7022366463822662,3213,8
0.0,val_1,val,reconstruction/score_std,0.6943616690774929,3213,8
0.0,val_1,val,reconstruction/score_p50,0.37149372696876526,3213,8
0.0,val_1,val,reconstruction/score_p95,2.30388512611389,3213,8
0.0,val_1,val,reconstruction/score_p99,2.961187677383423,3213,8
0.0,val_2,val,reconstruction/score_mean,0.20443954350066787,3213,8
0.0,val_2,val,reconstruction/score_std,0.06298557984156439,3213,8
0.0,val_2,val,reconstruction/score_p50,0.19499678909778595,3213,8
0.0,val_2,val,reconstruction/score_p95,0.3283827006816864,3213,8
0.0,val_2,val,reconstruction/score_p99,0.3952150356769563,3213,8
0.0,val_base,val,reconstruction/score_mean,0.15816848065798403,9837,8
0.0,val_base,val,reconstruction/score_std,0.2580290233357665,9837,8
0.0,val_base,val,reconstruction/score_p50,0.08851408213376999,9837,8
0.0,val_base,val,reconstruction/score_p95,0.3665721774101256,9837,8
0.0,val_base,val,reconstruction/score_p99,1.59314781665802,9837,8
0.25,test,test,window_auroc,0.7877045285706289,87742,8
0.25,test,test,window_auprc,0.6286398679493084,87742,8
0.25,test,test,window_f1,0.6473967301040698,87742,8
0.25,test,test,window_precision,0.5883786628261231,87742,8
0.25,test,test,window_recall,0.7195745689801172,87742,8
0.25,test,test,point_auroc,0.7819646925732541,87742,8
0.25,test,test,point_auprc,0.5434908572361343,87742,8
0.25,test,test,point_f1,0.594325584471413,87742,8
0.25,test,test,point_precision,0.49781187680035455,87742,8
0.25,test,test,point_recall,0.7372631060792518,87742,8
0.25,test,test,pa_f1,0.7665345877917227,87742,8
0.25,test,test,pa_precision,0.6671629546352283,87742,8
