merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,window_auroc,0.7997745588101086,449820,124
0.0,test,test,window_auprc,0.7009404420688796,449820,124
0.0,test,test,window_f1,0.750687344273563,449820,124
0.0,test,test,window_precision,0.9954144118484762,449820,124
0.0,test,test,window_recall,0.6025481879935175,449820,124
0.0,test,test,point_auroc,0.8150295578963398,449820,124
0.0,test,test,point_auprc,0.6991385684434894,449820,124
0.0,test,test,point_f1,0.7672930738536302,449820,124
0.0,test,test,point_precision,0.9807106020457589,449820,124
0.0,test,test,point_recall,0.6301605609564087,449820,124
0.0,test,test,pa_f1,0.8396586012595293,449820,124
0.0,test,test,pa_precision,0.9668201226057296,449820,124
0.0,test,test,pa_recall,0.7420589150692957,449820,124
0.0,test,test,event_f1,0.3333333333333333,449820,124
0.0,test,test,event_precision,0.6153846153846154,449820,124
0.0,test,test,event_recall,0.22857142857142856,449820,124
0.0,test,test,event_tp,8.0,449820,124
0.0,test,test,event_fp,5.0,449820,124
0.0,test,test,event_fn,27.0,449820,124
0.0,val_0,val,reconstruction/score_mean,0.055359245355475574,12276,124
0.0,val_0,val,reconstruction/score_std,0.11534447465780771,12276,124
0.0,val_0,val,reconstruction/score_p50,0.021410874091088772,12276,124
0.0,val_0,val,reconstruction/score_p95,0.2574547305703163,12276,124
0.0,val_0,val,reconstruction/score_p99,0.6729825437068939,12276,124
0.0,val_1,val,reconstruction/score_mean,0.06395960897289195,12276,124
0.0,val_1,val,reconstruction/score_std,0.11499380709845063,12276,124
0.0,val_1,val,reconstruction/score_p50,0.02851823251694441,12276,124
0.0,val_1,val,reconstruction/score_p95,0.27651699632406235,12276,124
0.0,val_1,val,reconstruction/score_p99,0.6581474840641022,12276,124
0.0,val_2,val,reconstruction/score_mean,0.08562780467750254,12276,124
0.0,val_2,val,reconstruction/score_std,0.1174376889652122,12276,124
0.0,val_2,val,reconstruction/score_p50,0.049381962046027184,12276,124
0.0,val_2,val,reconstruction/score_p95,0.30314454436302185,12276,124
0.0,val_2,val,reconstruction/score_p99,0.7028080523014069,12276,124
