model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,reconstruction/score_mean,0.041719461281179496,1.0,37026,124
ft_0,val_base,val,reconstruction/score_mean,0.045599913098208204,1.0930129895703917,37026,124
ft_1,val_base,val,reconstruction/score_mean,0.0460041751777466,1.1027030015485848,37026,124
ft_2,val_base,val,reconstruction/score_mean,0.06022008365759761,1.443453050645314,37026,124
merged,val_base,val,reconstruction/score_mean,0.2137563593455425,5.123660583842974,37026,124
base,val_base,val,reconstruction/score_p50,0.006719182478263974,1.0,37026,124
ft_0,val_base,val,reconstruction/score_p50,0.013353052083402872,1.9873030873322675,37026,124
ft_1,val_base,val,reconstruction/score_p50,0.013055232353508472,1.9429792829322794,37026,124
ft_2,val_base,val,reconstruction/score_p50,0.028323978185653687,4.2153905296186736,37026,124
merged,val_base,val,reconstruction/score_p50,0.1852644383907318,27.572467184817153,37026,124
base,val_base,val,reconstruction/score_p95,0.2468477562069893,1.0,37026,124
ft_0,val_base,val,reconstruction/score_p95,0.24814390391111374,1.0052507979980891,37026,124
ft_1,val_base,val,reconstruction/score_p95,0.25027748197317123,1.0138940933427243,37026,124
ft_2,val_base,val,reconstruction/score_p95,0.26318448781967163,1.0661814061578243,37026,124
merged,val_base,val,reconstruction/score_p95,0.42525359243154526,1.722736309075288,37026,124
base,val_base,val,reconstruction/score_p99,0.618262842297554,1.0,37026,124
ft_0,val_base,val,reconstruction/score_p99,0.611810028553009,0.9895629927870719,37026,124
ft_1,val_base,val,reconstruction/score_p99,0.6091912388801575,0.9853272705445387,37026,124
ft_2,val_base,val,reconstruction/score_p99,0.6214403957128525,1.0051394863121488,37026,124
merged,val_base,val,reconstruction/score_p99,0.8383738547563553,1.3560152695588772,37026,124
base,val_base,val,reconstruction/score_std,0.10936309071061065,1.0,37026,124
ft_0,val_base,val,reconstruction/score_std,0.10633881965253315,0.972346510706431,37026,124
ft_1,val_base,val,reconstruction/score_std,0.10679973228161128,0.9765610279268501,37026,124
ft_2,val_base,val,reconstruction/score_std,0.1064573989448385,0.9734307822969177,37026,124
merged,val_base,val,reconstruction/score_std,0.11795745887271607,1.07858563713097,37026,124
base,val_0,val,reconstruction/score_mean,0.055359245355475574,1.0,12276,124
ft_0,val_0,val,reconstruction/score_mean,0.038174632643060424,0.6895800764250226,12276,124
ft_1,val_0,val,reconstruction/score_mean,0.040329639248427945,0.7285077495088893,12276,124
ft_2,val_0,val,reconstruction/score_mean,0.044980238440356125,0.8125153829595536,12276,124
merged,val_0,val,reconstruction/score_mean,0.1642845862940483,2.967608847251003,12276,124
base,val_0,val,reconstruction/score_p50,0.021410874091088772,1.0,12276,124
ft_0,val_0,val,reconstruction/score_p50,0.005778859136626124,0.26990299938437784,12276,124
ft_1,val_0,val,reconstruction/score_p50,0.007714269682765007,0.36029681226212495,12276,124
ft_2,val_0,val,reconstruction/score_p50,0.01307717664167285,0.6107726656108629,12276,124
merged,val_0,val,reconstruction/score_p50,0.1348404437303543,6.297755204047229,12276,124
base,val_0,val,reconstruction/score_p95,0.2574547305703163,1.0,12276,124
ft_0,val_0,val,reconstruction/score_p95,0.23104770854115486,0.8974304260377568,12276,124
ft_1,val_0,val,reconstruction/score_p95,0.23701010271906853,0.9205894263198868,12276,124
ft_2,val_0,val,reconstruction/score_p95,0.24069351330399513,0.9348964486719993,12276,124
merged,val_0,val,reconstruction/score_p95,0.36580056697130203,1.4208345139395067,12276,124
base,val_0,val,reconstruction/score_p99,0.6729825437068939,1.0,12276,124
ft_0,val_0,val,reconstruction/score_p99,0.6275678128004074,0.9325172230228513,12276,124
ft_1,val_0,val,reconstruction/score_p99,0.6255341321229935,0.9294953308557646,12276,124
ft_2,val_0,val,reconstruction/score_p99,0.6292278617620468,0.9349839273633467,12276,124
merged,val_0,val,reconstruction/score_p99,0.7971332669258118,1.1844783707688407,12276,124
base,val_0,val,reconstruction/score_std,0.11534447465780771,1.0,12276,124
ft_0,val_0,val,reconstruction/score_std,0.10824385371126043,0.9384398692038549,12276,124
ft_1,val_0,val,reconstruction/score_std,0.1089630943296557,0.9446754571722343,12276,124
ft_2,val_0,val,reconstruction/score_std,0.10833343969349371,0.9392165512469182,12276,124
merged,val_0,val,reconstruction/score_std,0.11594994419865724,1.0052492288221502,12276,124
base,val_1,val,reconstruction/score_mean,0.06395960897289195,1.0,12276,124
ft_0,val_1,val,reconstruction/score_mean,0.041994590254926266,0.6565798467080195,12276,124
ft_1,val_1,val,reconstruction/score_mean,0.040269674066045716,0.6296110109602647,12276,124
ft_2,val_1,val,reconstruction/score_mean,0.040680045200604066,0.6360271092002067,12276,124
merged,val_1,val,reconstruction/score_mean,0.15917785778343094,2.488724686401623,12276,124
base,val_1,val,reconstruction/score_p50,0.02851823251694441,1.0,12276,124
ft_0,val_1,val,reconstruction/score_p50,0.008414006792008877,0.29503956063930703,12276,124
ft_1,val_1,val,reconstruction/score_p50,0.005947722587734461,0.2085585978794639,12276,124
ft_2,val_1,val,reconstruction/score_p50,0.007358456263318658,0.25802637870164474,12276,124
merged,val_1,val,reconstruction/score_p50,0.12702585756778717,4.4541981166719715,12276,124
base,val_1,val,reconstruction/score_p95,0.27651699632406235,1.0,12276,124
ft_0,val_1,val,reconstruction/score_p95,0.2437789887189865,0.881605803475788,12276,124
ft_1,val_1,val,reconstruction/score_p95,0.24726475030183792,0.8942117612620729,12276,124
ft_2,val_1,val,reconstruction/score_p95,0.24218598753213882,0.8758448513172423,12276,124
merged,val_1,val,reconstruction/score_p95,0.3705451786518097,1.3400448564743976,12276,124
base,val_1,val,reconstruction/score_p99,0.6581474840641022,1.0,12276,124
ft_0,val_1,val,reconstruction/score_p99,0.6131599545478821,0.9316452153878653,12276,124
ft_1,val_1,val,reconstruction/score_p99,0.617254227399826,0.9378661202018768,12276,124
ft_2,val_1,val,reconstruction/score_p99,0.5961405634880066,0.9057856755856621,12276,124
merged,val_1,val,reconstruction/score_p99,0.7604228407144547,1.155398841637737,12276,124
base,val_1,val,reconstruction/score_std,0.11499380709845063,1.0,12276,124
ft_0,val_1,val,reconstruction/score_std,0.10740507399564733,0.9340074627122634,12276,124
ft_1,val_1,val,reconstruction/score_std,0.10913880613799042,0.9490842062873219,12276,124
ft_2,val_1,val,reconstruction/score_std,0.1057021373720244,0.9191985206779764,12276,124
merged,val_1,val,reconstruction/score_std,0.11451319416499699,0.9958205320305452,12276,124
