merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,forecast/mse,0.7067561149597168,3365,43
0.0,test,test,forecast/rmse,0.8406878820107476,3365,43
0.0,test,test,forecast/mae,0.617564857006073,3365,43
0.0,val_0,val,forecast/mse,0.7415660619735718,403,43
0.0,val_0,val,forecast/rmse,0.8611423006527851,403,43
0.0,val_0,val,forecast/mae,0.596864640712738,403,43
0.0,val_1,val,forecast/mse,0.5911732316017151,403,43
0.0,val_1,val,forecast/rmse,0.7688779042225853,403,43
0.0,val_1,val,forecast/mae,0.6047509908676147,403,43
0.0,val_base,val,forecast/mse,0.3270590603351593,926,43
0.0,val_base,val,forecast/rmse,0.5718907765781498,926,43
0.0,val_base,val,forecast/mae,0.39737582206726074,926,43
0.1,test,test,forecast/mse,0.6248083114624023,3365,43
0.1,test,test,forecast/rmse,0.7904481712689342,3365,43
0.1,test,test,forecast/mae,0.5736532807350159,3365,43
0.1,val_0,val,forecast/mse,0.6834854483604431,403,43
0.1,val_0,val,forecast/rmse,0.8267317874380077,403,43
0.1,val_0,val,forecast/mae,0.5706782341003418,403,43
0.1,val_1,val,forecast/mse,0.4821261167526245,403,43
0.1,val_1,val,forecast/rmse,0.694353020266078,403,43
0.1,val_1,val,forecast/mae,0.5315207242965698,403,43
0.1,val_base,val,forecast/mse,0.31441840529441833,926,43
0.1,val_base,val,forecast/rmse,0.5607302428926215,926,43
0.1,val_base,val,forecast/mae,0.3919357657432556,926,43
0.2,test,test,forecast/mse,0.5615569353103638,3365,43
0.2,test,test,forecast/rmse,0.7493710264684402,3365,43
0.2,test,test,forecast/mae,0.5381525158882141,3365,43
0.2,val_0,val,forecast/mse,0.6302890181541443,403,43
0.2,val_0,val,forecast/rmse,0.7939074367671236,403,43
0.2,val_0,val,forecast/mae,0.5469565391540527,403,43
0.2,val_1,val,forecast/mse,0.4067652225494385,403,43
0.2,val_1,val,forecast/rmse,0.6377814849534584,403,43
0.2,val_1,val,forecast/mae,0.4750220775604248,403,43
0.2,val_base,val,forecast/mse,0.3061777651309967,926,43
0.2,val_base,val,forecast/rmse,0.553333321905519,926,43
0.2,val_base,val,forecast/mae,0.38892513513565063,926,43
0.3,test,test,forecast/mse,0.5169157981872559,3365,43
0.3,test,test,forecast/rmse,0.7189685655070435,3365,43
0.3,test,test,forecast/mae,0.5126126408576965,3365,43
0.3,val_0,val,forecast/mse,0.5840796828269958,403,43
0.3,val_0,val,forecast/rmse,0.7642510600758077,403,43
0.3,val_0,val,forecast/mae,0.5269353985786438,403,43
0.3,val_1,val,forecast/mse,0.36020979285240173,403,43
0.3,val_1,val,forecast/rmse,0.6001748019139105,403,43
0.3,val_1,val,forecast/mae,0.4378024935722351,403,43
0.3,val_base,val,forecast/mse,0.30231302976608276,926,43
0.3,val_base,val,forecast/rmse,0.5498300007875914,926,43
0.3,val_base,val,forecast/mae,0.38839027285575867,926,43
0.4,test,test,forecast/mse,0.4892772138118744,3365,43
0.4,test,test,forecast/rmse,0.699483533624541,3365,43
0.4,test,test,forecast/mae,0.49742060899734497,3365,43
0.4,val_0,val,forecast/mse,0.5482251048088074,403,43
0.4,val_0,val,forecast/rmse,0.7404222476457656,403,43
0.4,val_0,val,forecast/mae,0.5119895935058594,403,43
0.4,val_1,val,forecast/mse,0.3351324200630188,403,43
0.4,val_1,val,forecast/rmse,0.5789062273486257,403,43
0.4,val_1,val,forecast/mae,0.4188747704029083,403,43
0.4,val_base,val,forecast/mse,0.3027957081794739,926,43
0.4,val_base,val,forecast/rmse,0.550268759952329,926,43
0.4,val_base,val,forecast/mae,0.39044520258903503,926,43
0.5,test,test,forecast/mse,0.47570160031318665,3365,43
0.5,test,test,forecast/rmse,0.6897112441545278,3365,43
0.5,test,test,forecast/mae,0.4914446771144867,3365,43
0.5,val_0,val,forecast/mse,0.5257105231285095,403,43
0.5,val_0,val,forecast/rmse,0.725058979068951,403,43
0.5,val_0,val,forecast/mae,0.5046822428703308,403,43
0.5,val_1,val,forecast/mse,0.3247048854827881,403,43
0.5,val_1,val,forecast/rmse,0.5698288212110617,403,43
0.5,val_1,val,forecast/mae,0.4136846661567688,403,43
0.5,val_base,val,forecast/mse,0.3076263666152954,926,43
0.5,val_base,val,forecast/rmse,0.554640754556763,926,43
0.5,val_base,val,forecast/mae,0.3952285647392273,926,43
0.6,test,test,forecast/mse,0.47268372774124146,3365,43
0.6,test,test,forecast/rmse,0.6875199835213821,3365,43
0.6,test,test,forecast/mae,0.49257344007492065,3365,43
0.6,val_0,val,forecast/mse,0.5183305144309998,403,43
0.6,val_0,val,forecast/rmse,0.7199517445155611,403,43
0.6,val_0,val,forecast/mae,0.5063292384147644,403,43
0.6,val_1,val,forecast/mse,0.32403823733329773,403,43
0.6,val_1,val,forecast/rmse,0.5692435659129559,403,43
0.6,val_1,val,forecast/mae,0.4169321656227112,403,43
0.6,val_base,val,forecast/mse,0.3169006109237671,926,43
0.6,val_base,val,forecast/rmse,0.5629392604213772,926,43
0.6,val_base,val,forecast/mae,0.4029128849506378,926,43
0.7,test,test,forecast/mse,0.477181077003479,3365,43
0.7,test,test,forecast/rmse,0.690782944928057,3365,43
0.7,test,test,forecast/mae,0.4986300468444824,3365,43
0.7,val_0,val,forecast/mse,0.5263962745666504,403,43
0.7,val_0,val,forecast/rmse,0.7255317185117756,403,43
0.7,val_0,val,forecast/mae,0.5167368054389954,403,43
0.7,val_1,val,forecast/mse,0.3299473524093628,403,43
0.7,val_1,val,forecast/rmse,0.5744104389801449,403,43
0.7,val_1,val,forecast/mae,0.42526310682296753,403,43
0.7,val_base,val,forecast/mse,0.3307764530181885,926,43
0.7,val_base,val,forecast/rmse,0.5751316831980208,926,43
0.7,val_base,val,forecast/mae,0.413483589887619,926,43
0.8,test,test,forecast/mse,0.48696473240852356,3365,43
0.8,test,test,forecast/rmse,0.6978285838288107,3365,43
0.8,test,test,forecast/mae,0.50784832239151,3365,43
0.8,val_0,val,forecast/mse,0.5488122701644897,403,43
0.8,val_0,val,forecast/rmse,0.7408186486343941,403,43
0.8,val_0,val,forecast/mae,0.5351129770278931,403,43
0.8,val_1,val,forecast/mse,0.3405768573284149,403,43
0.8,val_1,val,forecast/rmse,0.583589630929487,403,43
0.8,val_1,val,forecast/mae,0.4368158280849457,403,43
0.8,val_base,val,forecast/mse,0.3494705557823181,926,43
0.8,val_base,val,forecast/rmse,0.5911603469299325,926,43
0.8,val_base,val,forecast/mae,0.4268714189529419,926,43
0.9,test,test,forecast/mse,0.5005090236663818,3365,43
0.9,test,test,forecast/rmse,0.7074666237119471,3365,43
0.9,test,test,forecast/mae,0.5190980434417725,3365,43
0.9,val_0,val,forecast/mse,0.583634078502655,403,43
0.9,val_0,val,forecast/rmse,0.7639594743850324,403,43
0.9,val_0,val,forecast/mae,0.5596679449081421,403,43
0.9,val_1,val,forecast/mse,0.35494232177734375,403,43
0.9,val_1,val,forecast/rmse,0.5957703599352218,403,43
0.9,val_1,val,forecast/mae,0.45056360960006714,403,43
0.9,val_base,val,forecast/mse,0.37314820289611816,926,43
0.9,val_base,val,forecast/rmse,0.6108585784746893,926,43
0.9,val_base,val,forecast/mae,0.4429669976234436,926,43
1.0,test,test,forecast/mse,0.516805112361908,3365,43
1.0,test,test,forecast/rmse,0.7188915859584865,3365,43
1.0,test,test,forecast/mae,0.531548023223877,3365,43
1.0,val_0,val,forecast/mse,0.6286882758140564,403,43
1.0,val_0,val,forecast/rmse,0.7928986541885769,403,43
1.0,val_0,val,forecast/mae,0.5881586074829102,403,43
1.0,val_1,val,forecast/mse,0.37271222472190857,403,43
1.0,val_1,val,forecast/rmse,0.6105016172967181,403,43
1.0,val_1,val,forecast/mae,0.46613648533821106,403,43
1.0,val_base,val,forecast/mse,0.401944100856781,926,43
1.0,val_base,val,forecast/rmse,0.6339906157481994,926,43
1.0,val_base,val,forecast/mae,0.4617455303668976,926,43
1.1,test,test,forecast/mse,0.5352187156677246,3365,43
1.1,test,test,forecast/rmse,0.7315864375914336,3365,43
1.1,test,test,forecast/mae,0.544762372970581,3365,43
1.1,val_0,val,forecast/mse,0.6820859313011169,403,43
1.1,val_0,val,forecast/rmse,0.8258849382941409,403,43
1.1,val_0,val,forecast/mae,0.6189769506454468,403,43
1.1,val_1,val,forecast/mse,0.39407044649124146,403,43
1.1,val_1,val,forecast/rmse,0.6277503058471907,403,43
1.1,val_1,val,forecast/mae,0.48339220881462097,403,43
1.1,val_base,val,forecast/mse,0.43589696288108826,926,43
1.1,val_base,val,forecast/rmse,0.6602249335499897,926,43
1.1,val_base,val,forecast/mae,0.4830555319786072,926,43
1.2,test,test,forecast/mse,0.5554034113883972,3365,43
1.2,test,test,forecast/rmse,0.7452539241013074,3365,43
1.2,test,test,forecast/mae,0.5585469007492065,3365,43
1.2,val_0,val,forecast/mse,0.7422780990600586,403,43
1.2,val_0,val,forecast/rmse,0.8615556273741461,403,43
