model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,forecast/mae,0.39737582206726074,1.0,926,43
ft_0,val_base,val,forecast/mae,0.4314906597137451,1.0858503103410002,926,43
ft_1,val_base,val,forecast/mae,0.3953777551651001,0.9949718458164714,926,43
merged,val_base,val,forecast/mae,0.3952285647392273,0.9945964067042056,926,43
base,val_base,val,forecast/mse,0.3270590603351593,1.0,926,43
ft_0,val_base,val,forecast/mse,0.3458694517612457,1.0575137450918197,926,43
ft_1,val_base,val,forecast/mse,0.32074904441833496,0.980706799834996,926,43
merged,val_base,val,forecast/mse,0.3076263666152954,0.9405835334451523,926,43
base,val_base,val,forecast/rmse,0.5718907765781498,1.0,926,43
ft_0,val_base,val,forecast/rmse,0.5881066669926858,1.0283548731307788,926,43
ft_1,val_base,val,forecast/rmse,0.5663471059503482,0.9903064171431972,926,43
merged,val_base,val,forecast/rmse,0.554640754556763,0.9698368591908396,926,43
base,val_0,val,forecast/mae,0.596864640712738,1.0,403,43
ft_0,val_0,val,forecast/mae,0.5511654019355774,0.9234345014598461,403,43
ft_1,val_0,val,forecast/mae,0.5166535973548889,0.8656126734831098,403,43
merged,val_0,val,forecast/mae,0.5046822428703308,0.8455556058198911,403,43
base,val_0,val,forecast/mse,0.7415660619735718,1.0,403,43
ft_0,val_0,val,forecast/mse,0.5666915774345398,0.7641821902237157,403,43
ft_1,val_0,val,forecast/mse,0.5832661986351013,0.7865330259084699,403,43
merged,val_0,val,forecast/mse,0.5257105231285095,0.7089193398756765,403,43
base,val_0,val,forecast/rmse,0.8611423006527851,1.0,403,43
ft_0,val_0,val,forecast/rmse,0.7527891985373726,0.8741751484821081,403,43
ft_1,val_0,val,forecast/rmse,0.7637186645847418,0.8868669719346132,403,43
merged,val_0,val,forecast/rmse,0.725058979068951,0.8419734793184858,403,43
base,val_1,val,forecast/mae,0.6047509908676147,1.0,403,43
ft_0,val_1,val,forecast/mae,0.5453464388847351,0.9017702279451348,403,43
ft_1,val_1,val,forecast/mae,0.36744794249534607,0.6076020511651937,403,43
merged,val_1,val,forecast/mae,0.4136846661567688,0.6840578558842377,403,43
base,val_1,val,forecast/mse,0.5911732316017151,1.0,403,43
ft_0,val_1,val,forecast/mse,0.48625829815864563,0.82253098104795,403,43
ft_1,val_1,val,forecast/mse,0.2623499035835266,0.44377838772016126,403,43
merged,val_1,val,forecast/mse,0.3247048854827881,0.5492550543992629,403,43
base,val_1,val,forecast/rmse,0.7688779042225853,1.0,403,43
ft_0,val_1,val,forecast/rmse,0.6973222340917042,0.9069349376046497,403,43
ft_1,val_1,val,forecast/rmse,0.512201038249169,0.6661669368260191,403,43
merged,val_1,val,forecast/rmse,0.5698288212110617,0.7411174363076766,403,43
base,test,test,forecast/mae,0.617564857006073,1.0,3365,43
ft_0,test,test,forecast/mae,0.5804335474967957,0.9398746397434461,3365,43
ft_1,test,test,forecast/mae,0.4656490981578827,0.7540084136512055,3365,43
merged,test,test,forecast/mae,0.4914446771144867,0.795778243433392,3365,43
standard,test,test,forecast/mae,0.45731475949287415,0.7405129263830131,3365,43
base,test,test,forecast/mse,0.7067561149597168,1.0,3365,43
ft_0,test,test,forecast/mse,0.5941094160079956,0.8406144686018857,3365,43
ft_1,test,test,forecast/mse,0.4349246323108673,0.6153814917266854,3365,43
merged,test,test,forecast/mse,0.47570160031318665,0.673077445308415,3365,43
standard,test,test,forecast/mse,0.42706435918807983,0.6042598714726669,3365,43
base,test,test,forecast/rmse,0.8406878820107476,1.0,3365,43
ft_0,test,test,forecast/rmse,0.7707849349902965,0.9168502978141447,3365,43
ft_1,test,test,forecast/rmse,0.6594881593409144,0.7844625496011174,3365,43
merged,test,test,forecast/rmse,0.6897112441545278,0.8204129724159748,3365,43
standard,test,test,forecast/rmse,0.6535016137608841,0.7773415410697326,3365,43
