merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,forecast/mse,0.7324618101119995,1470,43
0.0,test,test,forecast/rmse,0.8558398273695841,1470,43
0.0,test,test,forecast/mae,0.6882859468460083,1470,43
0.0,val_0,val,forecast/mse,0.41372165083885193,332,43
0.0,val_0,val,forecast/rmse,0.6432119797071972,332,43
0.0,val_0,val,forecast/mae,0.5489072799682617,332,43
0.0,val_1,val,forecast/mse,1.539886713027954,332,43
0.0,val_1,val,forecast/rmse,1.2409217191378166,332,43
0.0,val_1,val,forecast/mae,1.0882058143615723,332,43
0.0,val_base,val,forecast/mse,0.13465192914009094,711,43
0.0,val_base,val,forecast/rmse,0.36694949126561127,711,43
0.0,val_base,val,forecast/mae,0.30401501059532166,711,43
0.1,test,test,forecast/mse,0.6028372645378113,1470,43
0.1,test,test,forecast/rmse,0.7764259556054339,1470,43
0.1,test,test,forecast/mae,0.6263236403465271,1470,43
0.1,val_0,val,forecast/mse,0.29974132776260376,332,43
0.1,val_0,val,forecast/rmse,0.5474863722163354,332,43
0.1,val_0,val,forecast/mae,0.464109867811203,332,43
0.1,val_1,val,forecast/mse,1.2359458208084106,332,43
0.1,val_1,val,forecast/rmse,1.111731002000219,332,43
0.1,val_1,val,forecast/mae,0.9804618954658508,332,43
0.1,val_base,val,forecast/mse,0.11009819060564041,711,43
0.1,val_base,val,forecast/rmse,0.3318104739239562,711,43
0.1,val_base,val,forecast/mae,0.2749677002429962,711,43
0.2,test,test,forecast/mse,0.48536962270736694,1470,43
0.2,test,test,forecast/rmse,0.6966847369559397,1470,43
0.2,test,test,forecast/mae,0.566855251789093,1470,43
0.2,val_0,val,forecast/mse,0.19896559417247772,332,43
0.2,val_0,val,forecast/rmse,0.4460555953829945,332,43
0.2,val_0,val,forecast/mae,0.3708384931087494,332,43
0.2,val_1,val,forecast/mse,0.9589970707893372,332,43
0.2,val_1,val,forecast/rmse,0.9792839582007545,332,43
0.2,val_1,val,forecast/mae,0.8693065047264099,332,43
0.2,val_base,val,forecast/mse,0.09284666180610657,711,43
0.2,val_base,val,forecast/rmse,0.30470750205091207,711,43
0.2,val_base,val,forecast/mae,0.25324010848999023,711,43
0.3,test,test,forecast/mse,0.3860244154930115,1470,43
0.3,test,test,forecast/rmse,0.6213086314328906,1470,43
0.3,test,test,forecast/mae,0.5124268531799316,1470,43
0.3,val_0,val,forecast/mse,0.11926911771297455,332,43
0.3,val_0,val,forecast/rmse,0.3453536125668509,332,43
0.3,val_0,val,forecast/mae,0.27324384450912476,332,43
0.3,val_1,val,forecast/mse,0.7227675318717957,332,43
0.3,val_1,val,forecast/rmse,0.8501573571238419,332,43
0.3,val_1,val,forecast/mae,0.7602108120918274,332,43
0.3,val_base,val,forecast/mse,0.08201228082180023,711,43
0.3,val_base,val,forecast/rmse,0.28637786370772483,711,43
0.3,val_base,val,forecast/mae,0.23882010579109192,711,43
0.4,test,test,forecast/mse,0.30956077575683594,1470,43
0.4,test,test,forecast/rmse,0.5563818614556336,1470,43
0.4,test,test,forecast/mae,0.4647364020347595,1470,43
0.4,val_0,val,forecast/mse,0.06629496812820435,332,43
0.4,val_0,val,forecast/rmse,0.2574780925209062,332,43
0.4,val_0,val,forecast/mae,0.18523626029491425,332,43
0.4,val_1,val,forecast/mse,0.533624529838562,332,43
0.4,val_1,val,forecast/rmse,0.7304960847523839,332,43
0.4,val_1,val,forecast/mae,0.6586174368858337,332,43
0.4,val_base,val,forecast/mse,0.0767824724316597,711,43
0.4,val_base,val,forecast/rmse,0.27709650382431694,711,43
0.4,val_base,val,forecast/mae,0.23190079629421234,711,43
0.5,test,test,forecast/mse,0.25861021876335144,1470,43
0.5,test,test,forecast/rmse,0.5085373327134906,1470,43
0.5,test,test,forecast/mae,0.42862364649772644,1470,43
0.5,val_0,val,forecast/mse,0.04108620807528496,332,43
0.5,val_0,val,forecast/rmse,0.20269733119921673,332,43
0.5,val_0,val,forecast/mae,0.14264671504497528,332,43
0.5,val_1,val,forecast/mse,0.3927353322505951,332,43
0.5,val_1,val,forecast/rmse,0.6266859917459422,332,43
0.5,val_1,val,forecast/mae,0.5683246850967407,332,43
0.5,val_base,val,forecast/mse,0.07654240727424622,711,43
0.5,val_base,val,forecast/rmse,0.27666298500928205,711,43
0.5,val_base,val,forecast/mae,0.23191383481025696,711,43
0.6,test,test,forecast/mse,0.23352967202663422,1470,43
0.6,test,test,forecast/rmse,0.48324907866092637,1470,43
0.6,test,test,forecast/mae,0.40862175822257996,1470,43
0.6,val_0,val,forecast/mse,0.03968648985028267,332,43
0.6,val_0,val,forecast/rmse,0.19921468281801588,332,43
0.6,val_0,val,forecast/mae,0.15140390396118164,332,43
0.6,val_1,val,forecast/mse,0.29458603262901306,332,43
0.6,val_1,val,forecast/rmse,0.5427578029185882,332,43
0.6,val_1,val,forecast/mae,0.49066290259361267,332,43
0.6,val_base,val,forecast/mse,0.08095300197601318,711,43
0.6,val_base,val,forecast/rmse,0.28452241032300635,711,43
0.6,val_base,val,forecast/mae,0.23797477781772614,711,43
0.7,test,test,forecast/mse,0.2326469123363495,1470,43
0.7,test,test,forecast/rmse,0.4823348549880565,1470,43
0.7,test,test,forecast/mae,0.4061445891857147,1470,43
0.7,val_0,val,forecast/mse,0.055775195360183716,332,43
0.7,val_0,val,forecast/rmse,0.236167727177495,332,43
0.7,val_0,val,forecast/mae,0.18870238959789276,332,43
0.7,val_1,val,forecast/mse,0.231354758143425,332,43
0.7,val_1,val,forecast/rmse,0.48099351153983877,332,43
0.7,val_1,val,forecast/mae,0.4262015223503113,332,43
0.7,val_base,val,forecast/mse,0.0901406854391098,711,43
0.7,val_base,val,forecast/rmse,0.3002343841719496,711,43
0.7,val_base,val,forecast/mae,0.2500579357147217,711,43
0.8,test,test,forecast/mse,0.25260448455810547,1470,43
0.8,test,test,forecast/rmse,0.502597736324096,1470,43
0.8,test,test,forecast/mae,0.41619423031806946,1470,43
0.8,val_0,val,forecast/mse,0.08360221982002258,332,43
0.8,val_0,val,forecast/rmse,0.2891404845745794,332,43
0.8,val_0,val,forecast/mae,0.23598891496658325,332,43
0.8,val_1,val,forecast/mse,0.19487223029136658,332,43
0.8,val_1,val,forecast/rmse,0.44144334890375975,332,43
0.8,val_1,val,forecast/mae,0.3776405155658722,332,43
0.8,val_base,val,forecast/mse,0.10494860261678696,711,43
0.8,val_base,val,forecast/rmse,0.3239577173286461,711,43
0.8,val_base,val,forecast/mae,0.26927489042282104,711,43
0.9,test,test,forecast/mse,0.28954485058784485,1470,43
0.9,test,test,forecast/rmse,0.5380937191492249,1470,43
0.9,test,test,forecast/mae,0.4352755844593048,1470,43
0.9,val_0,val,forecast/mse,0.11950720846652985,332,43
0.9,val_0,val,forecast/rmse,0.3456981464609405,332,43
0.9,val_0,val,forecast/mae,0.2853955924510956,332,43
0.9,val_1,val,forecast/mse,0.177667498588562,332,43
0.9,val_1,val,forecast/rmse,0.4215062260377206,332,43
0.9,val_1,val,forecast/mae,0.34845760464668274,332,43
0.9,val_base,val,forecast/mse,0.12691079080104828,711,43
0.9,val_base,val,forecast/rmse,0.35624540811222855,711,43
0.9,val_base,val,forecast/mae,0.2963177561759949,711,43
