model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,forecast/mae,0.3024623692035675,1.0,711,124
ft_0,val_base,val,forecast/mae,0.2569147050380707,0.8494104761348289,711,124
ft_1,val_base,val,forecast/mae,0.3778250217437744,1.2491637314706256,711,124
ft_2,val_base,val,forecast/mae,0.2989533245563507,0.9883984091758037,711,124
ft_3,val_base,val,forecast/mae,0.31207191944122314,1.0317710605222037,711,124
ft_4,val_base,val,forecast/mae,0.30881258845329285,1.0209950721025114,711,124
merged,val_base,val,forecast/mae,0.27736103534698486,0.9170100600525,711,124
base,val_base,val,forecast/mse,0.13959147036075592,1.0,711,124
ft_0,val_base,val,forecast/mse,0.09506639838218689,0.6810330039256711,711,124
ft_1,val_base,val,forecast/mse,0.21019341051578522,1.5057754601521698,711,124
ft_2,val_base,val,forecast/mse,0.13608717918395996,0.9748960938104629,711,124
ft_3,val_base,val,forecast/mse,0.1369423121213913,0.9810220622182844,711,124
ft_4,val_base,val,forecast/mse,0.15081758797168732,1.0804212290472974,711,124
merged,val_base,val,forecast/mse,0.11041747778654099,0.791004475425192,711,124
base,val_base,val,forecast/rmse,0.3736194191430043,1.0,711,124
ft_0,val_base,val,forecast/rmse,0.3083283937333487,0.8252472380600078,711,124
ft_1,val_base,val,forecast/rmse,0.4584685491021006,1.2271004278999214,711,124
ft_2,val_base,val,forecast/rmse,0.36889995823252675,0.9873682665603868,711,124
ft_3,val_base,val,forecast/rmse,0.3700571741250145,0.9904655785125924,711,124
ft_4,val_base,val,forecast/rmse,0.38835240178436814,1.0394331287039573,711,124
merged,val_base,val,forecast/rmse,0.3322912544538917,0.8893843238022537,711,124
base,val_0,val,forecast/mae,0.37802621722221375,1.0,104,124
ft_0,val_0,val,forecast/mae,0.12694378197193146,0.3358068202378423,104,124
ft_1,val_0,val,forecast/mae,0.12481971830129623,0.3301879938870058,104,124
ft_2,val_0,val,forecast/mae,0.2543189823627472,0.6727548798903855,104,124
ft_3,val_0,val,forecast/mae,0.27738121151924133,0.7337618368309872,104,124
ft_4,val_0,val,forecast/mae,0.2952459156513214,0.7810196811766844,104,124
merged,val_0,val,forecast/mae,0.13901443779468536,0.36773755750641235,104,124
base,val_0,val,forecast/mse,0.19084247946739197,1.0,104,124
ft_0,val_0,val,forecast/mse,0.030004477128386497,0.15722116591716767,104,124
ft_1,val_0,val,forecast/mse,0.025809025391936302,0.13523731961544821,104,124
ft_2,val_0,val,forecast/mse,0.10815359652042389,0.5667165760068811,104,124
ft_3,val_0,val,forecast/mse,0.1126968190073967,0.5905227144497066,104,124
ft_4,val_0,val,forecast/mse,0.1383490264415741,0.7249383199572866,104,124
merged,val_0,val,forecast/mse,0.031207909807562828,0.16352706113784862,104,124
base,val_0,val,forecast/rmse,0.43685521568065544,1.0,104,124
ft_0,val_0,val,forecast/rmse,0.1732180046311194,0.3965112431157125,104,124
ft_1,val_0,val,forecast/rmse,0.1606518764034093,0.3677462707022985,104,124
ft_2,val_0,val,forecast/rmse,0.3288671411382169,0.7528058023201475,104,124
ft_3,val_0,val,forecast/rmse,0.33570346886411034,0.768454757581542,104,124
ft_4,val_0,val,forecast/rmse,0.3719529895585921,0.8514330977577079,104,124
merged,val_0,val,forecast/rmse,0.17665760614126647,0.40438479340579636,104,124
base,val_1,val,forecast/mae,0.4081617593765259,1.0,104,124
ft_0,val_1,val,forecast/mae,0.25590163469314575,0.6269613181892393,104,124
ft_1,val_1,val,forecast/mae,0.10861564427614212,0.2661093102941696,104,124
ft_2,val_1,val,forecast/mae,0.26319223642349243,0.6448233583310772,104,124
ft_3,val_1,val,forecast/mae,0.2663433253765106,0.6525435547498488,104,124
ft_4,val_1,val,forecast/mae,0.32099270820617676,0.786435036678837,104,124
merged,val_1,val,forecast/mae,0.1858488917350769,0.45533146470890434,104,124
