merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,window_auroc,0.7746432785430754,87742,8
0.0,test,test,window_auprc,0.6230815250188054,87742,8
0.0,test,test,window_f1,0.6366395437063395,87742,8
0.0,test,test,window_precision,0.5186171913297385,87742,8
0.0,test,test,window_recall,0.8242048572299563,87742,8
0.0,test,test,point_auroc,0.7704945489715566,87742,8
0.0,test,test,point_auprc,0.5433718214140107,87742,8
0.0,test,test,point_f1,0.5805388610792913,87742,8
0.0,test,test,point_precision,0.4701008920175862,87742,8
0.0,test,test,point_recall,0.7587989170563623,87742,8
0.0,test,test,pa_f1,0.792707790052629,87742,8
0.0,test,test,pa_precision,0.9390586385082004,87742,8
0.0,test,test,pa_recall,0.6858232832882106,87742,8
0.0,test,test,event_f1,0.22844827586206898,87742,8
0.0,test,test,event_precision,0.13486005089058525,87742,8
0.0,test,test,event_recall,0.7464788732394366,87742,8
0.0,test,test,event_tp,53.0,87742,8
0.0,test,test,event_fp,340.0,87742,8
0.0,test,test,event_fn,18.0,87742,8
0.0,val_0,val,reconstruction/score_mean,0.6626512665606837,4869,8
0.0,val_0,val,reconstruction/score_std,0.821092258937185,4869,8
0.0,val_0,val,reconstruction/score_p50,0.4694080054759979,4869,8
0.0,val_0,val,reconstruction/score_p95,1.291812753677368,4869,8
0.0,val_0,val,reconstruction/score_p99,5.52423004150389,4869,8
0.0,val_1,val,reconstruction/score_mean,0.20739084921362563,4869,8
0.0,val_1,val,reconstruction/score_std,0.06281257275234127,4869,8
0.0,val_1,val,reconstruction/score_p50,0.19495199620723724,4869,8
0.0,val_1,val,reconstruction/score_p95,0.3239136397838592,4869,8
0.0,val_1,val,reconstruction/score_p99,0.37272626399993863,4869,8
0.0,val_base,val,reconstruction/score_mean,0.15932397307695334,9837,8
0.0,val_base,val,reconstruction/score_std,0.2616805811030803,9837,8
0.0,val_base,val,reconstruction/score_p50,0.0889534279704094,9837,8
0.0,val_base,val,reconstruction/score_p95,0.3674432456493378,9837,8
0.0,val_base,val,reconstruction/score_p99,1.6384073972702025,9837,8
0.1,test,test,window_auroc,0.7805339439651012,87742,8
0.1,test,test,window_auprc,0.625627481463624,87742,8
0.1,test,test,window_f1,0.6387651685255396,87742,8
0.1,test,test,window_precision,0.5007887952595329,87742,8
0.1,test,test,window_recall,0.8816854655692172,87742,8
0.1,test,test,point_auroc,0.775788637913782,87742,8
0.1,test,test,point_auprc,0.5443314158371259,87742,8
0.1,test,test,point_f1,0.5835134001999549,87742,8
0.1,test,test,point_precision,0.4807365288553513,87742,8
0.1,test,test,point_recall,0.7421855771597342,87742,8
0.1,test,test,pa_f1,0.7755537515945726,87742,8
0.1,test,test,pa_precision,0.8922986604045472,87742,8
0.1,test,test,pa_recall,0.6858232832882106,87742,8
0.1,test,test,event_f1,0.18928571428571428,87742,8
0.1,test,test,event_precision,0.1083844580777096,87742,8
0.1,test,test,event_recall,0.7464788732394366,87742,8
0.1,test,test,event_tp,53.0,87742,8
0.1,test,test,event_fp,436.0,87742,8
0.1,test,test,event_fn,18.0,87742,8
0.1,val_0,val,reconstruction/score_mean,0.5994899288511516,4869,8
