model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,reconstruction/score_mean,0.15932397307695334,1.0,9837,8
ft_0,val_base,val,reconstruction/score_mean,0.1752719784846051,1.1000979645413995,9837,8
ft_1,val_base,val,reconstruction/score_mean,0.17714992239639576,1.1118849158427182,9837,8
merged,val_base,val,reconstruction/score_mean,0.20608055886061827,1.2934686154297792,9837,8
base,val_base,val,reconstruction/score_p50,0.0889534279704094,1.0,9837,8
ft_0,val_base,val,reconstruction/score_p50,0.10855434089899063,1.22035028189247,9837,8
ft_1,val_base,val,reconstruction/score_p50,0.11356699466705322,1.2767017219935763,9837,8
merged,val_base,val,reconstruction/score_p50,0.1441182643175125,1.620154136897949,9837,8
base,val_base,val,reconstruction/score_p95,0.3674432456493378,1.0,9837,8
ft_0,val_base,val,reconstruction/score_p95,0.3842469155788412,1.0457313343719472,9837,8
ft_1,val_base,val,reconstruction/score_p95,0.38840317130088436,1.0570426205943904,9837,8
merged,val_base,val,reconstruction/score_p95,0.42438026070594737,1.1549545834105392,9837,8
base,val_base,val,reconstruction/score_p99,1.6384073972702025,1.0,9837,8
ft_0,val_base,val,reconstruction/score_p99,1.659664621353149,1.0129743213552158,9837,8
ft_1,val_base,val,reconstruction/score_p99,1.59897882938385,0.9759348206361583,9837,8
merged,val_base,val,reconstruction/score_p99,1.6416398191451997,1.0019729048345258,9837,8
base,val_base,val,reconstruction/score_std,0.2616805811030803,1.0,9837,8
ft_0,val_base,val,reconstruction/score_std,0.26416278313797237,1.0094856180173122,9837,8
ft_1,val_base,val,reconstruction/score_std,0.25442073046353053,0.9722568231507787,9837,8
merged,val_base,val,reconstruction/score_std,0.2585385713644245,0.9879929579588556,9837,8
base,val_0,val,reconstruction/score_mean,0.6626512665606837,1.0,4869,8
ft_0,val_0,val,reconstruction/score_mean,0.4546137053996147,0.6860527223605366,4869,8
ft_1,val_0,val,reconstruction/score_mean,0.48659694028919204,0.7343182830008684,4869,8
merged,val_0,val,reconstruction/score_mean,0.41977984448261735,0.6334853122085976,4869,8
base,val_0,val,reconstruction/score_p50,0.4694080054759979,1.0,4869,8
ft_0,val_0,val,reconstruction/score_p50,0.2667924463748932,0.5683593872762253,4869,8
ft_1,val_0,val,reconstruction/score_p50,0.31606364250183105,0.6733239288949285,4869,8
merged,val_0,val,reconstruction/score_p50,0.21749936044216156,0.4633482128657111,4869,8
base,val_0,val,reconstruction/score_p95,1.291812753677368,1.0,4869,8
ft_0,val_0,val,reconstruction/score_p95,0.7381135106086729,0.5713780952444582,4869,8
ft_1,val_0,val,reconstruction/score_p95,0.7737369656562805,0.5989544254410747,4869,8
merged,val_0,val,reconstruction/score_p95,0.6485334992408737,0.5020336712071553,4869,8
base,val_0,val,reconstruction/score_p99,5.52423004150389,1.0,4869,8
ft_0,val_0,val,reconstruction/score_p99,5.436036663055418,0.984035172723462,4869,8
ft_1,val_0,val,reconstruction/score_p99,5.493246402740472,0.9943913199612189,4869,8
merged,val_0,val,reconstruction/score_p99,6.151061649322507,1.113469497669212,4869,8
base,val_0,val,reconstruction/score_std,0.821092258937185,1.0,4869,8
ft_0,val_0,val,reconstruction/score_std,0.8132208214272875,0.9904134554622568,4869,8
ft_1,val_0,val,reconstruction/score_std,0.8242498028979618,1.0038455410173566,4869,8
merged,val_0,val,reconstruction/score_std,0.920020726276874,1.120483984915095,4869,8
base,val_1,val,reconstruction/score_mean,0.20739084921362563,1.0,4869,8
ft_0,val_1,val,reconstruction/score_mean,0.20083137242474286,0.9683714261561941,4869,8
ft_1,val_1,val,reconstruction/score_mean,0.15861802762093105,0.7648265495916095,4869,8
merged,val_1,val,reconstruction/score_mean,0.19832158895256485,0.9562697182857915,4869,8
base,val_1,val,reconstruction/score_p50,0.19495199620723724,1.0,4869,8
ft_0,val_1,val,reconstruction/score_p50,0.18670861423015594,0.9577158370396042,4869,8
ft_1,val_1,val,reconstruction/score_p50,0.14957641065120697,0.767247391979535,4869,8
merged,val_1,val,reconstruction/score_p50,0.19175033271312714,0.9835771699885202,4869,8
base,val_1,val,reconstruction/score_p95,0.3239136397838592,1.0,4869,8
ft_0,val_1,val,reconstruction/score_p95,0.3125156700611114,0.9648117018772244,4869,8
ft_1,val_1,val,reconstruction/score_p95,0.25363959074020387,0.7830469593977342,4869,8
merged,val_1,val,reconstruction/score_p95,0.2868789553642273,0.8856649431485987,4869,8
base,val_1,val,reconstruction/score_p99,0.37272626399993863,1.0,4869,8
ft_0,val_1,val,reconstruction/score_p99,0.3631125819683071,0.9742071247449492,4869,8
ft_1,val_1,val,reconstruction/score_p99,0.31447817206382744,0.8437242084552411,4869,8
merged,val_1,val,reconstruction/score_p99,0.34845743060111944,0.9348883195448143,4869,8
base,val_1,val,reconstruction/score_std,0.06281257275234127,1.0,4869,8
ft_0,val_1,val,reconstruction/score_std,0.05986050956141793,0.9530020334851942,4869,8
ft_1,val_1,val,reconstruction/score_std,0.05180385323562892,0.8247370067117333,4869,8
merged,val_1,val,reconstruction/score_std,0.04955901361421273,0.7889983078644947,4869,8
base,test,test,event_f1,0.22844827586206898,1.0,87742,8
ft_0,test,test,event_f1,0.3216374269005848,1.407922321527088,87742,8
ft_1,test,test,event_f1,0.1996779388083736,0.8740619208215599,87742,8
merged,test,test,event_f1,0.27634660421545665,1.2096681543016214,87742,8
standard,test,test,event_f1,0.2878411910669975,1.2599840816517627,87742,8
base,test,test,event_fn,18.0,1.0,87742,8
ft_0,test,test,event_fn,16.0,0.8888888888888888,87742,8
ft_1,test,test,event_fn,9.0,0.5,87742,8
merged,test,test,event_fn,12.0,0.6666666666666666,87742,8
standard,test,test,event_fn,13.0,0.7222222222222222,87742,8
base,test,test,event_fp,340.0,1.0,87742,8
ft_0,test,test,event_fp,216.0,0.6352941176470588,87742,8
ft_1,test,test,event_fp,488.0,1.4352941176470588,87742,8
merged,test,test,event_fp,297.0,0.8735294117647059,87742,8
standard,test,test,event_fp,274.0,0.8058823529411765,87742,8
base,test,test,event_precision,0.13486005089058525,1.0,87742,8
ft_0,test,test,event_precision,0.2029520295202952,1.504908445310868,87742,8
ft_1,test,test,event_precision,0.11272727272727273,0.8358833619210977,87742,8
merged,test,test,event_precision,0.16573033707865167,1.2289060843756623,87742,8
standard,test,test,event_precision,0.1746987951807229,1.2954080472834735,87742,8
base,test,test,event_recall,0.7464788732394366,1.0,87742,8
ft_0,test,test,event_recall,0.7746478873239436,1.0377358490566038,87742,8
ft_1,test,test,event_recall,0.8732394366197183,1.169811320754717,87742,8
merged,test,test,event_recall,0.8309859154929577,1.1132075471698113,87742,8
standard,test,test,event_recall,0.8169014084507042,1.0943396226415094,87742,8
base,test,test,event_tp,53.0,1.0,87742,8
ft_0,test,test,event_tp,55.0,1.0377358490566038,87742,8
ft_1,test,test,event_tp,62.0,1.169811320754717,87742,8
merged,test,test,event_tp,59.0,1.1132075471698113,87742,8
standard,test,test,event_tp,58.0,1.0943396226415094,87742,8
base,test,test,pa_f1,0.792707790052629,1.0,87742,8
ft_0,test,test,pa_f1,0.7660163755647492,0.9663288101582707,87742,8
ft_1,test,test,pa_f1,0.766628260186446,0.9671007019314752,87742,8
merged,test,test,pa_f1,0.7669225987466608,0.967472009699493,87742,8
standard,test,test,pa_f1,0.7665523334372726,0.9670049204214078,87742,8
base,test,test,pa_precision,0.9390586385082004,1.0,87742,8
ft_0,test,test,pa_precision,0.6626336437962325,0.7056360664003901,87742,8
ft_1,test,test,pa_precision,0.6673048869438366,0.7106104555983054,87742,8
merged,test,test,pa_precision,0.649460774549697,0.6916083276561281,87742,8
standard,test,test,pa_precision,0.663458078445484,0.7065140037468388,87742,8
base,test,test,pa_recall,0.6858232832882106,1.0,87742,8
ft_0,test,test,pa_recall,0.9076216260562803,1.3234045098391054,87742,8
ft_1,test,test,pa_recall,0.9006891459512676,1.3132962497757044,87742,8
merged,test,test,pa_recall,0.9362539995077529,1.365153418266643,87742,8
standard,test,test,pa_recall,0.9075806054639429,1.323344697649381,87742,8
base,test,test,point_auprc,0.5433718214140107,1.0,87742,8
ft_0,test,test,point_auprc,0.5590884551729348,1.0289242708943296,87742,8
ft_1,test,test,point_auprc,0.5233177151470912,0.9630932163270209,87742,8
merged,test,test,point_auprc,0.5549369966844448,1.0212840909569771,87742,8
standard,test,test,point_auprc,0.5626670985750799,1.0355102646119139,87742,8
base,test,test,point_auroc,0.7704945489715566,1.0,87742,8
ft_0,test,test,point_auroc,0.787863163919297,1.022542164601844,87742,8
ft_1,test,test,point_auroc,0.7915649033710889,1.0273465327271383,87742,8
