model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,reconstruction/score_mean,0.04054224786551954,1.0,37026,8
ft_0,val_base,val,reconstruction/score_mean,0.048480289207118395,1.1957967739709374,37026,8
ft_1,val_base,val,reconstruction/score_mean,0.053378755314490836,1.3166205162464244,37026,8
merged,val_base,val,reconstruction/score_mean,0.11984849863580578,2.95613847148655,37026,8
base,val_base,val,reconstruction/score_p50,0.006450236309319735,1.0,37026,8
ft_0,val_base,val,reconstruction/score_p50,0.018154624849557877,2.814567401713152,37026,8
ft_1,val_base,val,reconstruction/score_p50,0.021885269321501255,3.392940703564604,37026,8
merged,val_base,val,reconstruction/score_p50,0.09215528517961502,14.287117674504866,37026,8
base,val_base,val,reconstruction/score_p95,0.24722885712981224,1.0,37026,8
ft_0,val_base,val,reconstruction/score_p95,0.25259436666965485,1.0217026022048281,37026,8
ft_1,val_base,val,reconstruction/score_p95,0.2589971423149109,1.047600774932675,37026,8
merged,val_base,val,reconstruction/score_p95,0.32900742441415787,1.3307808329243953,37026,8
base,val_base,val,reconstruction/score_p99,0.5925944447517395,1.0,37026,8
ft_0,val_base,val,reconstruction/score_p99,0.5728835016489029,0.9667378874753133,37026,8
ft_1,val_base,val,reconstruction/score_p99,0.5850861966609955,0.987329870947593,37026,8
merged,val_base,val,reconstruction/score_p99,0.6634466201066971,1.1195626722161398,37026,8
base,val_base,val,reconstruction/score_std,0.10473505558350743,1.0,37026,8
ft_0,val_base,val,reconstruction/score_std,0.10031673410655081,0.9578143015025776,37026,8
ft_1,val_base,val,reconstruction/score_std,0.102018699699785,0.974064501435657,37026,8
merged,val_base,val,reconstruction/score_std,0.10476671144013106,1.0003022470026608,37026,8
base,val_0,val,reconstruction/score_mean,0.10119975939145269,1.0,18463,8
ft_0,val_0,val,reconstruction/score_mean,0.06210976200900503,0.6137342853628446,18463,8
ft_1,val_0,val,reconstruction/score_mean,0.05753031341013084,0.5684827094064202,18463,8
merged,val_0,val,reconstruction/score_mean,0.07904467740007019,0.7810757444028695,18463,8
base,val_0,val,reconstruction/score_p50,0.052643295377492905,1.0,18463,8
ft_0,val_0,val,reconstruction/score_p50,0.015067513100802898,0.28621903307453006,18463,8
ft_1,val_0,val,reconstruction/score_p50,0.009725167416036129,0.18473705618729225,18463,8
merged,val_0,val,reconstruction/score_p50,0.03607770428061485,0.685323819907359,18463,8
base,val_0,val,reconstruction/score_p95,0.3611944884061806,1.0,18463,8
ft_0,val_0,val,reconstruction/score_p95,0.30600502192973733,0.847202910764297,18463,8
ft_1,val_0,val,reconstruction/score_p95,0.30455259382724453,0.8431817306269648,18463,8
merged,val_0,val,reconstruction/score_p95,0.3271107733249651,0.9056361152363799,18463,8
base,val_0,val,reconstruction/score_p99,0.8476328599452998,1.0,18463,8
ft_0,val_0,val,reconstruction/score_p99,0.7432620084285737,0.8768678558268005,18463,8
ft_1,val_0,val,reconstruction/score_p99,0.7331698548793795,0.8649615765564976,18463,8
merged,val_0,val,reconstruction/score_p99,0.7524531161785126,0.88771112085847,18463,8
base,val_0,val,reconstruction/score_std,0.1482775265709232,1.0,18463,8
ft_0,val_0,val,reconstruction/score_std,0.13400126685464,0.9037193292440399,18463,8
ft_1,val_0,val,reconstruction/score_std,0.13421115590269433,0.9051348441430825,18463,8
merged,val_0,val,reconstruction/score_std,0.13339600056892809,0.8996373466286742,18463,8
base,val_1,val,reconstruction/score_mean,0.07952229322868934,1.0,18463,8
ft_0,val_1,val,reconstruction/score_mean,0.05582219224964117,0.7019690954976402,18463,8
ft_1,val_1,val,reconstruction/score_mean,0.041600505600354554,0.5231301049219025,18463,8
merged,val_1,val,reconstruction/score_mean,0.0817141178548449,1.0275623920936527,18463,8
base,val_1,val,reconstruction/score_p50,0.04304051026701927,1.0,18463,8
ft_0,val_1,val,reconstruction/score_p50,0.021810457110404968,0.5067425310502814,18463,8
ft_1,val_1,val,reconstruction/score_p50,0.007617006544023752,0.17697296097951815,18463,8
merged,val_1,val,reconstruction/score_p50,0.04900695011019707,1.1386238175654184,18463,8
base,val_1,val,reconstruction/score_p95,0.30490261614322656,1.0,18463,8
ft_0,val_1,val,reconstruction/score_p95,0.272152230143547,0.8925873893312374,18463,8
ft_1,val_1,val,reconstruction/score_p95,0.25974178314208984,0.8518844030517514,18463,8
merged,val_1,val,reconstruction/score_p95,0.2966275870800014,0.9728600916322149,18463,8
base,val_1,val,reconstruction/score_p99,0.6912154638767245,1.0,18463,8
ft_0,val_1,val,reconstruction/score_p99,0.6273033368587498,0.9075366070956811,18463,8
ft_1,val_1,val,reconstruction/score_p99,0.5898064017295841,0.8532887826635396,18463,8
merged,val_1,val,reconstruction/score_p99,0.641909097433091,0.9286671537018346,18463,8
base,val_1,val,reconstruction/score_std,0.1198986849931059,1.0,18463,8
ft_0,val_1,val,reconstruction/score_std,0.1094292335573638,0.9126808485318744,18463,8
ft_1,val_1,val,reconstruction/score_std,0.10699930717900115,0.8924143512095528,18463,8
merged,val_1,val,reconstruction/score_std,0.10817661174307386,0.9022335128137056,18463,8
base,test,test,event_f1,0.21951219512195122,1.0,449820,8
ft_0,test,test,event_f1,0.18823529411764708,0.8575163398692811,449820,8
ft_1,test,test,event_f1,0.22222222222222224,1.0123456790123457,449820,8
merged,test,test,event_f1,0.23880597014925375,1.0878938640132672,449820,8
standard,test,test,event_f1,0.2465753424657534,1.1232876712328765,449820,8
base,test,test,event_fn,26.0,1.0,449820,8
ft_0,test,test,event_fn,27.0,1.0384615384615385,449820,8
ft_1,test,test,event_fn,27.0,1.0384615384615385,449820,8
merged,test,test,event_fn,27.0,1.0384615384615385,449820,8
standard,test,test,event_fn,26.0,1.0,449820,8
base,test,test,event_fp,38.0,1.0,449820,8
ft_0,test,test,event_fp,42.0,1.105263157894737,449820,8
ft_1,test,test,event_fp,29.0,0.7631578947368421,449820,8
merged,test,test,event_fp,24.0,0.631578947368421,449820,8
standard,test,test,event_fp,29.0,0.7631578947368421,449820,8
base,test,test,event_precision,0.19148936170212766,1.0,449820,8
ft_0,test,test,event_precision,0.16,0.8355555555555556,449820,8
ft_1,test,test,event_precision,0.21621621621621623,1.1291291291291292,449820,8
merged,test,test,event_precision,0.25,1.3055555555555556,449820,8
standard,test,test,event_precision,0.23684210526315788,1.2368421052631577,449820,8
base,test,test,event_recall,0.2571428571428571,1.0,449820,8
ft_0,test,test,event_recall,0.22857142857142856,0.888888888888889,449820,8
ft_1,test,test,event_recall,0.22857142857142856,0.888888888888889,449820,8
merged,test,test,event_recall,0.22857142857142856,0.888888888888889,449820,8
standard,test,test,event_recall,0.2571428571428571,1.0,449820,8
base,test,test,event_tp,9.0,1.0,449820,8
ft_0,test,test,event_tp,8.0,0.8888888888888888,449820,8
ft_1,test,test,event_tp,8.0,0.8888888888888888,449820,8
merged,test,test,event_tp,8.0,0.8888888888888888,449820,8
standard,test,test,event_tp,9.0,1.0,449820,8
base,test,test,pa_f1,0.8424082561906385,1.0,449820,8
ft_0,test,test,pa_f1,0.8394673073338442,0.9965088793525205,449820,8
ft_1,test,test,pa_f1,0.8395020815641764,0.9965501588984849,449820,8
merged,test,test,pa_f1,0.842332223514782,0.9999097436720287,449820,8
standard,test,test,pa_f1,0.8443414916638727,1.0022948914128362,449820,8
base,test,test,pa_precision,0.9314864924810362,1.0,449820,8
ft_0,test,test,pa_precision,0.9663130289665037,1.0373881282944921,449820,8
ft_1,test,test,pa_precision,0.9664051882406237,1.0374870661479811,449820,8
merged,test,test,pa_precision,0.931300587648298,0.999800421332742,449820,8
standard,test,test,pa_precision,0.9485686892206547,1.0183386413839666,449820,8
base,test,test,pa_recall,0.7688801010600319,1.0,449820,8
ft_0,test,test,pa_recall,0.7420589150692957,0.9651165559444721,449820,8
ft_1,test,test,pa_recall,0.7420589150692957,0.9651165559444721,449820,8
merged,test,test,pa_recall,0.7688801010600319,1.0,449820,8
standard,test,test,pa_recall,0.7607513593672763,0.9894278162725908,449820,8
base,test,test,point_auprc,0.7062297791948743,1.0,449820,8
ft_0,test,test,point_auprc,0.7053516207280012,0.9987565541800372,449820,8
ft_1,test,test,point_auprc,0.7058801105848374,0.9995048798275887,449820,8
merged,test,test,point_auprc,0.7063722645472651,1.0002017549480189,449820,8
standard,test,test,point_auprc,0.7024222063622492,0.9946085920690488,449820,8
base,test,test,point_auroc,0.8139520032008369,1.0,449820,8
ft_0,test,test,point_auroc,0.8135039800254087,0.999449570522996,449820,8
ft_1,test,test,point_auroc,0.816189206772748,1.0027485694034948,449820,8
merged,test,test,point_auroc,0.8187174246412012,1.0058546713093948,449820,8
standard,test,test,point_auroc,0.8222061096145968,1.010140777811592,449820,8
base,test,test,point_f1,0.7657595514118511,1.0,449820,8
ft_0,test,test,point_f1,0.7655051915821806,0.9996678332915317,449820,8
ft_1,test,test,point_f1,0.7662015124010202,1.000577153740171,449820,8
merged,test,test,point_f1,0.7663237128095493,1.0007367343922227,449820,8
standard,test,test,point_f1,0.7646020841887977,0.9984884717129295,449820,8
base,test,test,point_precision,0.975979127080911,1.0,449820,8
ft_0,test,test,point_precision,0.9760756044954024,1.0000988519239955,449820,8
ft_1,test,test,point_precision,0.9780779073073642,1.0021504355659026,449820,8
merged,test,test,point_precision,0.9779464006593344,1.0020156922661936,449820,8
standard,test,test,point_precision,0.9707490277856056,0.994641177100838,449820,8
base,test,test,point_recall,0.6300507130956958,1.0,449820,8
ft_0,test,test,point_recall,0.6296662455832006,0.9993897832277561,449820,8
ft_1,test,test,point_recall,0.6297760934439135,0.9995641308769686,449820,8
merged,test,test,point_recall,0.6299957891653394,0.9999128261753938,449820,8
standard,test,test,point_recall,0.6306731843064023,1.0009879700122042,449820,8
base,test,test,window_auprc,0.7018048668061962,1.0,449820,8
ft_0,test,test,window_auprc,0.7015598127880306,0.9996508231422206,449820,8
ft_1,test,test,window_auprc,0.7021104207593275,1.0004353830638448,449820,8
merged,test,test,window_auprc,0.7022963669119522,1.0007003372718013,449820,8
standard,test,test,window_auprc,0.7015149025741648,0.9995868306907716,449820,8
base,test,test,window_auroc,0.7984065025053857,1.0,449820,8
ft_0,test,test,window_auroc,0.7977593159051468,0.9991894021426329,449820,8
ft_1,test,test,window_auroc,0.8008554180223562,1.003067253973115,449820,8
merged,test,test,window_auroc,0.803693050560096,1.0066213739969818,449820,8
standard,test,test,window_auroc,0.8076018941624229,1.0115171803187752,449820,8
base,test,test,window_f1,0.7491503253958894,1.0,449820,8
ft_0,test,test,window_f1,0.748898678414097,0.999664090138839,449820,8
ft_1,test,test,window_f1,0.7495198137199146,1.0004932098558856,449820,8
merged,test,test,window_f1,0.7496941731945488,1.00072595282979,449820,8
standard,test,test,window_f1,0.7483741228820812,0.9989638895058904,449820,8
base,test,test,window_precision,0.9905866341546401,1.0,449820,8
ft_0,test,test,window_precision,0.9898002549936251,0.999206148019869,449820,8
ft_1,test,test,window_precision,0.9924412491830298,1.001872239099988,449820,8
merged,test,test,window_precision,0.9927247925429123,1.0021584769212002,449820,8
standard,test,test,window_precision,0.9857972158034154,0.9951650686713415,449820,8
base,test,test,window_recall,0.6023412985759111,1.0,449820,8
ft_0,test,test,window_recall,0.6023068170063102,0.9999427541002377,449820,8
ft_1,test,test,window_recall,0.6021344091583049,0.9996565246014254,449820,8
merged,test,test,window_recall,0.6022550946519085,0.9998568852505939,449820,8
standard,test,test,window_recall,0.6031171338919348,1.0012880327446547,449820,8
