merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,window_auroc,0.7993483918652411,449820,43
0.0,test,test,window_auprc,0.7025278350884884,449820,43
0.0,test,test,window_f1,0.7505823502259626,449820,43
0.0,test,test,window_precision,0.9944815815673446,449820,43
0.0,test,test,window_recall,0.6027550774111238,449820,43
0.0,test,test,point_auroc,0.8147649020340585,449820,43
0.0,test,test,point_auprc,0.7054281760074026,449820,43
0.0,test,test,point_f1,0.7671290879714747,449820,43
0.0,test,test,point_precision,0.9800421364309304,449820,43
0.0,test,test,point_recall,0.6302154848867652,449820,43
0.0,test,test,pa_f1,0.8367544656372994,449820,43
0.0,test,test,pa_precision,0.9322674222492073,449820,43
0.0,test,test,pa_recall,0.7589937935958697,449820,43
0.0,test,test,event_f1,0.25396825396825395,449820,43
0.0,test,test,event_precision,0.2857142857142857,449820,43
0.0,test,test,event_recall,0.22857142857142856,449820,43
0.0,test,test,event_tp,8.0,449820,43
0.0,test,test,event_fp,20.0,449820,43
0.0,test,test,event_fn,27.0,449820,43
0.0,val_0,val,reconstruction/score_mean,0.06500597839344648,7326,43
0.0,val_0,val,reconstruction/score_std,0.1319927014965572,7326,43
0.0,val_0,val,reconstruction/score_p50,0.023471441119909286,7326,43
0.0,val_0,val,reconstruction/score_p95,0.29821212589740753,7326,43
0.0,val_0,val,reconstruction/score_p99,0.7748261541128159,7326,43
0.0,val_1,val,reconstruction/score_mean,0.11387259442457859,7326,43
0.0,val_1,val,reconstruction/score_std,0.1317769491872485,7326,43
0.0,val_1,val,reconstruction/score_p50,0.06844598799943924,7326,43
0.0,val_1,val,reconstruction/score_p95,0.3424140214920044,7326,43
0.0,val_1,val,reconstruction/score_p99,0.8209054321050644,7326,43
0.0,val_2,val,reconstruction/score_mean,0.06285540293724183,7326,43
0.0,val_2,val,reconstruction/score_std,0.10684437459077215,7326,43
0.0,val_2,val,reconstruction/score_p50,0.029383228160440922,7326,43
0.0,val_2,val,reconstruction/score_p95,0.2782895565032959,7326,43
0.0,val_2,val,reconstruction/score_p99,0.6191912740468979,7326,43
0.0,val_3,val,reconstruction/score_mean,0.12375343785375365,7326,43
0.0,val_3,val,reconstruction/score_std,0.15405288297017203,7326,43
0.0,val_3,val,reconstruction/score_p50,0.07049599662423134,7326,43
0.0,val_3,val,reconstruction/score_p95,0.35827428847551346,7326,43
0.0,val_3,val,reconstruction/score_p99,0.9419994652271271,7326,43
0.0,val_4,val,reconstruction/score_mean,0.09265114523220218,7326,43
0.0,val_4,val,reconstruction/score_std,0.13623893010072763,7326,43
0.0,val_4,val,reconstruction/score_p50,0.050212979316711426,7326,43
0.0,val_4,val,reconstruction/score_p95,0.3378988206386566,7326,43
0.0,val_4,val,reconstruction/score_p99,0.8191754370927811,7326,43
0.0,val_base,val,reconstruction/score_mean,0.04418961025634954,37026,43
0.0,val_base,val,reconstruction/score_std,0.11720854536363509,37026,43
0.0,val_base,val,reconstruction/score_p50,0.007251400966197252,37026,43
0.0,val_base,val,reconstruction/score_p95,0.2602169066667557,37026,43
0.0,val_base,val,reconstruction/score_p99,0.681574672460556,37026,43
0.25,test,test,window_auroc,0.7999584340254295,449820,43
0.25,test,test,window_auprc,0.7028279346104053,449820,43
0.25,test,test,window_f1,0.7508723708085938,449820,43
0.25,test,test,window_precision,0.9952184431478582,449820,43
0.25,test,test,window_recall,0.6028585221199269,449820,43
0.25,test,test,point_auroc,0.8154127970294301,449820,43
0.25,test,test,point_auprc,0.7051263837457862,449820,43
0.25,test,test,point_f1,0.76728844910967,449820,43
0.25,test,test,point_precision,0.9802966885908716,449820,43
0.25,test,test,point_recall,0.630325332747478,449820,43
0.25,test,test,pa_f1,0.8368895976744656,449820,43
0.25,test,test,pa_precision,0.932602973927519,449820,43
0.25,test,test,pa_recall,0.7589937935958697,449820,43
0.25,test,test,event_f1,0.32,449820,43
0.25,test,test,event_precision,0.5333333333333333,449820,43
0.25,test,test,event_recall,0.22857142857142856,449820,43
0.25,test,test,event_tp,8.0,449820,43
0.25,test,test,event_fp,7.0,449820,43
0.25,test,test,event_fn,27.0,449820,43
0.25,val_0,val,reconstruction/score_mean,0.04872866345283713,7326,43
0.25,val_0,val,reconstruction/score_std,0.12105291184508622,7326,43
0.25,val_0,val,reconstruction/score_p50,0.009147620294243097,7326,43
0.25,val_0,val,reconstruction/score_p95,0.28145552426576614,7326,43
0.25,val_0,val,reconstruction/score_p99,0.6684091985225677,7326,43
0.25,val_1,val,reconstruction/score_mean,0.06550123288639148,7326,43
0.25,val_1,val,reconstruction/score_std,0.11994668014889266,7326,43
0.25,val_1,val,reconstruction/score_p50,0.024990800768136978,7326,43
0.25,val_1,val,reconstruction/score_p95,0.29212790727615356,7326,43
0.25,val_1,val,reconstruction/score_p99,0.6792667210102081,7326,43
0.25,val_2,val,reconstruction/score_mean,0.03787596087155031,7326,43
0.25,val_2,val,reconstruction/score_std,0.097900952900772,7326,43
0.25,val_2,val,reconstruction/score_p50,0.006363397231325507,7326,43
0.25,val_2,val,reconstruction/score_p95,0.24494056776165962,7326,43
0.25,val_2,val,reconstruction/score_p99,0.5518497973680496,7326,43
0.25,val_3,val,reconstruction/score_mean,0.07166861878352562,7326,43
0.25,val_3,val,reconstruction/score_std,0.1331719490759964,7326,43
0.25,val_3,val,reconstruction/score_p50,0.024412192404270172,7326,43
0.25,val_3,val,reconstruction/score_p95,0.306094191968441,7326,43
0.25,val_3,val,reconstruction/score_p99,0.7460197657346725,7326,43
0.25,val_4,val,reconstruction/score_mean,0.05521716469687283,7326,43
0.25,val_4,val,reconstruction/score_std,0.1193327805336734,7326,43
0.25,val_4,val,reconstruction/score_p50,0.01621626317501068,7326,43
0.25,val_4,val,reconstruction/score_p95,0.28952741622924805,7326,43
0.25,val_4,val,reconstruction/score_p99,0.6673307716846466,7326,43
0.25,val_base,val,reconstruction/score_mean,0.05178282476686889,37026,43
0.25,val_base,val,reconstruction/score_std,0.11279411449364697,37026,43
0.25,val_base,val,reconstruction/score_p50,0.01752967108041048,37026,43
0.25,val_base,val,reconstruction/score_p95,0.26969847828149796,37026,43
0.25,val_base,val,reconstruction/score_p99,0.6538008600473404,37026,43
0.5,test,test,window_auroc,0.8046284920834541,449820,43
0.5,test,test,window_auprc,0.7036647182280437,449820,43
0.5,test,test,window_f1,0.7510519536281666,449820,43
0.5,test,test,window_precision,0.9950509130212185,449820,43
0.5,test,test,window_recall,0.6031516154615358,449820,43
0.5,test,test,point_auroc,0.819622586437244,449820,43
0.5,test,test,point_auprc,0.7060484636361603,449820,43
0.5,test,test,point_f1,0.767343391348918,449820,43
0.5,test,test,point_precision,0.9802989323843416,449820,43
0.5,test,test,point_recall,0.63039856465462,449820,43
