model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,forecast/mae,0.39565616846084595,1.0,926,43
ft_0,val_base,val,forecast/mae,0.4333040714263916,1.095153079786424,926,43
ft_1,val_base,val,forecast/mae,0.3965555429458618,1.0022731213531044,926,43
ft_2,val_base,val,forecast/mae,0.43108484148979187,1.0895440937184628,926,43
merged,val_base,val,forecast/mae,0.5180930495262146,1.3094527289734015,926,43
base,val_base,val,forecast/mse,0.32120075821876526,1.0,926,43
ft_0,val_base,val,forecast/mse,0.354701966047287,1.1042999026973173,926,43
ft_1,val_base,val,forecast/mse,0.3190764784812927,0.9933864423320392,926,43
ft_2,val_base,val,forecast/mse,0.3487009108066559,1.0856167113066422,926,43
merged,val_base,val,forecast/mse,0.5008134245872498,1.5591912900969955,926,43
base,val_base,val,forecast/rmse,0.5667457615357747,1.0,926,43
ft_0,val_base,val,forecast/rmse,0.5955686073386398,1.0508567469913856,926,43
ft_1,val_base,val,forecast/rmse,0.5648685497363902,0.9966877356183528,926,43
ft_2,val_base,val,forecast/rmse,0.5905090268629735,1.0419293216464554,926,43
merged,val_base,val,forecast/rmse,0.7076817254862879,1.248675814652064,926,43
base,val_0,val,forecast/mae,0.5676957368850708,1.0,229,43
ft_0,val_0,val,forecast/mae,0.5241575241088867,0.9233071345311189,229,43
ft_1,val_0,val,forecast/mae,0.4548046290874481,0.801141526238945,229,43
ft_2,val_0,val,forecast/mae,0.5192810893058777,0.9147172606142107,229,43
merged,val_0,val,forecast/mae,0.6964494585990906,1.2268005788109093,229,43
base,val_0,val,forecast/mse,0.5467001795768738,1.0,229,43
ft_0,val_0,val,forecast/mse,0.49971672892570496,0.9140599319218583,229,43
ft_1,val_0,val,forecast/mse,0.38109761476516724,0.6970870488100499,229,43
ft_2,val_0,val,forecast/mse,0.46447163820266724,0.8495911571899456,229,43
merged,val_0,val,forecast/mse,0.7766818404197693,1.4206723711356617,229,43
base,val_0,val,forecast/rmse,0.7393917632600959,1.0,229,43
ft_0,val_0,val,forecast/rmse,0.7069064499109518,0.9560648157535442,229,43
ft_1,val_0,val,forecast/rmse,0.6173310414722131,0.8349173904106022,229,43
ft_2,val_0,val,forecast/rmse,0.6815215610695433,0.9217326929158722,229,43
