model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,reconstruction/score_mean,0.16291104537043202,1.0,9837,43
ft_0,val_base,val,reconstruction/score_mean,0.16931301547780359,1.0392973361187057,9837,43
ft_1,val_base,val,reconstruction/score_mean,0.18326985263280343,1.1249688577964676,9837,43
ft_2,val_base,val,reconstruction/score_mean,0.1776380829525949,1.090399257758589,9837,43
merged,val_base,val,reconstruction/score_mean,0.2688304729296919,1.6501672573422945,9837,43
base,val_base,val,reconstruction/score_p50,0.0915706604719162,1.0,9837,43
ft_0,val_base,val,reconstruction/score_p50,0.10098264366388321,1.102783829923926,9837,43
ft_1,val_base,val,reconstruction/score_p50,0.11796051263809204,1.2881911305452398,9837,43
ft_2,val_base,val,reconstruction/score_p50,0.11041426658630371,1.2057821360824044,9837,43
merged,val_base,val,reconstruction/score_p50,0.2079268991947174,2.2706716116619745,9837,43
base,val_base,val,reconstruction/score_p95,0.37183665633201596,1.0,9837,43
ft_0,val_base,val,reconstruction/score_p95,0.37348729968070926,1.00443916252092,9837,43
ft_1,val_base,val,reconstruction/score_p95,0.3908183813095092,1.0510485576240345,9837,43
ft_2,val_base,val,reconstruction/score_p95,0.3863192498683928,1.0389488053147864,9837,43
merged,val_base,val,reconstruction/score_p95,0.4901895225048055,1.3182926270375865,9837,43
base,val_base,val,reconstruction/score_p99,1.6528271102905272,1.0,9837,43
ft_0,val_base,val,reconstruction/score_p99,1.6597394180297846,1.00418211178666,9837,43
ft_1,val_base,val,reconstruction/score_p99,1.6713619232177728,1.0112140058762635,9837,43
ft_2,val_base,val,reconstruction/score_p99,1.6153596210479733,0.977331271365722,9837,43
merged,val_base,val,reconstruction/score_p99,1.7399551534652706,1.0527145535260662,9837,43
base,val_base,val,reconstruction/score_std,0.266820873444023,1.0,9837,43
ft_0,val_base,val,reconstruction/score_std,0.2684946625755239,1.0062730816742194,9837,43
ft_1,val_base,val,reconstruction/score_std,0.2642053566640979,0.9901974806312377,9837,43
ft_2,val_base,val,reconstruction/score_std,0.259157031070344,0.9712772007873408,9837,43
merged,val_base,val,reconstruction/score_std,0.262501055679946,0.9838100456372907,9837,43
base,val_0,val,reconstruction/score_mean,0.28289746989574605,1.0,3213,43
ft_0,val_0,val,reconstruction/score_mean,0.2189579075703805,0.7739832655663952,3213,43
ft_1,val_0,val,reconstruction/score_mean,0.21597270479723185,0.7634310228254164,3213,43
ft_2,val_0,val,reconstruction/score_mean,0.26864744370372506,0.9496283010333304,3213,43
merged,val_0,val,reconstruction/score_mean,0.24303715035592957,0.8590997665885599,3213,43
base,val_0,val,reconstruction/score_p50,0.2576063573360443,1.0,3213,43
ft_0,val_0,val,reconstruction/score_p50,0.19759869575500488,0.7670567520088016,3213,43
ft_1,val_0,val,reconstruction/score_p50,0.19312942028045654,0.7497075082992676,3213,43
ft_2,val_0,val,reconstruction/score_p50,0.2455248385667801,0.9531008516474458,3213,43
merged,val_0,val,reconstruction/score_p50,0.21549277007579803,0.8365196119546474,3213,43
base,val_0,val,reconstruction/score_p95,0.6416944980621334,1.0,3213,43
ft_0,val_0,val,reconstruction/score_p95,0.5092880964279172,0.7936613107419915,3213,43
ft_1,val_0,val,reconstruction/score_p95,0.49043663144111616,0.7642836784828232,3213,43
ft_2,val_0,val,reconstruction/score_p95,0.602254593372345,0.9385378793041022,3213,43
