merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,window_auroc,0.7740337778552706,87742,43
0.0,test,test,window_auprc,0.6378703364245211,87742,43
0.0,test,test,window_f1,0.6360834796177102,87742,43
0.0,test,test,window_precision,0.516208686843105,87742,43
0.0,test,test,window_recall,0.8284727161873793,87742,43
0.0,test,test,point_auroc,0.7711498623858953,87742,43
0.0,test,test,point_auprc,0.5629997355323121,87742,43
0.0,test,test,point_f1,0.5817096662140399,87742,43
0.0,test,test,point_precision,0.47286682410925146,87742,43
0.0,test,test,point_recall,0.7556403314463861,87742,43
0.0,test,test,pa_f1,0.8066701655613341,87742,43
0.0,test,test,pa_precision,0.9639110604332953,87742,43
0.0,test,test,pa_recall,0.6935351546476332,87742,43
0.0,test,test,event_f1,0.22943722943722944,87742,43
0.0,test,test,event_precision,0.13554987212276215,87742,43
0.0,test,test,event_recall,0.7464788732394366,87742,43
0.0,test,test,event_tp,53.0,87742,43
0.0,test,test,event_fp,338.0,87742,43
0.0,test,test,event_fn,18.0,87742,43
0.0,val_0,val,reconstruction/score_mean,0.2828974760616638,3213,43
0.0,val_0,val,reconstruction/score_std,0.15429144208006954,3213,43
0.0,val_0,val,reconstruction/score_p50,0.2576063573360443,3213,43
0.0,val_0,val,reconstruction/score_p95,0.6416945338249203,3213,43
0.0,val_0,val,reconstruction/score_p99,0.883561043739319,3213,43
0.0,val_1,val,reconstruction/score_mean,0.6652241616866094,3213,43
0.0,val_1,val,reconstruction/score_std,0.6319958711642948,3213,43
0.0,val_1,val,reconstruction/score_p50,0.3677292764186859,3213,43
0.0,val_1,val,reconstruction/score_p95,2.0759393215179425,3213,43
0.0,val_1,val,reconstruction/score_p99,2.7700621604919435,3213,43
0.0,val_2,val,reconstruction/score_mean,0.2082204262030633,3213,43
0.0,val_2,val,reconstruction/score_std,0.06678953822186934,3213,43
0.0,val_2,val,reconstruction/score_p50,0.19737881422042847,3213,43
0.0,val_2,val,reconstruction/score_p95,0.34057992100715634,3213,43
0.0,val_2,val,reconstruction/score_p99,0.4172994506359107,3213,43
0.0,val_base,val,reconstruction/score_mean,0.16291104810693174,9837,43
0.0,val_base,val,reconstruction/score_std,0.26682087790278747,9837,43
0.0,val_base,val,reconstruction/score_p50,0.0915706604719162,9837,43
0.0,val_base,val,reconstruction/score_p95,0.37183663845062254,9837,43
0.0,val_base,val,reconstruction/score_p99,1.6528271102905272,9837,43
