merge_scale,split,metric,value,n_windows,eval_seed
0.0,test,window_auroc,0.8004706378186169,449820,43
0.0,test,window_auprc,0.7035060501343087,449820,43
0.0,test,window_f1,0.7508107295492129,449820,43
0.0,test,window_precision,0.9953308279239267,449820,43
0.0,test,window_recall,0.6027378366263232,449820,43
0.0,test,point_auroc,0.8158857541850488,449820,43
0.0,test,point_auprc,0.7085957398240017,449820,43
0.0,test,point_f1,0.767294896514829,449820,43
0.0,test,point_precision,0.9806278844510284,449820,43
0.0,test,point_recall,0.6301971769099797,449820,43
0.0,test,pa_f1,0.8372952557914083,449820,43
0.0,test,pa_precision,0.9336110798333521,449820,43
0.0,test,pa_recall,0.7589937935958697,449820,43
0.0,test,event_f1,0.34782608695652173,449820,43
0.0,test,event_precision,0.7272727272727273,449820,43
0.0,test,event_recall,0.22857142857142856,449820,43
0.0,test,event_tp,8.0,449820,43
0.0,test,event_fp,3.0,449820,43
0.0,test,event_fn,27.0,449820,43
0.25,test,window_auroc,0.8005963766805948,449820,43
0.25,test,window_auprc,0.7035566551374779,449820,43
0.25,test,window_f1,0.7509556328651806,449820,43
0.25,test,window_precision,0.9954170224879021,449820,43
0.25,test,window_recall,0.6028930036895279,449820,43
0.25,test,point_auroc,0.8159789892983378,449820,43
0.25,test,point_auprc,0.7078199176932044,449820,43
0.25,test,point_f1,0.7673431179164856,449820,43
0.25,test,point_precision,0.9805194805194806,449820,43
0.25,test,point_recall,0.6303070247706926,449820,43
0.25,test,pa_f1,0.8369318353874572,449820,43
0.25,test,pa_precision,0.9327078833693304,449820,43
0.25,test,pa_recall,0.7589937935958697,449820,43
0.25,test,event_f1,0.3555555555555555,449820,43
0.25,test,event_precision,0.8,449820,43
0.25,test,event_recall,0.22857142857142856,449820,43
0.25,test,event_tp,8.0,449820,43
0.25,test,event_fp,2.0,449820,43
0.25,test,event_fn,27.0,449820,43
0.5,test,window_auroc,0.8031010358748834,449820,43
0.5,test,window_auprc,0.7039328412659668,449820,43
0.5,test,window_f1,0.7510682613643684,449820,43
0.5,test,window_precision,0.9953898690950483,449820,43
0.5,test,window_recall,0.6030481707527326,449820,43
0.5,test,point_auroc,0.8182519961041755,449820,43
0.5,test,point_auprc,0.7076810340045787,449820,43
0.5,test,point_f1,0.7673584022468404,449820,43
0.5,test,point_precision,0.9806580259222333,449820,43
0.5,test,point_recall,0.6302704088171216,449820,43
0.5,test,pa_f1,0.8385916126525855,449820,43
0.5,test,pa_precision,0.9495288588428681,449820,43
0.5,test,pa_recall,0.7508650519031141,449820,43
0.5,test,event_f1,0.3555555555555555,449820,43
0.5,test,event_precision,0.8,449820,43
0.5,test,event_recall,0.22857142857142856,449820,43
0.5,test,event_tp,8.0,449820,43
0.5,test,event_fp,2.0,449820,43
0.5,test,event_fn,27.0,449820,43
0.75,test,window_auroc,0.8049765198831699,449820,43
0.75,test,window_auprc,0.7042711949752817,449820,43
0.75,test,window_f1,0.7511459887709203,449820,43
0.75,test,window_precision,0.9953341489089306,449820,43
0.75,test,window_recall,0.6031688562463363,449820,43
0.75,test,point_auroc,0.8199912653644741,449820,43
0.75,test,point_auprc,0.7079073360161738,449820,43
0.75,test,point_f1,0.767367494512596,449820,43
0.75,test,point_precision,0.980244805009963,449820,43
0.75,test,point_recall,0.6304534885849765,449820,43
0.75,test,pa_f1,0.8386516302514135,449820,43
0.75,test,pa_precision,0.9496827675635623,449820,43
0.75,test,pa_recall,0.7508650519031141,449820,43
0.75,test,event_f1,0.3636363636363636,449820,43
0.75,test,event_precision,0.8888888888888888,449820,43
0.75,test,event_recall,0.22857142857142856,449820,43
0.75,test,event_tp,8.0,449820,43
0.75,test,event_fp,1.0,449820,43
0.75,test,event_fn,27.0,449820,43
1.0,test,window_auroc,0.806005121456401,449820,43
1.0,test,window_auprc,0.7045782170197844,449820,43
1.0,test,window_f1,0.7513015102886401,449820,43
1.0,test,window_precision,0.9953639182001763,449820,43
1.0,test,window_recall,0.6033585048791421,449820,43
1.0,test,point_auroc,0.8209310975160244,449820,43
1.0,test,point_auprc,0.7085312935131697,449820,43
1.0,test,point_f1,0.7673936774567247,449820,43
1.0,test,point_precision,0.9798879185275794,449820,43
1.0,test,point_recall,0.6306365683528313,449820,43
1.0,test,pa_f1,0.840720709832714,449820,43
