merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,forecast/mse,0.5529692769050598,56239,43
0.0,test,test,forecast/rmse,0.7436190401711482,56239,43
0.0,test,test,forecast/mae,0.4304409623146057,56239,43
0.0,val_0,val,forecast/mse,0.7128750085830688,4849,43
0.0,val_0,val,forecast/rmse,0.8443192574986483,4849,43
0.0,val_0,val,forecast/mae,0.535401463508606,4849,43
0.0,val_1,val,forecast/mse,0.29829689860343933,4849,43
0.0,val_1,val,forecast/rmse,0.5461656329387994,4849,43
0.0,val_1,val,forecast/mae,0.4153926968574524,4849,43
0.0,val_base,val,forecast/mse,0.15158551931381226,9817,43
0.0,val_base,val,forecast/rmse,0.38933985066239013,9817,43
0.0,val_base,val,forecast/mae,0.2195102423429489,9817,43
0.05,test,test,forecast/mse,0.523160457611084,56239,43
0.05,test,test,forecast/rmse,0.7232983185457326,56239,43
0.05,test,test,forecast/mae,0.41721898317337036,56239,43
0.05,val_0,val,forecast/mse,0.6624423265457153,4849,43
0.05,val_0,val,forecast/rmse,0.8139056005125627,4849,43
0.05,val_0,val,forecast/mae,0.5106983780860901,4849,43
0.05,val_1,val,forecast/mse,0.27897703647613525,4849,43
0.05,val_1,val,forecast/rmse,0.5281827680605788,4849,43
0.05,val_1,val,forecast/mae,0.3994123339653015,4849,43
0.05,val_base,val,forecast/mse,0.14958108961582184,9817,43
0.05,val_base,val,forecast/rmse,0.3867571455265201,9817,43
0.05,val_base,val,forecast/mae,0.21743260324001312,9817,43
0.1,test,test,forecast/mse,0.4950868785381317,56239,43
0.1,test,test,forecast/rmse,0.7036241031531906,56239,43
0.1,test,test,forecast/mae,0.40500035881996155,56239,43
0.1,val_0,val,forecast/mse,0.6144081950187683,4849,43
0.1,val_0,val,forecast/rmse,0.7838419451769395,4849,43
0.1,val_0,val,forecast/mae,0.4877626299858093,4849,43
0.1,val_1,val,forecast/mse,0.2611808180809021,4849,43
0.1,val_1,val,forecast/rmse,0.5110585270601617,4849,43
0.1,val_1,val,forecast/mae,0.3837972581386566,4849,43
0.1,val_base,val,forecast/mse,0.14840029180049896,9817,43
0.1,val_base,val,forecast/rmse,0.3852275844231549,9817,43
0.1,val_base,val,forecast/mae,0.2165582925081253,9817,43
0.15,test,test,forecast/mse,0.4687405824661255,56239,43
0.15,test,test,forecast/rmse,0.6846463192525944,56239,43
0.15,test,test,forecast/mae,0.39389073848724365,56239,43
0.15,val_0,val,forecast/mse,0.5682860016822815,4849,43
0.15,val_0,val,forecast/rmse,0.7538474657928363,4849,43
0.15,val_0,val,forecast/mae,0.4661145806312561,4849,43
0.15,val_1,val,forecast/mse,0.24470049142837524,4849,43
0.15,val_1,val,forecast/rmse,0.49467210496284836,4849,43
0.15,val_1,val,forecast/mae,0.3685184121131897,4849,43
0.15,val_base,val,forecast/mse,0.14801344275474548,9817,43
0.15,val_base,val,forecast/rmse,0.38472515222525483,9817,43
0.15,val_base,val,forecast/mae,0.21676914393901825,9817,43
0.2,test,test,forecast/mse,0.4441446363925934,56239,43
0.2,test,test,forecast/rmse,0.6664417726948044,56239,43
0.2,test,test,forecast/mae,0.3839889168739319,56239,43
0.2,val_0,val,forecast/mse,0.5236465930938721,4849,43
0.2,val_0,val,forecast/rmse,0.7236342951338556,4849,43
0.2,val_0,val,forecast/mae,0.44517189264297485,4849,43
0.2,val_1,val,forecast/mse,0.22934488952159882,4849,43
0.2,val_1,val,forecast/rmse,0.4788996654014271,4849,43
0.2,val_1,val,forecast/mae,0.3535674214363098,4849,43
0.2,val_base,val,forecast/mse,0.14840705692768097,9817,43
0.2,val_base,val,forecast/rmse,0.3852363650120286,9817,43
0.2,val_base,val,forecast/mae,0.2179497480392456,9817,43
0.25,test,test,forecast/mse,0.42135024070739746,56239,43
0.25,test,test,forecast/rmse,0.6491149672495601,56239,43
0.25,test,test,forecast/mae,0.37536707520484924,56239,43
0.25,val_0,val,forecast/mse,0.48027947545051575,4849,43
0.25,val_0,val,forecast/rmse,0.6930219877107189,4849,43
0.25,val_0,val,forecast/mae,0.4242900311946869,4849,43
0.25,val_1,val,forecast/mse,0.2149542272090912,4849,43
0.25,val_1,val,forecast/rmse,0.4636315640776534,4849,43
0.25,val_1,val,forecast/mae,0.33896440267562866,4849,43
0.25,val_base,val,forecast/mse,0.14957349002361298,9817,43
0.25,val_base,val,forecast/rmse,0.38674732064180223,9817,43
0.25,val_base,val,forecast/mae,0.22002936899662018,9817,43
0.3,test,test,forecast/mse,0.400489866733551,56239,43
0.3,test,test,forecast/rmse,0.632842687192916,56239,43
0.3,test,test,forecast/mae,0.3681769073009491,56239,43
0.3,val_0,val,forecast/mse,0.43827182054519653,4849,43
0.3,val_0,val,forecast/rmse,0.6620210121629045,4849,43
0.3,val_0,val,forecast/mae,0.4027312695980072,4849,43
