merge_scale,split,metric,value
0.0,test,forecast/mse,0.52524334192276
0.0,test,forecast/rmse,0.7247367397357195
0.0,test,forecast/mae,0.41889241337776184
0.05,test,forecast/mse,0.5006901025772095
0.05,test,forecast/rmse,0.707594589137883
0.05,test,forecast/mae,0.40840408205986023
0.1,test,forecast/mse,0.4775325357913971
0.1,test,forecast/rmse,0.6910372897256682
0.1,test,forecast/mae,0.3990931808948517
0.15,test,forecast/mse,0.4557187557220459
0.15,test,forecast/rmse,0.6750694451106833
0.15,test,forecast/mae,0.3908872604370117
0.2,test,forecast/mse,0.4352510869503021
0.2,test,forecast/rmse,0.6597356189795289
0.2,test,forecast/mae,0.38375818729400635
0.25,test,forecast/mse,0.41621091961860657
0.25,test,forecast/rmse,0.6451441076368958
0.25,test,forecast/mae,0.37775877118110657
0.3,test,forecast/mse,0.39874646067619324
0.3,test,forecast/rmse,0.6314637445461088
0.3,test,forecast/mae,0.37297728657722473
0.35,test,forecast/mse,0.383070707321167
0.35,test,forecast/rmse,0.6189270613902473
0.35,test,forecast/mae,0.3695041239261627
0.4,test,forecast/mse,0.3694760203361511
0.4,test,forecast/rmse,0.607845391803007
0.4,test,forecast/mae,0.3674761950969696
0.45,test,forecast/mse,0.3583310842514038
0.45,test,forecast/rmse,0.598607621277414
0.45,test,forecast/mae,0.3670284152030945
0.5,test,forecast/mse,0.35012900829315186
0.5,test,forecast/rmse,0.5917170001725081
0.5,test,forecast/mae,0.3683117926120758
0.55,test,forecast/mse,0.3454880118370056
0.55,test,forecast/rmse,0.587782282683823
0.55,test,forecast/mae,0.3715708553791046
0.6,test,forecast/mse,0.34511858224868774
0.6,test,forecast/rmse,0.5874679414646281
0.6,test,forecast/mae,0.3770986795425415
0.65,test,forecast/mse,0.3498510420322418
0.65,test,forecast/rmse,0.5914820724521089
0.65,test,forecast/mae,0.3853479027748108
0.7,test,forecast/mse,0.3605479598045349
0.7,test,forecast/rmse,0.6004564595410186
0.7,test,forecast/mae,0.39690345525741577
0.75,test,forecast/mse,0.3780897855758667
0.75,test,forecast/rmse,0.6148900597471606
0.75,test,forecast/mae,0.412072092294693
0.8,test,forecast/mse,0.40333807468414307
0.8,test,forecast/rmse,0.6350890289432994
0.8,test,forecast/mae,0.4309847354888916
0.85,test,forecast/mse,0.4371791481971741
0.85,test,forecast/rmse,0.6611952421162558
0.85,test,forecast/mae,0.4536707401275635
0.9,test,forecast/mse,0.48064854741096497
0.9,test,forecast/rmse,0.6932882138122392
0.9,test,forecast/mae,0.4797951579093933
0.95,test,forecast/mse,0.5349259972572327
0.95,test,forecast/rmse,0.7313863529334087
0.95,test,forecast/mae,0.5091122984886169
1.0,test,forecast/mse,0.601047694683075
