model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,forecast/mae,0.2197379171848297,1.0,9817,8
ft_0,val_base,val,forecast/mae,0.26224803924560547,1.1934582916111784,9817,8
ft_1,val_base,val,forecast/mae,0.3152047395706177,1.4344576648803278,9817,8
ft_2,val_base,val,forecast/mae,0.28067493438720703,1.2773168053245947,9817,8
merged,val_base,val,forecast/mae,0.2422889918088913,1.1026271428844618,9817,8
base,val_base,val,forecast/mse,0.15302163362503052,1.0,9817,8
ft_0,val_base,val,forecast/mse,0.1960204839706421,1.2809985054203346,9817,8
ft_1,val_base,val,forecast/mse,0.2230081558227539,1.457363580166846,9817,8
ft_2,val_base,val,forecast/mse,0.18983274698257446,1.2405614976490655,9817,8
merged,val_base,val,forecast/mse,0.16113531589508057,1.0530231058043211,9817,8
base,val_base,val,forecast/rmse,0.3911797970563287,1.0,9817,8
ft_0,val_base,val,forecast/rmse,0.4427420061058608,1.1318120450942084,9817,8
ft_1,val_base,val,forecast/rmse,0.47223739350326116,1.207213146120786,9817,8
ft_2,val_base,val,forecast/rmse,0.4356979997458956,1.113804963918309,9817,8
merged,val_base,val,forecast/rmse,0.4014166362958573,1.0261691409335603,9817,8
base,val_0,val,forecast/mae,0.4859479069709778,1.0,3193,8
ft_0,val_0,val,forecast/mae,0.4171145260334015,0.8583523461050997,3193,8
ft_1,val_0,val,forecast/mae,0.45974990725517273,0.9460888722021604,3193,8
ft_2,val_0,val,forecast/mae,0.5102351903915405,1.0499791913333896,3193,8
merged,val_0,val,forecast/mae,0.4421440064907074,0.909858855544188,3193,8
base,val_0,val,forecast/mse,1.231558084487915,1.0,3193,8
ft_0,val_0,val,forecast/mse,1.0900095701217651,0.885065498615921,3193,8
ft_1,val_0,val,forecast/mse,1.1773912906646729,0.9560176702134476,3193,8
ft_2,val_0,val,forecast/mse,1.250948190689087,1.0157443700345115,3193,8
merged,val_0,val,forecast/mse,1.1364792585372925,0.9227979360874753,3193,8
base,val_0,val,forecast/rmse,1.1097558670662278,1.0,3193,8
