model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,forecast/mae,0.21926067769527435,1.0,9817,124
ft_0,val_base,val,forecast/mae,0.2589731216430664,1.1811197719774629,9817,124
ft_1,val_base,val,forecast/mae,0.31126201152801514,1.4195979634825495,9817,124
ft_2,val_base,val,forecast/mae,0.2735183537006378,1.2474573944388245,9817,124
merged,val_base,val,forecast/mae,0.23834407329559326,1.0870351939112437,9817,124
base,val_base,val,forecast/mse,0.15423019230365753,1.0,9817,124
ft_0,val_base,val,forecast/mse,0.19837987422943115,1.2862583600936521,9817,124
ft_1,val_base,val,forecast/mse,0.21469897031784058,1.39206835646764,9817,124
ft_2,val_base,val,forecast/mse,0.1853410303592682,1.2017169115263617,9817,124
merged,val_base,val,forecast/mse,0.16017819941043854,1.0385657763758098,9817,124
base,val_base,val,forecast/rmse,0.39272152004143795,1.0,9817,124
ft_0,val_base,val,forecast/rmse,0.44539855660905675,1.1341333079024052,9817,124
ft_1,val_base,val,forecast/rmse,0.46335620241650005,1.1798594647107932,9817,124
ft_2,val_base,val,forecast/rmse,0.43051252056039924,1.0962284942138485,9817,124
merged,val_base,val,forecast/rmse,0.40022268727601956,1.0191004741318737,9817,124
base,val_0,val,forecast/mae,0.48009294271469116,1.0,3193,124
ft_0,val_0,val,forecast/mae,0.41277366876602173,0.8597786637562056,3193,124
ft_1,val_0,val,forecast/mae,0.4162012040615082,0.8669179798980039,3193,124
ft_2,val_0,val,forecast/mae,0.46553218364715576,0.9696709579082721,3193,124
merged,val_0,val,forecast/mae,0.41615191102027893,0.8668153059429349,3193,124
base,val_0,val,forecast/mse,1.2193033695220947,1.0,3193,124
ft_0,val_0,val,forecast/mse,1.1028506755828857,0.9044924365419801,3193,124
ft_1,val_0,val,forecast/mse,1.1598830223083496,0.9512669703873328,3193,124
ft_2,val_0,val,forecast/mse,1.2290514707565308,1.0079948120197986,3193,124
merged,val_0,val,forecast/mse,1.1268028020858765,0.9241365440723142,3193,124
base,val_0,val,forecast/rmse,1.1042207068888423,1.0,3193,124
ft_0,val_0,val,forecast/rmse,1.0501669750962872,0.9510480726766551,3193,124
ft_1,val_0,val,forecast/rmse,1.0769786545277253,0.9753291600210325,3193,124
ft_2,val_0,val,forecast/rmse,1.108625938157921,1.0039894481615823,3193,124
merged,val_0,val,forecast/rmse,1.0615096806369109,0.9613202089170467,3193,124
base,val_1,val,forecast/mae,0.5407706499099731,1.0,3193,124
ft_0,val_1,val,forecast/mae,0.5197360515594482,0.9611025517859989,3193,124
ft_1,val_1,val,forecast/mae,0.3400178849697113,0.6287654202873567,3193,124
ft_2,val_1,val,forecast/mae,0.31373801827430725,0.5801683547850424,3193,124
merged,val_1,val,forecast/mae,0.3613027334213257,0.6681256341879407,3193,124
base,val_1,val,forecast/mse,0.5673583745956421,1.0,3193,124
ft_0,val_1,val,forecast/mse,0.4931204915046692,0.8691516924485649,3193,124
ft_1,val_1,val,forecast/mse,0.22866030037403107,0.4030262187228626,3193,124
ft_2,val_1,val,forecast/mse,0.2152513563632965,0.37939222544605383,3193,124
merged,val_1,val,forecast/mse,0.2623196840286255,0.4623527135130092,3193,124
base,val_1,val,forecast/rmse,0.7532319527181797,1.0,3193,124
ft_0,val_1,val,forecast/rmse,0.7022253851183886,0.9322830538246231,3193,124
ft_1,val_1,val,forecast/rmse,0.478184379056898,0.6348434600142484,3193,124
ft_2,val_1,val,forecast/rmse,0.463951890138726,0.6159482327647786,3193,124
merged,val_1,val,forecast/rmse,0.5121715376986752,0.6799652296353169,3193,124
base,val_2,val,forecast/mae,0.33928999304771423,1.0,3193,124
ft_0,val_2,val,forecast/mae,0.33412888646125793,0.9847885092628402,3193,124
ft_1,val_2,val,forecast/mae,0.368054062128067,1.0847772397351776,3193,124
ft_2,val_2,val,forecast/mae,0.22629545629024506,0.6669676705095785,3193,124
merged,val_2,val,forecast/mae,0.27601373195648193,0.8135038981761723,3193,124
base,val_2,val,forecast/mse,0.2125760167837143,1.0,3193,124
ft_0,val_2,val,forecast/mse,0.24154755473136902,1.1362878954361622,3193,124
ft_1,val_2,val,forecast/mse,0.22934958338737488,1.0789062042719846,3193,124
ft_2,val_2,val,forecast/mse,0.1067725345492363,0.50227930772582,3193,124
merged,val_2,val,forecast/mse,0.15340304374694824,0.7216385275627228,3193,124
