merge_scale,split,metric,value
0.0,test,forecast/mse,0.5036740303039551
0.0,test,forecast/rmse,0.7096999579427599
0.0,test,forecast/mae,0.40253975987434387
0.05,test,forecast/mse,0.4684152901172638
0.05,test,forecast/rmse,0.6844087156935276
0.05,test,forecast/mae,0.3881641626358032
0.1,test,forecast/mse,0.44000813364982605
0.1,test,forecast/rmse,0.663331089011985
0.1,test,forecast/mae,0.3778749704360962
0.15,test,forecast/mse,0.41902977228164673
0.15,test,forecast/rmse,0.6473250901066996
0.15,test,forecast/mae,0.372332900762558
0.2,test,forecast/mse,0.40619197487831116
0.2,test,forecast/rmse,0.6373319189231865
0.2,test,forecast/mae,0.3720339238643646
0.25,test,forecast/mse,0.40234309434890747
0.25,test,forecast/rmse,0.634305205992279
0.25,test,forecast/mae,0.3775867223739624
0.3,test,forecast/mse,0.40837106108665466
0.3,test,forecast/rmse,0.6390391702287542
0.3,test,forecast/mae,0.3897574245929718
0.35,test,forecast/mse,0.4250697195529938
0.35,test,forecast/rmse,0.6519737107836433
0.35,test,forecast/mae,0.40899574756622314
0.4,test,forecast/mse,0.4530516564846039
0.4,test,forecast/rmse,0.6730911204915749
0.4,test,forecast/mae,0.4350893497467041
0.45,test,forecast/mse,0.4927370250225067
0.45,test,forecast/rmse,0.7019522954036882
0.45,test,forecast/mae,0.4673127830028534
0.5,test,forecast/mse,0.5443126559257507
0.5,test,forecast/rmse,0.7377754779916115
0.5,test,forecast/mae,0.5048657655715942
0.55,test,forecast/mse,0.6077491044998169
0.55,test,forecast/rmse,0.7795826476389895
0.55,test,forecast/mae,0.5467002987861633
0.6,test,forecast/mse,0.6828805804252625
0.6,test,forecast/rmse,0.8263658877429915
0.6,test,forecast/mae,0.5918486714363098
0.65,test,forecast/mse,0.7695008516311646
0.65,test,forecast/rmse,0.877211976452194
0.65,test,forecast/mae,0.6394987106323242
0.7,test,forecast/mse,0.8673996329307556
0.7,test,forecast/rmse,0.9313429190855298
0.7,test,forecast/mae,0.6888911724090576
0.75,test,forecast/mse,0.976306140422821
0.75,test,forecast/rmse,0.9880820514627422
0.75,test,forecast/mae,0.7393201589584351
0.8,test,forecast/mse,1.0959670543670654
0.8,test,forecast/rmse,1.0468844512968303
0.8,test,forecast/mae,0.7901598215103149
0.85,test,forecast/mse,1.226239800453186
0.85,test,forecast/rmse,1.1073571241714146
0.85,test,forecast/mae,0.840882420539856
0.9,test,forecast/mse,1.3670964241027832
0.9,test,forecast/rmse,1.1692289870264008
0.9,test,forecast/mae,0.8911120891571045
0.95,test,forecast/mse,1.5186175107955933
0.95,test,forecast/rmse,1.2323219996395396
0.95,test,forecast/mae,0.9409753084182739
1.0,test,forecast/mse,1.6807303428649902
1.0,test,forecast/rmse,1.2964298449453369
1.0,test,forecast/mae,0.9909566640853882
1.05,test,forecast/mse,1.853136420249939
1.05,test,forecast/rmse,1.3612995336258435
1.05,test,forecast/mae,1.0410693883895874
1.1,test,forecast/mse,2.0353660583496094
1.1,test,forecast/rmse,1.426662559384527
1.1,test,forecast/mae,1.091073751449585
1.15,test,forecast/mse,2.226980447769165
1.15,test,forecast/rmse,1.4923070889629806
1.15,test,forecast/mae,1.140629529953003
1.2,test,forecast/mse,2.4276235103607178
1.2,test,forecast/rmse,1.5580832809451226
1.2,test,forecast/mae,1.189573884010315
0.0,val,forecast/mse,0.28368908166885376
0.0,val,forecast/rmse,0.5326247099683358
0.0,val,forecast/mae,0.3213702142238617
0.05,val,forecast/mse,0.26174435019493103
0.05,val,forecast/rmse,0.5116095681229301
0.05,val,forecast/mae,0.30861446261405945
0.1,val,forecast/mse,0.24521929025650024
0.1,val,forecast/rmse,0.49519621389556306
0.1,val,forecast/mae,0.3017129898071289
0.15,val,forecast/mse,0.23491798341274261
0.15,val,forecast/rmse,0.4846833847087629
0.15,val,forecast/mae,0.3003943860530853
0.2,val,forecast/mse,0.23181383311748505
0.2,val,forecast/rmse,0.4814704903911402
0.2,val,forecast/mae,0.3041946291923523
0.25,val,forecast/mse,0.23711645603179932
0.25,val,forecast/rmse,0.4869460504324882
0.25,val,forecast/mae,0.31404802203178406
0.3,val,forecast/mse,0.2522471249103546
0.3,val,forecast/rmse,0.5022420979073285
0.3,val,forecast/mae,0.32976558804512024
0.35,val,forecast/mse,0.2786673307418823
0.35,val,forecast/rmse,0.5278895061865526
0.35,val,forecast/mae,0.3523957133293152
0.4,val,forecast/mse,0.3176797926425934
0.4,val,forecast/rmse,0.5636309010714311
0.4,val,forecast/mae,0.3825477957725525
0.45,val,forecast/mse,0.37035542726516724
0.45,val,forecast/rmse,0.6085683423126504
0.45,val,forecast/mae,0.4202117621898651
0.5,val,forecast/mse,0.4375687837600708
0.5,val,forecast/rmse,0.661489821357873
0.5,val,forecast/mae,0.4642734229564667
0.55,val,forecast/mse,0.5200729966163635
0.55,val,forecast/rmse,0.7211608673634222
0.55,val,forecast/mae,0.5132431387901306
0.6,val,forecast/mse,0.6185019612312317
0.6,val,forecast/rmse,0.7864489565326104
0.6,val,forecast/mae,0.5662230253219604
0.65,val,forecast/mse,0.733240008354187
0.65,val,forecast/rmse,0.8562943467956489
0.65,val,forecast/mae,0.622478187084198
0.7,val,forecast/mse,0.8641716837882996
0.7,val,forecast/rmse,0.9296083496765181
0.7,val,forecast/mae,0.6812868118286133
0.75,val,forecast/mse,1.010749101638794
0.75,val,forecast/rmse,1.0053601850276317
0.75,val,forecast/mae,0.7420408725738525
0.8,val,forecast/mse,1.1723099946975708
0.8,val,forecast/rmse,1.0827326515338729
0.8,val,forecast/mae,0.8042652606964111
0.85,val,forecast/mse,1.3481496572494507
0.85,val,forecast/rmse,1.1610984700917708
0.85,val,forecast/mae,0.8675743341445923
0.9,val,forecast/mse,1.5375347137451172
0.9,val,forecast/rmse,1.2399736746177787
0.9,val,forecast/mae,0.9315686225891113
0.95,val,forecast/mse,1.7397516965866089
0.95,val,forecast/rmse,1.318996473303325
0.95,val,forecast/mae,0.9957020878791809
1.0,val,forecast/mse,1.9541363716125488
1.0,val,forecast/rmse,1.3979042784155675
1.0,val,forecast/mae,1.0594326257705688
1.05,val,forecast/mse,2.1798882484436035
1.05,val,forecast/rmse,1.4764444616861157
1.05,val,forecast/mae,1.1222386360168457
1.1,val,forecast/mse,2.416144847869873
1.1,val,forecast/rmse,1.554395331912018
1.1,val,forecast/mae,1.1838401556015015
1.15,val,forecast/mse,2.6620073318481445
1.15,val,forecast/rmse,1.631565914037231
1.15,val,forecast/mae,1.2440077066421509
1.2,val,forecast/mse,2.9162802696228027
1.2,val,forecast/rmse,1.7077119984420097
1.2,val,forecast/mae,1.3024870157241821
