merge_scale,split,metric,value
0.0,test,forecast/mse,1.1621532440185547
0.0,test,forecast/rmse,1.0780321164133073
0.0,test,forecast/mae,0.6038214564323425
0.05,test,forecast/mse,1.1236499547958374
0.05,test,forecast/rmse,1.060023563321041
0.05,test,forecast/mae,0.5905218124389648
0.1,test,forecast/mse,1.090548038482666
0.1,test,forecast/rmse,1.044293080740587
0.1,test,forecast/mae,0.579166054725647
0.15,test,forecast/mse,1.0625864267349243
0.15,test,forecast/rmse,1.030818328676263
0.15,test,forecast/mae,0.5698193907737732
0.2,test,forecast/mse,1.0396093130111694
0.2,test,forecast/rmse,1.019612334669981
0.2,test,forecast/mae,0.5626308917999268
0.25,test,forecast/mse,1.0215789079666138
0.25,test,forecast/rmse,1.0107318674933594
0.25,test,forecast/mae,0.5578250288963318
0.3,test,forecast/mse,1.0086091756820679
0.3,test,forecast/rmse,1.0042953627703695
0.3,test,forecast/mae,0.5557016730308533
0.35,test,forecast/mse,1.0009565353393555
0.35,test,forecast/rmse,1.0004781533543625
0.35,test,forecast/mae,0.5566732287406921
0.4,test,forecast/mse,0.9989969730377197
0.4,test,forecast/rmse,0.9994983606978651
0.4,test,forecast/mae,0.5611984729766846
0.45,test,forecast/mse,1.0031954050064087
0.45,test,forecast/rmse,1.0015964282116867
0.45,test,forecast/mae,0.569610059261322
0.5,test,forecast/mse,1.0140783786773682
0.5,test,forecast/rmse,1.007014587122435
0.5,test,forecast/mae,0.5820098519325256
0.55,test,forecast/mse,1.0321784019470215
0.55,test,forecast/rmse,1.0159618112640953
0.55,test,forecast/mae,0.5982971787452698
0.6,test,forecast/mse,1.0579839944839478
0.6,test,forecast/rmse,1.0285834893113674
0.6,test,forecast/mae,0.6183514595031738
0.65,test,forecast/mse,1.0918933153152466
0.65,test,forecast/rmse,1.044936991074221
0.65,test,forecast/mae,0.6419761180877686
0.7,test,forecast/mse,1.1341476440429688
0.7,test,forecast/rmse,1.0649636820300346
0.7,test,forecast/mae,0.6688160300254822
0.75,test,forecast/mse,1.184786081314087
0.75,test,forecast/rmse,1.0884787923125039
0.75,test,forecast/mae,0.6984143853187561
0.8,test,forecast/mse,1.2436388731002808
0.8,test,forecast/rmse,1.1151855778749475
0.8,test,forecast/mae,0.730259895324707
0.85,test,forecast/mse,1.3103299140930176
0.85,test,forecast/rmse,1.1446964287936856
0.85,test,forecast/mae,0.7638322114944458
0.9,test,forecast/mse,1.3842850923538208
0.9,test,forecast/rmse,1.1765564552344356
0.9,test,forecast/mae,0.798618495464325
0.95,test,forecast/mse,1.4648357629776
0.95,test,forecast/rmse,1.2103039961008144
0.95,test,forecast/mae,0.8341778516769409
1.0,test,forecast/mse,1.5512540340423584
1.0,test,forecast/rmse,1.2454934901645847
1.0,test,forecast/mae,0.8701350092887878
1.05,test,forecast/mse,1.6428085565567017
1.05,test,forecast/rmse,1.2817209355225114
1.05,test,forecast/mae,0.9061960577964783
1.1,test,forecast/mse,1.7387393712997437
1.1,test,forecast/rmse,1.3186126691715592
1.1,test,forecast/mae,0.9421273469924927
1.15,test,forecast/mse,1.8382877111434937
1.15,test,forecast/rmse,1.3558346916728063
1.15,test,forecast/mae,0.9777249097824097
1.2,test,forecast/mse,1.9407442808151245
1.2,test,forecast/rmse,1.3931059833390727
1.2,test,forecast/mae,1.0128124952316284
0.0,val,forecast/mse,0.4346541464328766
0.0,val,forecast/rmse,0.6592830548655688
