merge_scale,split,metric,value
0.0,test,forecast/mse,1.1779916286468506
0.0,test,forecast/rmse,1.085353227593142
0.0,test,forecast/mae,0.6069486737251282
0.05,test,forecast/mse,1.140206217765808
0.05,test,forecast/rmse,1.067804391153084
0.05,test,forecast/mae,0.5939456820487976
0.1,test,forecast/mse,1.1067966222763062
0.1,test,forecast/rmse,1.0520440210734083
0.1,test,forecast/mae,0.5824083089828491
0.15,test,forecast/mse,1.077633261680603
0.15,test,forecast/rmse,1.0380911625096338
0.15,test,forecast/mae,0.5724194049835205
0.2,test,forecast/mse,1.0526394844055176
0.2,test,forecast/rmse,1.0259822047216596
0.2,test,forecast/mae,0.5641503930091858
0.25,test,forecast/mse,1.0318206548690796
0.25,test,forecast/rmse,1.01578573275523
0.25,test,forecast/mae,0.5578249096870422
0.3,test,forecast/mse,1.0152698755264282
0.3,test,forecast/rmse,1.0076060120535348
0.3,test,forecast/mae,0.5536963939666748
0.35,test,forecast/mse,1.003166675567627
0.35,test,forecast/rmse,1.0015820862853064
0.35,test,forecast/mae,0.5520563125610352
0.4,test,forecast/mse,0.9957547783851624
0.4,test,forecast/rmse,0.9978751316598496
0.4,test,forecast/mae,0.5532342195510864
0.45,test,forecast/mse,0.993323028087616
0.45,test,forecast/rmse,0.9966559226170364
0.45,test,forecast/mae,0.5574982166290283
0.5,test,forecast/mse,0.9961862564086914
0.5,test,forecast/rmse,0.998091306649192
0.5,test,forecast/mae,0.5649652481079102
0.55,test,forecast/mse,1.0046812295913696
0.55,test,forecast/rmse,1.0023378819496795
0.55,test,forecast/mae,0.5756061673164368
0.6,test,forecast/mse,1.0191504955291748
0.6,test,forecast/rmse,1.0095298388503309
0.6,test,forecast/mae,0.5893427133560181
0.65,test,forecast/mse,1.0399360656738281
0.65,test,forecast/rmse,1.0197725558544062
0.65,test,forecast/mae,0.6060948371887207
0.7,test,forecast/mse,1.0673578977584839
0.7,test,forecast/rmse,1.0331301456053268
0.7,test,forecast/mae,0.6257652640342712
0.75,test,forecast/mse,1.10169517993927
0.75,test,forecast/rmse,1.0496166823842263
0.75,test,forecast/mae,0.6482371091842651
0.8,test,forecast/mse,1.1431783437728882
0.8,test,forecast/rmse,1.0691951850681372
0.8,test,forecast/mae,0.6733384132385254
0.85,test,forecast/mse,1.1919485330581665
0.85,test,forecast/rmse,1.091763954826393
0.85,test,forecast/mae,0.7008235454559326
0.9,test,forecast/mse,1.2480264902114868
0.9,test,forecast/rmse,1.117151059710139
