merge_scale,metric,value,selected
0.0,forecast/mse,0.3523426055908203,0
0.05,forecast/mse,0.32663610577583313,0
0.1,forecast/mse,0.3041417896747589,0
0.15,forecast/mse,0.2851621210575104,0
0.2,forecast/mse,0.2701030671596527,0
0.25,forecast/mse,0.2594897747039795,0
0.3,forecast/mse,0.254004567861557,1
0.35,forecast/mse,0.2544921338558197,0
0.4,forecast/mse,0.26194658875465393,0
0.45,forecast/mse,0.2775149643421173,0
0.5,forecast/mse,0.3024642765522003,0
0.55,forecast/mse,0.3381645083427429,0
0.6,forecast/mse,0.38612741231918335,0
0.65,forecast/mse,0.44813287258148193,0
0.7,forecast/mse,0.5261861085891724,0
0.75,forecast/mse,0.6220158934593201,0
0.8,forecast/mse,0.736681342124939,0
0.85,forecast/mse,0.8709886074066162,0
0.9,forecast/mse,1.0256948471069336,0
0.95,forecast/mse,1.2010154724121094,0
1.0,forecast/mse,1.3955273628234863,0
1.05,forecast/mse,1.6049069166183472,0
1.1,forecast/mse,1.8215640783309937,0
1.15,forecast/mse,2.0393388271331787,0
1.2,forecast/mse,2.255110263824463,0
