merge_scale,split,metric,value
0.0,test,forecast/mse,47.824222564697266
0.0,test,forecast/rmse,6.915505951461344
0.0,test,forecast/mae,3.5449981689453125
0.05,test,forecast/mse,46.76194381713867
0.05,test,forecast/rmse,6.8382705282212015
0.05,test,forecast/mae,3.4851527214050293
0.1,test,forecast/mse,45.67719650268555
0.1,test,forecast/rmse,6.758490697092476
0.1,test,forecast/mae,3.4239120483398438
0.15,test,forecast/mse,44.56917190551758
0.15,test,forecast/rmse,6.676014672356374
0.15,test,forecast/mae,3.3612451553344727
0.2,test,forecast/mse,43.43479919433594
0.2,test,forecast/rmse,6.590508265250559
0.2,test,forecast/mae,3.29712176322937
0.25,test,forecast/mse,42.267433166503906
0.25,test,forecast/rmse,6.501340874504574
0.25,test,forecast/mae,3.2313575744628906
0.3,test,forecast/mse,41.059635162353516
0.3,test,forecast/rmse,6.407779269165997
0.3,test,forecast/mae,3.1637704372406006
0.35,test,forecast/mse,39.802452087402344
0.35,test,forecast/rmse,6.3089184562333935
0.35,test,forecast/mae,3.0940582752227783
0.4,test,forecast/mse,38.48680877685547
0.4,test,forecast/rmse,6.203773752874573
0.4,test,forecast/mae,3.0218703746795654
0.45,test,forecast/mse,37.103111267089844
0.45,test,forecast/rmse,6.091232327459678
0.45,test,forecast/mae,2.9467623233795166
0.5,test,forecast/mse,35.64542770385742
0.5,test,forecast/rmse,5.9703791926357095
0.5,test,forecast/mae,2.8683407306671143
0.55,test,forecast/mse,34.11209487915039
0.55,test,forecast/rmse,5.840556041949293
0.55,test,forecast/mae,2.7864396572113037
0.6,test,forecast/mse,32.50226974487305
0.6,test,forecast/rmse,5.701076191814406
0.6,test,forecast/mae,2.7013192176818848
0.65,test,forecast/mse,30.821285247802734
0.65,test,forecast/rmse,5.5516921067187015
0.65,test,forecast/mae,2.6136982440948486
0.7,test,forecast/mse,29.07953643798828
0.7,test,forecast/rmse,5.392544523505419
0.7,test,forecast/mae,2.524761915206909
0.75,test,forecast/mse,27.289892196655273
0.75,test,forecast/rmse,5.223972836515832
0.75,test,forecast/mae,2.4347078800201416
0.8,test,forecast/mse,25.47208595275879
0.8,test,forecast/rmse,5.046987809848444
0.8,test,forecast/mae,2.3426828384399414
0.85,test,forecast/mse,23.651962280273438
0.85,test,forecast/rmse,4.863328313025293
0.85,test,forecast/mae,2.248509407043457
0.9,test,forecast/mse,21.85713768005371
0.9,test,forecast/rmse,4.6751617811636965
0.9,test,forecast/mae,2.152980089187622
0.95,test,forecast/mse,20.111408233642578
0.95,test,forecast/rmse,4.4845744763179685
0.95,test,forecast/mae,2.057237386703491
