merge_scale,metric,value,selected
0.0,forecast/mse,0.4577775299549103,0
0.05,forecast/mse,0.30727753043174744,0
0.1,forecast/mse,0.19274793565273285,0
0.15,forecast/mse,0.11707735061645508,0
0.2,forecast/mse,0.07325061410665512,0
0.25,forecast/mse,0.04838058724999428,0
0.3,forecast/mse,0.034981757402420044,0
0.35,forecast/mse,0.02860342338681221,0
0.4,forecast/mse,0.026590067893266678,1
0.45,forecast/mse,0.02740306779742241,0
0.5,forecast/mse,0.030320707708597183,0
0.55,forecast/mse,0.035058021545410156,0
0.6,forecast/mse,0.04161139577627182,0
0.65,forecast/mse,0.050085440278053284,0
0.7,forecast/mse,0.06062034144997597,0
0.75,forecast/mse,0.0734105184674263,0
0.8,forecast/mse,0.08867821842432022,0
0.85,forecast/mse,0.1067265048623085,0
0.9,forecast/mse,0.1278916746377945,0
0.95,forecast/mse,0.15252666175365448,0
1.0,forecast/mse,0.18096669018268585,0
1.05,forecast/mse,0.21356865763664246,0
1.1,forecast/mse,0.2507147192955017,0
1.15,forecast/mse,0.2928323745727539,0
1.2,forecast/mse,0.34038278460502625,0
