merge_scale,metric,value,selected
0.0,forecast/mse,0.05115741491317749,0
0.05,forecast/mse,0.03438766673207283,0
0.1,forecast/mse,0.025874154642224312,0
0.15,forecast/mse,0.02262832596898079,0
0.2,forecast/mse,0.02249847911298275,1
0.25,forecast/mse,0.025171177461743355,0
0.3,forecast/mse,0.03128756955265999,0
0.35,forecast/mse,0.04128415137529373,0
0.4,forecast/mse,0.05533679202198982,0
0.45,forecast/mse,0.07351681590080261,0
0.5,forecast/mse,0.09606754779815674,0
0.55,forecast/mse,0.12310110032558441,0
0.6,forecast/mse,0.1549171805381775,0
0.65,forecast/mse,0.19177716970443726,0
0.7,forecast/mse,0.23413921892642975,0
0.75,forecast/mse,0.2824902832508087,0
0.8,forecast/mse,0.33743542432785034,0
0.85,forecast/mse,0.3996584117412567,0
0.9,forecast/mse,0.4698343873023987,0
0.95,forecast/mse,0.5486831068992615,0
1.0,forecast/mse,0.6373397707939148,0
1.05,forecast/mse,0.7372239828109741,0
1.1,forecast/mse,0.8501216173171997,0
1.15,forecast/mse,0.9769741296768188,0
1.2,forecast/mse,1.1187654733657837,0
