merge_scale,split,metric,value
0.0,test,forecast/mse,4.274351596832275
0.0,test,forecast/rmse,2.06745050650125
0.0,test,forecast/mae,0.877483069896698
0.05,test,forecast/mse,3.9607789516448975
0.05,test,forecast/rmse,1.9901705835543086
0.05,test,forecast/mae,0.8173357844352722
0.1,test,forecast/mse,3.7017340660095215
0.1,test,forecast/rmse,1.9239891023624645
0.1,test,forecast/mae,0.7626808285713196
0.15,test,forecast/mse,3.492783546447754
0.15,test,forecast/rmse,1.8688990198637683
0.15,test,forecast/mae,0.7138254046440125
0.2,test,forecast/mse,3.329162836074829
0.2,test,forecast/rmse,1.8245993631684818
0.2,test,forecast/mae,0.6713562607765198
0.25,test,forecast/mse,3.2049107551574707
0.25,test,forecast/rmse,1.790226453596715
0.25,test,forecast/mae,0.6362876892089844
0.3,test,forecast/mse,3.113840103149414
0.3,test,forecast/rmse,1.7646076343338806
0.3,test,forecast/mae,0.6101375818252563
0.35,test,forecast/mse,3.0530593395233154
0.35,test,forecast/rmse,1.747300586482851
0.35,test,forecast/mae,0.5952110290527344
0.4,test,forecast/mse,3.019179105758667
0.4,test,forecast/rmse,1.7375785178686651
0.4,test,forecast/mae,0.5915580987930298
0.45,test,forecast/mse,3.008953094482422
0.45,test,forecast/rmse,1.7346334178962488
0.45,test,forecast/mae,0.5975638628005981
0.5,test,forecast/mse,3.019526720046997
0.5,test,forecast/rmse,1.7376785433580622
0.5,test,forecast/mae,0.6114025115966797
0.55,test,forecast/mse,3.0491247177124023
0.55,test,forecast/rmse,1.746174309086124
0.55,test,forecast/mae,0.6316378116607666
0.6,test,forecast/mse,3.0973780155181885
0.6,test,forecast/rmse,1.7599369350968768
0.6,test,forecast/mae,0.6564838886260986
0.65,test,forecast/mse,3.1646461486816406
0.65,test,forecast/rmse,1.778945234874205
0.65,test,forecast/mae,0.6862621903419495
0.7,test,forecast/mse,3.251117467880249
0.7,test,forecast/rmse,1.8030855409215196
0.7,test,forecast/mae,0.7209428548812866
0.75,test,forecast/mse,3.356410503387451
0.75,test,forecast/rmse,1.8320509008724215
0.75,test,forecast/mae,0.761570155620575
0.8,test,forecast/mse,3.4809517860412598
0.8,test,forecast/rmse,1.8657308986135326
0.8,test,forecast/mae,0.8058764338493347
0.85,test,forecast/mse,3.6257243156433105
0.85,test,forecast/rmse,1.9041334815719486
0.85,test,forecast/mae,0.8526673316955566
0.9,test,forecast/mse,3.7915074825286865
0.9,test,forecast/rmse,1.947179365782384
0.9,test,forecast/mae,0.9012642502784729
0.95,test,forecast/mse,3.978637933731079
0.95,test,forecast/rmse,1.9946523340499915
0.95,test,forecast/mae,0.9512618780136108
1.0,test,forecast/mse,4.187297344207764
1.0,test,forecast/rmse,2.046288675677937
1.0,test,forecast/mae,1.0025345087051392
1.05,test,forecast/mse,4.417863845825195
1.05,test,forecast/rmse,2.1018715103034236
1.05,test,forecast/mae,1.0551552772521973
1.1,test,forecast/mse,4.670797824859619
1.1,test,forecast/rmse,2.1612028652719344
1.1,test,forecast/mae,1.109206199645996
1.15,test,forecast/mse,4.947051525115967
1.15,test,forecast/rmse,2.2241968269728214
1.15,test,forecast/mae,1.1646459102630615
1.2,test,forecast/mse,5.247715473175049
1.2,test,forecast/rmse,2.2907892686091946
1.2,test,forecast/mae,1.2214735746383667
0.0,val,forecast/mse,0.04452911764383316
0.0,val,forecast/rmse,0.21101923524606273
0.0,val,forecast/mae,0.08280786871910095
0.05,val,forecast/mse,0.03214195370674133
0.05,val,forecast/rmse,0.17928177181950578
0.05,val,forecast/mae,0.06609760224819183
0.1,val,forecast/mse,0.02524310164153576
0.1,val,forecast/rmse,0.15888077807442838
0.1,val,forecast/mae,0.05626083165407181
0.15,val,forecast/mse,0.022246843203902245
0.15,val,forecast/rmse,0.14915375692184976
0.15,val,forecast/mae,0.05179630219936371
0.2,val,forecast/mse,0.022399185225367546
0.2,val,forecast/rmse,0.1496635734752032
0.2,val,forecast/mae,0.052154332399368286
0.25,val,forecast/mse,0.025400202721357346
0.25,val,forecast/rmse,0.15937441049728573
0.25,val,forecast/mae,0.058168675750494
0.3,val,forecast/mse,0.03152790665626526
0.3,val,forecast/rmse,0.1775609941858438
0.3,val,forecast/mae,0.06853753328323364
0.35,val,forecast/mse,0.04137931764125824
0.35,val,forecast/rmse,0.2034190690207244
0.35,val,forecast/mae,0.08319660276174545
0.4,val,forecast/mse,0.05582330748438835
0.4,val,forecast/rmse,0.2362695652943653
0.4,val,forecast/mae,0.10126356780529022
0.45,val,forecast/mse,0.07557758688926697
0.45,val,forecast/rmse,0.2749137808282207
0.45,val,forecast/mae,0.121404267847538
0.5,val,forecast/mse,0.1012946143746376
0.5,val,forecast/rmse,0.3182681485393058
0.5,val,forecast/mae,0.14329655468463898
0.55,val,forecast/mse,0.13392090797424316
0.55,val,forecast/rmse,0.36595205693402405
0.55,val,forecast/mae,0.1669733226299286
0.6,val,forecast/mse,0.17439928650856018
0.6,val,forecast/rmse,0.4176114061044791
0.6,val,forecast/mae,0.19257201254367828
0.65,val,forecast/mse,0.22356654703617096
0.65,val,forecast/rmse,0.47282824263803336
0.65,val,forecast/mae,0.22013482451438904
0.7,val,forecast/mse,0.2821506857872009
0.7,val,forecast/rmse,0.5311785818227246
0.7,val,forecast/mae,0.2496824562549591
0.75,val,forecast/mse,0.35116463899612427
0.75,val,forecast/rmse,0.5925914604481947
0.75,val,forecast/mae,0.2813536822795868
0.8,val,forecast/mse,0.4317963421344757
0.8,val,forecast/rmse,0.6571121229550371
0.8,val,forecast/mae,0.3152605891227722
0.85,val,forecast/mse,0.5251405239105225
0.85,val,forecast/rmse,0.7246658015323494
0.85,val,forecast/mae,0.3514428734779358
0.9,val,forecast/mse,0.6319051384925842
0.9,val,forecast/rmse,0.7949246118296905
0.9,val,forecast/mae,0.3897886872291565
0.95,val,forecast/mse,0.752872884273529
0.95,val,forecast/rmse,0.8676824789481052
0.95,val,forecast/mae,0.4301774203777313
1.0,val,forecast/mse,0.8895885348320007
1.0,val,forecast/rmse,0.9431800118916859
1.0,val,forecast/mae,0.47273051738739014
1.05,val,forecast/mse,1.0435163974761963
1.05,val,forecast/rmse,1.0215265035603316
1.05,val,forecast/mae,0.5175203680992126
1.1,val,forecast/mse,1.2160083055496216
1.1,val,forecast/rmse,1.1027276660851588
1.1,val,forecast/mae,0.5645474791526794
1.15,val,forecast/mse,1.408332347869873
1.15,val,forecast/rmse,1.1867317927273513
1.15,val,forecast/mae,0.6137374639511108
1.2,val,forecast/mse,1.6213685274124146
1.2,val,forecast/rmse,1.2733297009857323
1.2,val,forecast/mae,0.6649969220161438
