merge_scale,split,metric,value
0.0,test,forecast/mse,2.563873052597046
0.0,test,forecast/rmse,1.6012098715024978
0.0,test,forecast/mae,0.5741992592811584
0.05,test,forecast/mse,2.5503292083740234
0.05,test,forecast/rmse,1.5969750180807536
0.05,test,forecast/mae,0.5542558431625366
0.1,test,forecast/mse,2.5495123863220215
0.1,test,forecast/rmse,1.596719257202725
0.1,test,forecast/mae,0.536774754524231
0.15,test,forecast/mse,2.562546730041504
0.15,test,forecast/rmse,1.600795655304419
0.15,test,forecast/mae,0.5221878886222839
0.2,test,forecast/mse,2.5906906127929688
0.2,test,forecast/rmse,1.6095622425967158
0.2,test,forecast/mae,0.5110917687416077
0.25,test,forecast/mse,2.6341357231140137
0.25,test,forecast/rmse,1.6230020711983129
0.25,test,forecast/mae,0.5035682916641235
0.3,test,forecast/mse,2.6916096210479736
0.3,test,forecast/rmse,1.6406125749389993
0.3,test,forecast/mae,0.4991341233253479
0.35,test,forecast/mse,2.7622556686401367
0.35,test,forecast/rmse,1.662003510417513
0.35,test,forecast/mae,0.49775877594947815
0.4,test,forecast/mse,2.845170736312866
0.4,test,forecast/rmse,1.6867633907317487
0.4,test,forecast/mae,0.4997861087322235
0.45,test,forecast/mse,2.9396653175354004
0.45,test,forecast/rmse,1.7145452217819745
0.45,test,forecast/mae,0.5052116513252258
0.5,test,forecast/mse,3.0447211265563965
0.5,test,forecast/rmse,1.7449129280730304
0.5,test,forecast/mae,0.5139850378036499
0.55,test,forecast/mse,3.1586358547210693
0.55,test,forecast/rmse,1.7772551462075077
0.55,test,forecast/mae,0.5261091589927673
0.6,test,forecast/mse,3.2785539627075195
0.6,test,forecast/rmse,1.8106777633547941
0.6,test,forecast/mae,0.5408361554145813
0.65,test,forecast/mse,3.398845911026001
0.65,test,forecast/rmse,1.8435959185857407
0.65,test,forecast/mae,0.5573132038116455
0.7,test,forecast/mse,3.5183212757110596
0.7,test,forecast/rmse,1.8757188690502262
0.7,test,forecast/mae,0.574953556060791
0.75,test,forecast/mse,3.6362035274505615
0.75,test,forecast/rmse,1.9068831971178941
0.75,test,forecast/mae,0.5936881899833679
0.8,test,forecast/mse,3.7499101161956787
0.8,test,forecast/rmse,1.9364684650661572
0.8,test,forecast/mae,0.6132508516311646
0.85,test,forecast/mse,3.8558554649353027
0.85,test,forecast/rmse,1.9636332307575421
0.85,test,forecast/mae,0.6329858899116516
0.9,test,forecast/mse,3.949254035949707
0.9,test,forecast/rmse,1.987273014950313
0.9,test,forecast/mae,0.6522652506828308
0.95,test,forecast/mse,4.028517723083496
0.95,test,forecast/rmse,2.007116768671792
0.95,test,forecast/mae,0.6709139943122864
1.0,test,forecast/mse,4.092870712280273
1.0,test,forecast/rmse,2.0230844550537856
1.0,test,forecast/mae,0.6890195608139038
1.05,test,forecast/mse,4.146599292755127
1.05,test,forecast/rmse,2.0363200369183443
1.05,test,forecast/mae,0.7067675590515137
1.1,test,forecast/mse,4.193711280822754
1.1,test,forecast/rmse,2.0478552880569354
1.1,test,forecast/mae,0.7240810990333557
1.15,test,forecast/mse,4.236797332763672
1.15,test,forecast/rmse,2.0583482049361015
1.15,test,forecast/mae,0.7408248782157898
1.2,test,forecast/mse,4.278208255767822
1.2,test,forecast/rmse,2.0683830050954835
1.2,test,forecast/mae,0.7569621205329895
0.0,val,forecast/mse,0.12650611996650696
0.0,val,forecast/rmse,0.3556769882442593
0.0,val,forecast/mae,0.1421390324831009
0.05,val,forecast/mse,0.08386747539043427
0.05,val,forecast/rmse,0.2895988180059343
0.05,val,forecast/mae,0.1139085665345192
0.1,val,forecast/mse,0.056054893881082535
0.1,val,forecast/rmse,0.23675914740740756
0.1,val,forecast/mae,0.09397014230489731
0.15,val,forecast/mse,0.04103059321641922
0.15,val,forecast/rmse,0.20256009778932083
0.15,val,forecast/mae,0.08095897734165192
0.2,val,forecast/mse,0.035296887159347534
0.2,val,forecast/rmse,0.18787465810839826
0.2,val,forecast/mae,0.0739341676235199
0.25,val,forecast/mse,0.03553837537765503
0.25,val,forecast/rmse,0.18851624698591637
0.25,val,forecast/mae,0.07216360419988632
0.3,val,forecast/mse,0.039972707629203796
0.3,val,forecast/rmse,0.1999317574303887
0.3,val,forecast/mae,0.07428184151649475
0.35,val,forecast/mse,0.04817669093608856
0.35,val,forecast/rmse,0.21949189264318753
0.35,val,forecast/mae,0.08062294870615005
0.4,val,forecast/mse,0.06192804127931595
0.4,val,forecast/rmse,0.24885345342051404
0.4,val,forecast/mae,0.09197564423084259
0.45,val,forecast/mse,0.08153651654720306
0.45,val,forecast/rmse,0.28554599725298735
0.45,val,forecast/mae,0.10919753462076187
0.5,val,forecast/mse,0.1062488779425621
0.5,val,forecast/rmse,0.32595839909804764
0.5,val,forecast/mae,0.13057996332645416
0.55,val,forecast/mse,0.13621485233306885
0.55,val,forecast/rmse,0.3690729634273809
0.55,val,forecast/mae,0.15496915578842163
0.6,val,forecast/mse,0.17088358104228973
0.6,val,forecast/rmse,0.4133806732810446
