merge_scale,split,metric,value
0.0,test,forecast/mse,3.2405991554260254
0.0,test,forecast/rmse,1.8001664243691542
0.0,test,forecast/mae,0.7787231206893921
0.05,test,forecast/mse,3.1961374282836914
0.05,test,forecast/rmse,1.7877744343970499
0.05,test,forecast/mae,0.7557712197303772
0.1,test,forecast/mse,3.159468173980713
0.1,test,forecast/rmse,1.7774892894137824
0.1,test,forecast/mae,0.7340952754020691
0.15,test,forecast/mse,3.1312355995178223
0.15,test,forecast/rmse,1.7695297679094926
0.15,test,forecast/mae,0.7137383222579956
0.2,test,forecast/mse,3.1116108894348145
0.2,test,forecast/rmse,1.7639758755251769
0.2,test,forecast/mae,0.6947535872459412
0.25,test,forecast/mse,3.1005349159240723
0.25,test,forecast/rmse,1.7608335855281931
0.25,test,forecast/mae,0.6772490739822388
0.3,test,forecast/mse,3.0980381965637207
0.3,test,forecast/rmse,1.760124483257852
0.3,test,forecast/mae,0.6614925265312195
0.35,test,forecast/mse,3.1043248176574707
0.35,test,forecast/rmse,1.761909423794955
0.35,test,forecast/mae,0.6475557684898376
0.4,test,forecast/mse,3.1196951866149902
0.4,test,forecast/rmse,1.7662658878591837
0.4,test,forecast/mae,0.6356874704360962
0.45,test,forecast/mse,3.1447272300720215
0.45,test,forecast/rmse,1.773337878147315
0.45,test,forecast/mae,0.6272454261779785
0.5,test,forecast/mse,3.17934513092041
0.5,test,forecast/rmse,1.7830718243863342
0.5,test,forecast/mae,0.6231856346130371
0.55,test,forecast/mse,3.2236266136169434
0.55,test,forecast/rmse,1.7954460764993594
0.55,test,forecast/mae,0.6226480603218079
0.6,test,forecast/mse,3.278704881668091
0.6,test,forecast/rmse,1.8107194375905094
0.6,test,forecast/mae,0.625828206539154
0.65,test,forecast/mse,3.3480682373046875
0.65,test,forecast/rmse,1.8297727283202927
0.65,test,forecast/mae,0.6347705125808716
0.7,test,forecast/mse,3.434091329574585
0.7,test,forecast/rmse,1.8531301437229348
0.7,test,forecast/mae,0.6487491130828857
