merge_scale,metric,value,selected
0.0,forecast/mse,0.08586624264717102,0
0.05,forecast/mse,0.06334197521209717,0
0.1,forecast/mse,0.04748678579926491,0
0.15,forecast/mse,0.037263423204422,0
0.2,forecast/mse,0.03202083706855774,0
0.25,forecast/mse,0.031247185543179512,1
0.3,forecast/mse,0.03470439463853836,0
0.35,forecast/mse,0.04235696792602539,0
0.4,forecast/mse,0.054092466831207275,0
0.45,forecast/mse,0.06992046535015106,0
0.5,forecast/mse,0.09021153301000595,0
0.55,forecast/mse,0.11504829674959183,0
0.6,forecast/mse,0.14409756660461426,0
0.65,forecast/mse,0.1777818500995636,0
0.7,forecast/mse,0.21620748937129974,0
0.75,forecast/mse,0.25979727506637573,0
0.8,forecast/mse,0.30905523896217346,0
0.85,forecast/mse,0.3642188012599945,0
0.9,forecast/mse,0.425287663936615,0
0.95,forecast/mse,0.49249616265296936,0
1.0,forecast/mse,0.5664728283882141,0
1.05,forecast/mse,0.6476620435714722,0
1.1,forecast/mse,0.7367206811904907,0
1.15,forecast/mse,0.8344038724899292,0
1.2,forecast/mse,0.9411827921867371,0
