merge_scale,metric,value,selected
0.0,forecast/mse,0.07871169596910477,0
0.05,forecast/mse,0.059250425547361374,0
0.1,forecast/mse,0.04554755240678787,0
0.15,forecast/mse,0.036591142416000366,0
0.2,forecast/mse,0.0317242369055748,0
0.25,forecast/mse,0.03094329498708248,1
0.3,forecast/mse,0.03450252115726471,0
0.35,forecast/mse,0.042334213852882385,0
0.4,forecast/mse,0.05517221987247467,0
0.45,forecast/mse,0.0740349069237709,0
0.5,forecast/mse,0.09818419069051743,0
0.55,forecast/mse,0.1272539347410202,0
0.6,forecast/mse,0.16073085367679596,0
0.65,forecast/mse,0.19792696833610535,0
0.7,forecast/mse,0.2394530177116394,0
0.75,forecast/mse,0.2851160764694214,0
0.8,forecast/mse,0.3354574143886566,0
0.85,forecast/mse,0.39091193675994873,0
0.9,forecast/mse,0.45214584469795227,0
0.95,forecast/mse,0.5192179083824158,0
1.0,forecast/mse,0.592714786529541,0
1.05,forecast/mse,0.6727228760719299,0
1.1,forecast/mse,0.7589497566223145,0
1.15,forecast/mse,0.8524865508079529,0
1.2,forecast/mse,0.9541434049606323,0
