merge_scale,metric,value,selected
0.0,forecast/mse,0.3981895446777344,0
0.05,forecast/mse,0.37994635105133057,0
0.1,forecast/mse,0.3644331395626068,0
0.15,forecast/mse,0.3516756296157837,0
0.2,forecast/mse,0.3416951298713684,0
0.25,forecast/mse,0.3345625400543213,0
0.3,forecast/mse,0.3303698003292084,0
0.35,forecast/mse,0.32924583554267883,1
0.4,forecast/mse,0.33136820793151855,0
0.45,forecast/mse,0.3370088040828705,0
0.5,forecast/mse,0.346483439207077,0
0.55,forecast/mse,0.36010438203811646,0
0.6,forecast/mse,0.3781399130821228,0
0.65,forecast/mse,0.40072593092918396,0
0.7,forecast/mse,0.4279230535030365,0
0.75,forecast/mse,0.45988795161247253,0
0.8,forecast/mse,0.496898889541626,0
0.85,forecast/mse,0.539137601852417,0
0.9,forecast/mse,0.5868287086486816,0
0.95,forecast/mse,0.6402431726455688,0
1.0,forecast/mse,0.6996217966079712,0
1.05,forecast/mse,0.7651931047439575,0
1.1,forecast/mse,0.8372068405151367,0
1.15,forecast/mse,0.9159747958183289,0
1.2,forecast/mse,1.001859188079834,0
