merge_scale,split,metric,value
0.0,test,forecast/mse,0.5206832885742188
0.0,test,forecast/rmse,0.7215838749405497
0.0,test,forecast/mae,0.41292431950569153
0.05,test,forecast/mse,0.4919605851173401
0.05,test,forecast/rmse,0.7013990199004702
0.05,test,forecast/mae,0.4006804823875427
0.1,test,forecast/mse,0.46567654609680176
0.1,test,forecast/rmse,0.6824049722099054
0.1,test,forecast/mae,0.39054033160209656
0.15,test,forecast/mse,0.4421611726284027
0.15,test,forecast/rmse,0.6649520077632691
0.15,test,forecast/mae,0.38271278142929077
0.2,test,forecast/mse,0.42189303040504456
0.2,test,forecast/rmse,0.6495329325023055
0.2,test,forecast/mae,0.3774071931838989
0.25,test,forecast/mse,0.40547066926956177
0.25,test,forecast/rmse,0.6367657883944157
0.25,test,forecast/mae,0.37490472197532654
0.3,test,forecast/mse,0.3936137855052948
0.3,test,forecast/rmse,0.6273864722045693
0.3,test,forecast/mae,0.3756965398788452
0.35,test,forecast/mse,0.3871070444583893
0.35,test,forecast/rmse,0.6221792703541233
0.35,test,forecast/mae,0.3803103566169739
0.4,test,forecast/mse,0.38677483797073364
0.4,test,forecast/rmse,0.6219122429818644
0.4,test,forecast/mae,0.3895361125469208
0.45,test,forecast/mse,0.3934518098831177
0.45,test,forecast/rmse,0.6272573713262505
0.45,test,forecast/mae,0.4035094678401947
0.5,test,forecast/mse,0.4079285264015198
0.5,test,forecast/rmse,0.6386928263269596
0.5,test,forecast/mae,0.4221062958240509
0.55,test,forecast/mse,0.43086546659469604
0.55,test,forecast/rmse,0.6564034328023399
0.55,test,forecast/mae,0.44519537687301636
0.6,test,forecast/mse,0.46279895305633545
0.6,test,forecast/rmse,0.6802932845885923
0.6,test,forecast/mae,0.47236162424087524
0.65,test,forecast/mse,0.5040993094444275
0.65,test,forecast/rmse,0.7099995136930922
0.65,test,forecast/mae,0.5029717087745667
0.7,test,forecast/mse,0.5549100041389465
0.7,test,forecast/rmse,0.7449228175716908
0.7,test,forecast/mae,0.536537230014801
0.75,test,forecast/mse,0.6152213215827942
0.75,test,forecast/rmse,0.7843604538621222
0.75,test,forecast/mae,0.5726637244224548
0.8,test,forecast/mse,0.6847359538078308
0.8,test,forecast/rmse,0.8274877363489025
0.8,test,forecast/mae,0.6105420589447021
0.85,test,forecast/mse,0.7630108594894409
0.85,test,forecast/rmse,0.8735049281426184
0.85,test,forecast/mae,0.649524450302124
0.9,test,forecast/mse,0.8495221734046936
0.9,test,forecast/rmse,0.921695271445337
0.9,test,forecast/mae,0.6892802715301514
0.95,test,forecast/mse,0.9436757564544678
0.95,test,forecast/rmse,0.9714297485945486
0.95,test,forecast/mae,0.729636013507843
1.0,test,forecast/mse,1.044760823249817
1.0,test,forecast/rmse,1.0221354231459825
1.0,test,forecast/mae,0.7704205513000488
1.05,test,forecast/mse,1.152023434638977
1.05,test,forecast/rmse,1.0733235461122508
1.05,test,forecast/mae,0.8115572333335876
1.1,test,forecast/mse,1.2646150588989258
1.1,test,forecast/rmse,1.1245510477070064
1.1,test,forecast/mae,0.8526870608329773
1.15,test,forecast/mse,1.3817018270492554
1.15,test,forecast/rmse,1.1754581349623878
1.15,test,forecast/mae,0.8934686183929443
1.2,test,forecast/mse,1.5026137828826904
1.2,test,forecast/rmse,1.2258114793403962
1.2,test,forecast/mae,0.933661699295044
0.0,val,forecast/mse,0.4054799973964691
0.0,val,forecast/rmse,0.6367731129660462
0.0,val,forecast/mae,0.3390771448612213
0.05,val,forecast/mse,0.38688910007476807
0.05,val,forecast/rmse,0.6220040997250484
0.05,val,forecast/mae,0.32710257172584534
0.1,val,forecast/mse,0.3708656430244446
0.1,val,forecast/rmse,0.6089873915151648
0.1,val,forecast/mae,0.3171102702617645
0.15,val,forecast/mse,0.35760918259620667
0.15,val,forecast/rmse,0.5980043332587204
0.15,val,forecast/mae,0.309205561876297
0.2,val,forecast/mse,0.34735921025276184
0.2,val,forecast/rmse,0.5893718777247197
0.2,val,forecast/mae,0.3034740090370178
0.25,val,forecast/mse,0.3404165506362915
0.25,val,forecast/rmse,0.5834522693728181
0.25,val,forecast/mae,0.30031684041023254
0.3,val,forecast/mse,0.33710017800331116
0.3,val,forecast/rmse,0.5806032879714953
0.3,val,forecast/mae,0.3004262149333954
0.35,val,forecast/mse,0.3378104865550995
0.35,val,forecast/rmse,0.5812146647798037
0.35,val,forecast/mae,0.3043937385082245
0.4,val,forecast/mse,0.34300801157951355
0.4,val,forecast/rmse,0.585668858297514
0.4,val,forecast/mae,0.31213802099227905
0.45,val,forecast/mse,0.3532159924507141
0.45,val,forecast/rmse,0.5943197728922656
0.45,val,forecast/mae,0.32341933250427246
0.5,val,forecast/mse,0.3690333962440491
0.5,val,forecast/rmse,0.6074811900331146
0.5,val,forecast/mae,0.33873364329338074
0.55,val,forecast/mse,0.3911055028438568
0.55,val,forecast/rmse,0.625384284135648
0.55,val,forecast/mae,0.3580647110939026
0.6,val,forecast/mse,0.4200386106967926
0.6,val,forecast/rmse,0.6481038579554921
0.6,val,forecast/mae,0.3813076913356781
0.65,val,forecast/mse,0.4563845694065094
0.65,val,forecast/rmse,0.6755624097050615
0.65,val,forecast/mae,0.4082397520542145
0.7,val,forecast/mse,0.5005568861961365
0.7,val,forecast/rmse,0.7075004496084342
0.7,val,forecast/mae,0.4383545219898224
0.75,val,forecast/mse,0.5528048872947693
0.75,val,forecast/rmse,0.7435084984684233
0.75,val,forecast/mae,0.4711662232875824
0.8,val,forecast/mse,0.6132750511169434
0.8,val,forecast/rmse,0.7831187975760404
0.8,val,forecast/mae,0.506291389465332
0.85,val,forecast/mse,0.6818273663520813
0.85,val,forecast/rmse,0.8257283853375039
0.85,val,forecast/mae,0.5430258512496948
0.9,val,forecast/mse,0.7581143975257874
0.9,val,forecast/rmse,0.8706976498910441
0.9,val,forecast/mae,0.5807530879974365
0.95,val,forecast/mse,0.8416759371757507
0.95,val,forecast/rmse,0.9174289820883962
0.95,val,forecast/mae,0.6189396381378174
1.0,val,forecast/mse,0.9319483637809753
