merge_scale,split,metric,value
0.0,test,forecast/mse,3.1697206497192383
0.0,test,forecast/rmse,1.7803709303735664
0.0,test,forecast/mae,0.6272950768470764
0.05,test,forecast/mse,3.1190247535705566
0.05,test,forecast/rmse,1.7660760894057075
0.05,test,forecast/mae,0.6117057800292969
0.1,test,forecast/mse,3.0700066089630127
0.1,test,forecast/rmse,1.7521434327597192
0.1,test,forecast/mae,0.596601128578186
0.15,test,forecast/mse,3.0228257179260254
0.15,test,forecast/rmse,1.7386275385849683
0.15,test,forecast/mae,0.5819216370582581
0.2,test,forecast/mse,2.977588176727295
0.2,test,forecast/rmse,1.7255689429076124
0.2,test,forecast/mae,0.5677280426025391
0.25,test,forecast/mse,2.9343936443328857
0.25,test,forecast/rmse,1.713007193310316
0.25,test,forecast/mae,0.5541208386421204
0.3,test,forecast/mse,2.8933351039886475
0.3,test,forecast/rmse,1.700980630103896
0.3,test,forecast/mae,0.5411527156829834
0.35,test,forecast/mse,2.8547041416168213
0.35,test,forecast/rmse,1.6895869736763542
0.35,test,forecast/mae,0.528965175151825
0.4,test,forecast/mse,2.818685293197632
0.4,test,forecast/rmse,1.6788940684860472
0.4,test,forecast/mae,0.517694890499115
0.45,test,forecast/mse,2.7853167057037354
0.45,test,forecast/rmse,1.6689268125666072
0.45,test,forecast/mae,0.5073481202125549
0.5,test,forecast/mse,2.754854202270508
0.5,test,forecast/rmse,1.6597753469281642
0.5,test,forecast/mae,0.49808311462402344
0.55,test,forecast/mse,2.727410078048706
0.55,test,forecast/rmse,1.6514872321785312
0.55,test,forecast/mae,0.49022001028060913
0.6,test,forecast/mse,2.703129768371582
0.6,test,forecast/rmse,1.6441197548754112
0.6,test,forecast/mae,0.4841781258583069
0.65,test,forecast/mse,2.68216609954834
0.65,test,forecast/rmse,1.63773199869464
0.65,test,forecast/mae,0.48038017749786377
0.7,test,forecast/mse,2.664637804031372
0.7,test,forecast/rmse,1.632371833875901
0.7,test,forecast/mae,0.47933900356292725
0.75,test,forecast/mse,2.650674819946289
0.75,test,forecast/rmse,1.6280893157152925
0.75,test,forecast/mae,0.4812614619731903
0.8,test,forecast/mse,2.6404285430908203
0.8,test,forecast/rmse,1.6249395505959046
0.8,test,forecast/mae,0.4852316081523895
0.85,test,forecast/mse,2.6339991092681885
0.85,test,forecast/rmse,1.6229599838776643
0.85,test,forecast/mae,0.490847647190094
0.9,test,forecast/mse,2.6314961910247803
0.9,test,forecast/rmse,1.6221887038889096
0.9,test,forecast/mae,0.4979683458805084
0.95,test,forecast/mse,2.6330409049987793
0.95,test,forecast/rmse,1.6226647543466208
0.95,test,forecast/mae,0.5065051317214966
1.0,test,forecast/mse,2.6387455463409424
1.0,test,forecast/rmse,1.624421603630333
1.0,test,forecast/mae,0.5166036486625671
1.05,test,forecast/mse,2.648771286010742
1.05,test,forecast/rmse,1.6275046193515834
1.05,test,forecast/mae,0.5284043550491333
1.1,test,forecast/mse,2.6633386611938477
1.1,test,forecast/rmse,1.6319738543229936
1.1,test,forecast/mae,0.5422095060348511
1.15,test,forecast/mse,2.68278431892395
1.15,test,forecast/rmse,1.6379207303541738
1.15,test,forecast/mae,0.5582548975944519
