merge_scale,metric,value,selected
0.0,forecast/mse,0.03594997897744179,0
0.05,forecast/mse,0.029250595718622208,0
0.1,forecast/mse,0.02458845265209675,0
0.15,forecast/mse,0.021559875458478928,0
0.2,forecast/mse,0.019821401685476303,0
0.25,forecast/mse,0.01911863684654236,1
0.3,forecast/mse,0.01929454505443573,0
0.35,forecast/mse,0.020251169800758362,0
0.4,forecast/mse,0.021912381052970886,0
0.45,forecast/mse,0.024260740727186203,0
0.5,forecast/mse,0.027292009443044662,0
0.55,forecast/mse,0.031071390956640244,0
0.6,forecast/mse,0.035714056342840195,0
0.65,forecast/mse,0.04134301468729973,0
0.7,forecast/mse,0.04808512702584267,0
0.75,forecast/mse,0.05606124550104141,0
0.8,forecast/mse,0.06535844504833221,0
0.85,forecast/mse,0.07607453316450119,0
0.9,forecast/mse,0.08835196495056152,0
0.95,forecast/mse,0.10232710838317871,0
1.0,forecast/mse,0.11805742979049683,0
1.05,forecast/mse,0.13559772074222565,0
1.1,forecast/mse,0.1550610363483429,0
1.15,forecast/mse,0.1766374111175537,0
1.2,forecast/mse,0.2005435973405838,0
