merge_scale,split,metric,value
0.0,test,forecast/mse,0.5201130509376526
0.0,test,forecast/rmse,0.7211886375544561
0.0,test,forecast/mae,0.41004276275634766
0.05,test,forecast/mse,0.493592768907547
0.05,test,forecast/rmse,0.7025615765949252
0.05,test,forecast/mae,0.3999731242656708
0.1,test,forecast/mse,0.46997129917144775
0.1,test,forecast/rmse,0.6855445274899711
0.1,test,forecast/mae,0.39152848720550537
0.15,test,forecast/mse,0.4499715268611908
0.15,test,forecast/rmse,0.6707991702895814
0.15,test,forecast/mae,0.38537174463272095
0.2,test,forecast/mse,0.43412506580352783
0.2,test,forecast/rmse,0.6588816781513414
0.2,test,forecast/mae,0.382040798664093
0.25,test,forecast/mse,0.42250967025756836
0.25,test,forecast/rmse,0.6500074386171041
0.25,test,forecast/mae,0.3814965486526489
0.3,test,forecast/mse,0.4252072870731354
0.3,test,forecast/rmse,0.6520792030674919
0.3,test,forecast/mae,0.38066908717155457
0.35,test,forecast/mse,0.4107891321182251
0.35,test,forecast/rmse,0.6409283361798144
0.35,test,forecast/mae,0.38731688261032104
0.4,test,forecast/mse,0.4103078842163086
0.4,test,forecast/rmse,0.6405527958071127
0.4,test,forecast/mae,0.3932008147239685
0.45,test,forecast/mse,0.4136064946651459
0.45,test,forecast/rmse,0.6431224569746775
0.45,test,forecast/mae,0.4014567732810974
0.5,test,forecast/mse,0.4212525486946106
0.5,test,forecast/rmse,0.6490397127253544
0.5,test,forecast/mae,0.4124828577041626
0.55,test,forecast/mse,0.4338347017765045
0.55,test,forecast/rmse,0.6586612951863078
0.55,test,forecast/mae,0.42648646235466003
0.6,test,forecast/mse,0.4518459439277649
0.6,test,forecast/rmse,0.6721948705009321
0.6,test,forecast/mae,0.4436051547527313
0.65,test,forecast/mse,0.4756730794906616
0.65,test,forecast/rmse,0.6896905679293154
0.65,test,forecast/mae,0.463866651058197
0.7,test,forecast/mse,0.5056581497192383
0.7,test,forecast/rmse,0.7110964419255931
0.7,test,forecast/mae,0.48727089166641235
0.75,test,forecast/mse,0.542333722114563
0.75,test,forecast/rmse,0.7364331076985628
0.75,test,forecast/mae,0.5137675404548645
0.8,test,forecast/mse,0.5863615274429321
0.8,test,forecast/rmse,0.7657424680941577
0.8,test,forecast/mae,0.5432320833206177
0.85,test,forecast/mse,0.6384289860725403
0.85,test,forecast/rmse,0.7990175129948907
0.85,test,forecast/mae,0.5755003690719604
0.9,test,forecast/mse,0.6990519165992737
0.9,test,forecast/rmse,0.8360932463543009
0.9,test,forecast/mae,0.6104134321212769
0.95,test,forecast/mse,0.7686670422554016
