merge_scale,metric,value,selected
0.0,forecast/mse,0.4082464575767517,0
0.05,forecast/mse,0.39266183972358704,0
0.1,forecast/mse,0.37974560260772705,0
0.15,forecast/mse,0.3691501319408417,0
0.2,forecast/mse,0.36080265045166016,0
0.25,forecast/mse,0.35478606820106506,0
0.3,forecast/mse,0.3513040542602539,0
0.35,forecast/mse,0.35056254267692566,1
0.4,forecast/mse,0.3527064025402069,0
0.45,forecast/mse,0.35778501629829407,0
0.5,forecast/mse,0.36577412486076355,0
0.55,forecast/mse,0.3765735924243927,0
0.6,forecast/mse,0.39010074734687805,0
0.65,forecast/mse,0.4062809348106384,0
0.7,forecast/mse,0.4250534176826477,0
0.75,forecast/mse,0.44637495279312134,0
0.8,forecast/mse,0.47015488147735596,0
0.85,forecast/mse,0.49610966444015503,0
0.9,forecast/mse,0.5238842964172363,0
0.95,forecast/mse,0.553199052810669,0
1.0,forecast/mse,0.5837587118148804,0
1.05,forecast/mse,0.6153445243835449,0
1.1,forecast/mse,0.6477285623550415,0
1.15,forecast/mse,0.6806253790855408,0
1.2,forecast/mse,0.7136269211769104,0
