merge_scale,split,metric,value
0.0,test,forecast/mse,0.5105936527252197
0.0,test,forecast/rmse,0.7145583620147621
0.0,test,forecast/mae,0.40553945302963257
0.05,test,forecast/mse,0.48520100116729736
0.05,test,forecast/rmse,0.6965637093384189
0.05,test,forecast/mae,0.39311373233795166
0.1,test,forecast/mse,0.4620167315006256
0.1,test,forecast/rmse,0.6797181265058522
0.1,test,forecast/mae,0.3827086389064789
0.15,test,forecast/mse,0.4414806067943573
0.15,test,forecast/rmse,0.6644400701299985
0.15,test,forecast/mae,0.3745943605899811
0.2,test,forecast/mse,0.4241028428077698
0.2,test,forecast/rmse,0.6512317888492313
0.2,test,forecast/mae,0.3688468337059021
0.25,test,forecast/mse,0.4103713929653168
0.25,test,forecast/rmse,0.6406023672804502
0.25,test,forecast/mae,0.36550241708755493
0.3,test,forecast/mse,0.4005870819091797
0.3,test,forecast/rmse,0.6329194908589715
0.3,test,forecast/mae,0.36454445123672485
0.35,test,forecast/mse,0.39473456144332886
0.35,test,forecast/rmse,0.6282790474330088
0.35,test,forecast/mae,0.3659343123435974
0.4,test,forecast/mse,0.39254316687583923
0.4,test,forecast/rmse,0.6265326542773643
0.4,test,forecast/mae,0.3695293366909027
0.45,test,forecast/mse,0.39363422989845276
0.45,test,forecast/rmse,0.6274027652939161
0.45,test,forecast/mae,0.37509670853614807
0.5,test,forecast/mse,0.39769047498703003
0.5,test,forecast/rmse,0.6306270490448614
0.5,test,forecast/mae,0.38242051005363464
0.55,test,forecast/mse,0.4045087397098541
0.55,test,forecast/rmse,0.6360100154163094
0.55,test,forecast/mae,0.39126110076904297
0.6,test,forecast/mse,0.41400307416915894
0.6,test,forecast/rmse,0.6434307065793169
0.6,test,forecast/mae,0.4014633297920227
0.65,test,forecast/mse,0.4262213706970215
0.65,test,forecast/rmse,0.6528563170384595
0.65,test,forecast/mae,0.41295570135116577
0.7,test,forecast/mse,0.44133031368255615
0.7,test,forecast/rmse,0.6643269629350868
0.7,test,forecast/mae,0.4257402718067169
0.75,test,forecast/mse,0.45961806178092957
0.75,test,forecast/rmse,0.677951371250866
0.75,test,forecast/mae,0.4398958384990692
0.8,test,forecast/mse,0.4814368486404419
0.8,test,forecast/rmse,0.6938565043583881
0.8,test,forecast/mae,0.45544782280921936
0.85,test,forecast/mse,0.5071059465408325
0.85,test,forecast/rmse,0.7121137174221772
