merge_scale,metric,value,selected
0.0,forecast/mse,0.4071790277957916,0
0.05,forecast/mse,0.39176419377326965,0
0.1,forecast/mse,0.3795427680015564,0
0.15,forecast/mse,0.37021154165267944,0
0.2,forecast/mse,0.36347976326942444,0
0.25,forecast/mse,0.35906410217285156,0
0.3,forecast/mse,0.35673782229423523,0
0.35,forecast/mse,0.356318861246109,1
0.4,forecast/mse,0.35773196816444397,0
0.45,forecast/mse,0.36100584268569946,0
0.5,forecast/mse,0.36626940965652466,0
0.55,forecast/mse,0.3736954927444458,0
0.6,forecast/mse,0.3834543228149414,0
0.65,forecast/mse,0.3957056403160095,0
0.7,forecast/mse,0.41058629751205444,0
0.75,forecast/mse,0.4281473457813263,0
0.8,forecast/mse,0.4483681321144104,0
0.85,forecast/mse,0.4711972773075104,0
0.9,forecast/mse,0.496616005897522,0
0.95,forecast/mse,0.5245779752731323,0
1.0,forecast/mse,0.5549570322036743,0
1.05,forecast/mse,0.5874513387680054,0
1.1,forecast/mse,0.6215341687202454,0
1.15,forecast/mse,0.65655916929245,0
1.2,forecast/mse,0.6918980479240417,0
