merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,forecast/mse,0.4961843490600586,57319,43
0.0,test,test,forecast/rmse,0.7044035413454838,57319,43
0.0,test,test,forecast/mae,0.3985905051231384,57319,43
0.0,val_0,val,forecast/mse,1.2412971258163452,3193,43
0.0,val_0,val,forecast/rmse,1.1141351470159917,3193,43
0.0,val_0,val,forecast/mae,0.48237794637680054,3193,43
0.0,val_1,val,forecast/mse,0.5044937133789062,3193,43
0.0,val_1,val,forecast/rmse,0.7102772088268821,3193,43
0.0,val_1,val,forecast/mae,0.5014785528182983,3193,43
0.0,val_2,val,forecast/mse,0.20162609219551086,3193,43
0.0,val_2,val,forecast/rmse,0.449027941441856,3193,43
0.0,val_2,val,forecast/mae,0.3225858211517334,3193,43
0.0,val_base,val,forecast/mse,0.15332409739494324,9817,43
0.0,val_base,val,forecast/rmse,0.39156621074212117,9817,43
0.0,val_base,val,forecast/mae,0.21942877769470215,9817,43
0.05,test,test,forecast/mse,0.4756496846675873,57319,43
0.05,test,test,forecast/rmse,0.6896736073445084,57319,43
0.05,test,test,forecast/mae,0.3891148567199707,57319,43
0.05,val_0,val,forecast/mse,1.2252545356750488,3193,43
0.05,val_0,val,forecast/rmse,1.1069121625833953,3193,43
0.05,val_0,val,forecast/mae,0.47465232014656067,3193,43
0.05,val_1,val,forecast/mse,0.4706507921218872,3193,43
0.05,val_1,val,forecast/rmse,0.686039934786516,3193,43
0.05,val_1,val,forecast/mae,0.47939789295196533,3193,43
0.05,val_2,val,forecast/mse,0.18397630751132965,3193,43
0.05,val_2,val,forecast/rmse,0.4289245942019759,3193,43
0.05,val_2,val,forecast/mae,0.3066587746143341,3193,43
0.05,val_base,val,forecast/mse,0.15191984176635742,9817,43
0.05,val_base,val,forecast/rmse,0.38976895947003964,9817,43
0.05,val_base,val,forecast/mae,0.21725773811340332,9817,43
0.1,test,test,forecast/mse,0.45776310563087463,57319,43
0.1,test,test,forecast/rmse,0.6765819282473295,57319,43
0.1,test,test,forecast/mae,0.38187628984451294,57319,43
0.1,val_0,val,forecast/mse,1.2097970247268677,3193,43
0.1,val_0,val,forecast/rmse,1.0999077346427144,3193,43
0.1,val_0,val,forecast/mae,0.46742865443229675,3193,43
0.1,val_1,val,forecast/mse,0.4432242512702942,3193,43
0.1,val_1,val,forecast/rmse,0.6657508928047293,3193,43
0.1,val_1,val,forecast/mae,0.4611320197582245,3193,43
0.1,val_2,val,forecast/mse,0.16884362697601318,3193,43
0.1,val_2,val,forecast/rmse,0.41090586145249036,3193,43
0.1,val_2,val,forecast/mae,0.29214656352996826,3193,43
0.1,val_base,val,forecast/mse,0.15176284313201904,9817,43
0.1,val_base,val,forecast/rmse,0.3895675077980953,9817,43
0.1,val_base,val,forecast/mae,0.217255100607872,9817,43
0.15,test,test,forecast/mse,0.4426409900188446,57319,43
0.15,test,test,forecast/rmse,0.6653127009300549,57319,43
0.15,test,test,forecast/mae,0.3769153356552124,57319,43
0.15,val_0,val,forecast/mse,1.194941759109497,3193,43
0.15,val_0,val,forecast/rmse,1.0931339163659213,3193,43
0.15,val_0,val,forecast/mae,0.4610006511211395,3193,43
0.15,val_1,val,forecast/mse,0.42139771580696106,3193,43
0.15,val_1,val,forecast/rmse,0.6491515353189585,3193,43
0.15,val_1,val,forecast/mae,0.4465717077255249,3193,43
0.15,val_2,val,forecast/mse,0.15658187866210938,3193,43
0.15,val_2,val,forecast/rmse,0.3957042818344393,3193,43
0.15,val_2,val,forecast/mae,0.2795473635196686,3193,43
0.15,val_base,val,forecast/mse,0.15294595062732697,9817,43
0.15,val_base,val,forecast/rmse,0.39108304824848517,9817,43
0.15,val_base,val,forecast/mae,0.219833105802536,9817,43
0.2,test,test,forecast/mse,0.43023523688316345,57319,43
0.2,test,test,forecast/rmse,0.655923194347603,57319,43
0.2,test,test,forecast/mae,0.3740655779838562,57319,43
0.2,val_0,val,forecast/mse,1.18064546585083,3193,43
0.2,val_0,val,forecast/rmse,1.0865751082418693,3193,43
0.2,val_0,val,forecast/mae,0.45557665824890137,3193,43
0.2,val_1,val,forecast/mse,0.40465301275253296,3193,43
0.2,val_1,val,forecast/rmse,0.6361234257221887,3193,43
0.2,val_1,val,forecast/mae,0.4356836974620819,3193,43
0.2,val_2,val,forecast/mse,0.14746734499931335,3193,43
0.2,val_2,val,forecast/rmse,0.3840147718503982,3193,43
0.2,val_2,val,forecast/mae,0.2693955898284912,3193,43
0.2,val_base,val,forecast/mse,0.1555168479681015,9817,43
0.2,val_base,val,forecast/rmse,0.3943562449969589,9817,43
0.2,val_base,val,forecast/mae,0.2248104065656662,9817,43
0.25,test,test,forecast/mse,0.4203489124774933,57319,43
0.25,test,test,forecast/rmse,0.6483432057772283,57319,43
