model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,forecast/mae,0.21942877769470215,1.0,9817,43
ft_0,val_base,val,forecast/mae,0.2595060467720032,1.1826436327010021,9817,43
ft_1,val_base,val,forecast/mae,0.32100409269332886,1.46290790144195,9817,43
ft_2,val_base,val,forecast/mae,0.2526479959487915,1.1513895242141314,9817,43
merged,val_base,val,forecast/mae,0.2403041273355484,1.0951349675286928,9817,43
base,val_base,val,forecast/mse,0.15332409739494324,1.0,9817,43
ft_0,val_base,val,forecast/mse,0.17848655581474304,1.1641128749317502,9817,43
ft_1,val_base,val,forecast/mse,0.23119045794010162,1.5078546808241409,9817,43
ft_2,val_base,val,forecast/mse,0.17332723736763,1.1304631190566297,9817,43
merged,val_base,val,forecast/mse,0.16466309130191803,1.073954414861266,9817,43
base,val_base,val,forecast/rmse,0.39156621074212117,1.0,9817,43
ft_0,val_base,val,forecast/rmse,0.42247669262900533,1.0789406262310035,9817,43
ft_1,val_base,val,forecast/rmse,0.480822688670264,1.227947344483525,9817,43
ft_2,val_base,val,forecast/rmse,0.41632587881085414,1.0632323918394462,9817,43
merged,val_base,val,forecast/rmse,0.4057870023816904,1.03631771907136,9817,43
base,val_0,val,forecast/mae,0.48237794637680054,1.0,3193,43
ft_0,val_0,val,forecast/mae,0.4486202895641327,0.9300182417827645,3193,43
ft_1,val_0,val,forecast/mae,0.45836079120635986,0.9502109179102477,3193,43
ft_2,val_0,val,forecast/mae,0.4993880093097687,1.0352629365847523,3193,43
merged,val_0,val,forecast/mae,0.4479235112667084,0.9285737762912181,3193,43
base,val_0,val,forecast/mse,1.2412971258163452,1.0,3193,43
ft_0,val_0,val,forecast/mse,1.1396623849868774,0.9181221492294787,3193,43
ft_1,val_0,val,forecast/mse,1.1584656238555908,0.9332702056276173,3193,43
ft_2,val_0,val,forecast/mse,1.2202191352844238,0.983019383438869,3193,43
merged,val_0,val,forecast/mse,1.1541298627853394,0.9297772779634208,3193,43
base,val_0,val,forecast/rmse,1.1141351470159917,1.0,3193,43
ft_0,val_0,val,forecast/rmse,1.0675497107801948,0.9581869072521699,3193,43
ft_1,val_0,val,forecast/rmse,1.0763204094764676,0.9660591108351585,3193,43
ft_2,val_0,val,forecast/rmse,1.1046352951469656,0.9914733397519414,3193,43
merged,val_0,val,forecast/rmse,1.0743043622667365,0.9642495931881023,3193,43
base,val_1,val,forecast/mae,0.5014785528182983,1.0,3193,43
ft_0,val_1,val,forecast/mae,0.5076072812080383,1.0122213170539331,3193,43
ft_1,val_1,val,forecast/mae,0.43210309743881226,0.8616581806149085,3193,43
ft_2,val_1,val,forecast/mae,0.41018638014793396,0.8179539839594248,3193,43
merged,val_1,val,forecast/mae,0.4248088002204895,0.8471125989996451,3193,43
base,val_1,val,forecast/mse,0.5044937133789062,1.0,3193,43
ft_0,val_1,val,forecast/mse,0.5049743056297302,1.0009526228733459,3193,43
ft_1,val_1,val,forecast/mse,0.382669061422348,0.7585209711720227,3193,43
ft_2,val_1,val,forecast/mse,0.3700003921985626,0.7334093218336484,3193,43
merged,val_1,val,forecast/mse,0.3850533068180084,0.7632469872400757,3193,43
base,val_1,val,forecast/rmse,0.7102772088268821,1.0,3193,43
ft_0,val_1,val,forecast/rmse,0.7106154414517956,1.0004761980543795,3193,43
ft_1,val_1,val,forecast/rmse,0.6186025068025088,0.8709310943880822,3193,43
ft_2,val_1,val,forecast/rmse,0.6082765754149692,0.8563932051538291,3193,43
merged,val_1,val,forecast/rmse,0.6205266366708269,0.8736400787739054,3193,43
base,val_2,val,forecast/mae,0.3225858211517334,1.0,3193,43
ft_0,val_2,val,forecast/mae,0.3211885094642639,0.9956684032717847,3193,43
ft_1,val_2,val,forecast/mae,0.30755728483200073,0.9534122849352894,3193,43
ft_2,val_2,val,forecast/mae,0.25170451402664185,0.7802714735817499,3193,43
merged,val_2,val,forecast/mae,0.26007017493247986,0.8062046062779421,3193,43
base,val_2,val,forecast/mse,0.20162609219551086,1.0,3193,43
ft_0,val_2,val,forecast/mse,0.19188553094863892,0.9516899765263178,3193,43
ft_1,val_2,val,forecast/mse,0.18108130991458893,0.8981045456110895,3193,43
ft_2,val_2,val,forecast/mse,0.12133175879716873,0.6017661577228651,3193,43
merged,val_2,val,forecast/mse,0.13940027356147766,0.691380128650737,3193,43
base,val_2,val,forecast/rmse,0.449027941441856,1.0,3193,43
ft_0,val_2,val,forecast/rmse,0.4380474071931472,0.9755459889345648,3193,43
ft_1,val_2,val,forecast/rmse,0.42553649657178516,0.9476837793331115,3193,43
ft_2,val_2,val,forecast/rmse,0.3483270859367223,0.7757358814202583,3193,43
merged,val_2,val,forecast/rmse,0.3733634603994848,0.8314927111230362,3193,43
base,test,test,forecast/mae,0.3985905051231384,1.0,57319,43
ft_0,test,test,forecast/mae,0.40062224864959717,1.0050973204337394,57319,43
ft_1,test,test,forecast/mae,0.401854008436203,1.0081876092659467,57319,43
ft_2,test,test,forecast/mae,0.37426745891571045,0.938977356723754,57319,43
