merge_scale,metric,value,selected
0.0,forecast/mse,1.4508001804351807,0
0.05,forecast/mse,1.3367886543273926,0
0.1,forecast/mse,1.2180099487304688,0
0.15,forecast/mse,1.0998058319091797,0
0.2,forecast/mse,0.9889805316925049,0
0.25,forecast/mse,0.8920345902442932,0
0.3,forecast/mse,0.8134118914604187,0
0.35,forecast/mse,0.7550268173217773,0
0.4,forecast/mse,0.7158922553062439,0
0.45,forecast/mse,0.6930727958679199,0
0.5,forecast/mse,0.6834205389022827,1
0.55,forecast/mse,0.6843909025192261,0
0.6,forecast/mse,0.6941320300102234,0
0.65,forecast/mse,0.7115411162376404,0
0.7,forecast/mse,0.7358973622322083,0
0.75,forecast/mse,0.7665475606918335,0
0.8,forecast/mse,0.8028647303581238,0
0.85,forecast/mse,0.8443114757537842,0
0.9,forecast/mse,0.8903958797454834,0
0.95,forecast/mse,0.9407776594161987,0
1.0,forecast/mse,0.9952208399772644,0
1.05,forecast/mse,1.0536340475082397,0
1.1,forecast/mse,1.1160742044448853,0
1.15,forecast/mse,1.182734727859497,0
1.2,forecast/mse,1.2539031505584717,0
