merge_scale,split,metric,value
0.0,test,forecast/mse,0.11394020169973373
0.0,test,forecast/rmse,0.33755029506687406
0.0,test,forecast/mae,0.2400171160697937
0.05,test,forecast/mse,0.10220079869031906
0.05,test,forecast/rmse,0.3196885964345914
0.05,test,forecast/mae,0.22894297540187836
0.1,test,forecast/mse,0.09494859725236893
0.1,test,forecast/rmse,0.30813730259799593
0.1,test,forecast/mae,0.2238284796476364
0.15,test,forecast/mse,0.0918632224202156
0.15,test,forecast/rmse,0.30308946273372095
0.15,test,forecast/mae,0.2237965613603592
0.2,test,forecast/mse,0.09270530939102173
0.2,test,forecast/rmse,0.3044754659919609
0.2,test,forecast/mae,0.2280120849609375
0.25,test,forecast/mse,0.09732256084680557
0.25,test,forecast/rmse,0.3119656404907527
0.25,test,forecast/mae,0.23581887781620026
0.3,test,forecast/mse,0.10565720498561859
0.3,test,forecast/rmse,0.3250495423556517
0.3,test,forecast/mae,0.2467714101076126
0.35,test,forecast/mse,0.11784311383962631
0.35,test,forecast/rmse,0.3432828481582299
0.35,test,forecast/mae,0.260795921087265
0.4,test,forecast/mse,0.13415883481502533
0.4,test,forecast/rmse,0.3662769919269095
0.4,test,forecast/mae,0.2781367897987366
0.45,test,forecast/mse,0.15495751798152924
0.45,test,forecast/rmse,0.393646437785901
0.45,test,forecast/mae,0.29892322421073914
0.5,test,forecast/mse,0.18069303035736084
0.5,test,forecast/rmse,0.42508002817982504
0.5,test,forecast/mae,0.3230852484703064
0.55,test,forecast/mse,0.21189910173416138
0.55,test,forecast/rmse,0.4603249957738135
0.55,test,forecast/mae,0.35056471824645996
0.6,test,forecast/mse,0.24913322925567627
0.6,test,forecast/rmse,0.49913247665892896
0.6,test,forecast/mae,0.3811825215816498
0.65,test,forecast/mse,0.2929062843322754
0.65,test,forecast/rmse,0.5412081709770052
0.65,test,forecast/mae,0.4146513342857361
0.7,test,forecast/mse,0.3436427712440491
0.7,test,forecast/rmse,0.5862105178551892
0.7,test,forecast/mae,0.45062705874443054
0.75,test,forecast/mse,0.4016396701335907
