merge_scale,metric,value,selected
0.0,forecast/mse,0.6191868185997009,0
0.05,forecast/mse,0.5797009468078613,0
0.1,forecast/mse,0.54334956407547,0
0.15,forecast/mse,0.5110055208206177,0
0.2,forecast/mse,0.4832620918750763,0
0.25,forecast/mse,0.46039652824401855,0
0.3,forecast/mse,0.4423069953918457,0
0.35,forecast/mse,0.4287586212158203,0
0.4,forecast/mse,0.41950100660324097,0
0.45,forecast/mse,0.41425925493240356,0
0.5,forecast/mse,0.41279006004333496,1
0.55,forecast/mse,0.414861261844635,0
0.6,forecast/mse,0.4202236533164978,0
0.65,forecast/mse,0.4286454916000366,0
0.7,forecast/mse,0.43995144963264465,0
0.75,forecast/mse,0.4540327787399292,0
0.8,forecast/mse,0.4707936644554138,0
0.85,forecast/mse,0.4901418089866638,0
0.9,forecast/mse,0.5119643807411194,0
0.95,forecast/mse,0.536094605922699,0
1.0,forecast/mse,0.56235671043396,0
1.05,forecast/mse,0.590585470199585,0
1.1,forecast/mse,0.6206427812576294,0
1.15,forecast/mse,0.6524050235748291,0
1.2,forecast/mse,0.6857908368110657,0
