merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,forecast/mse,0.8484154939651489,3365,124
0.0,test,test,forecast/rmse,0.921094725837223,3365,124
0.0,test,test,forecast/mae,0.6725873351097107,3365,124
0.0,val_0,val,forecast/mse,0.16788558661937714,403,124
0.0,val_0,val,forecast/rmse,0.409738436834253,403,124
0.0,val_0,val,forecast/mae,0.3137601912021637,403,124
0.0,val_1,val,forecast/mse,1.1337721347808838,403,124
0.0,val_1,val,forecast/rmse,1.0647873659942082,403,124
0.0,val_1,val,forecast/mae,0.8278712034225464,403,124
0.0,val_base,val,forecast/mse,0.5915524363517761,926,124
0.0,val_base,val,forecast/rmse,0.7691244608980891,926,124
0.0,val_base,val,forecast/mae,0.41061604022979736,926,124
0.05,test,test,forecast/mse,0.791490912437439,3365,124
0.05,test,test,forecast/rmse,0.8896577501699398,3365,124
0.05,test,test,forecast/mae,0.6441316604614258,3365,124
0.05,val_0,val,forecast/mse,0.15941356122493744,403,124
0.05,val_0,val,forecast/rmse,0.39926627859730085,403,124
0.05,val_0,val,forecast/mae,0.305139422416687,403,124
0.05,val_1,val,forecast/mse,1.0550159215927124,403,124
0.05,val_1,val,forecast/rmse,1.0271396796895311,403,124
0.05,val_1,val,forecast/mae,0.7944124937057495,403,124
0.05,val_base,val,forecast/mse,0.5853655338287354,926,124
0.05,val_base,val,forecast/rmse,0.7650918466620431,926,124
0.05,val_base,val,forecast/mae,0.40739279985427856,926,124
0.1,test,test,forecast/mse,0.7352294325828552,3365,124
0.1,test,test,forecast/rmse,0.85745520733322,3365,124
0.1,test,test,forecast/mae,0.6152374148368835,3365,124
0.1,val_0,val,forecast/mse,0.15168140828609467,403,124
0.1,val_0,val,forecast/rmse,0.3894629742171837,403,124
0.1,val_0,val,forecast/mae,0.29709887504577637,403,124
0.1,val_1,val,forecast/mse,0.9726139903068542,403,124
0.1,val_1,val,forecast/rmse,0.9862119398521062,403,124
0.1,val_1,val,forecast/mae,0.7591908574104309,403,124
0.1,val_base,val,forecast/mse,0.5796056389808655,926,124
0.1,val_base,val,forecast/rmse,0.7613183558675474,926,124
0.1,val_base,val,forecast/mae,0.4046076834201813,926,124
0.15,test,test,forecast/mse,0.6801576614379883,3365,124
0.15,test,test,forecast/rmse,0.8247167158715702,3365,124
0.15,test,test,forecast/mae,0.5862452983856201,3365,124
0.15,val_0,val,forecast/mse,0.14480727910995483,403,124
0.15,val_0,val,forecast/rmse,0.38053551622674436,403,124
0.15,val_0,val,forecast/mae,0.28978070616722107,403,124
0.15,val_1,val,forecast/mse,0.8876587748527527,403,124
0.15,val_1,val,forecast/rmse,0.9421564492443666,403,124
0.15,val_1,val,forecast/mae,0.7225892543792725,403,124
0.15,val_base,val,forecast/mse,0.5743086934089661,926,124
0.15,val_base,val,forecast/rmse,0.7578315732463026,926,124
0.15,val_base,val,forecast/mae,0.4023383855819702,926,124
0.2,test,test,forecast/mse,0.6268306374549866,3365,124
0.2,test,test,forecast/rmse,0.7917263652645317,3365,124
0.2,test,test,forecast/mae,0.5576559901237488,3365,124
0.2,val_0,val,forecast/mse,0.13893643021583557,403,124
0.2,val_0,val,forecast/rmse,0.3727417741759509,403,124
0.2,val_0,val,forecast/mae,0.28339698910713196,403,124
0.2,val_1,val,forecast/mse,0.8017517924308777,403,124
0.2,val_1,val,forecast/rmse,0.8954059372323134,403,124
0.2,val_1,val,forecast/mae,0.6848369836807251,403,124
0.2,val_base,val,forecast/mse,0.5695290565490723,926,124
0.2,val_base,val,forecast/rmse,0.7546714891587414,926,124
0.2,val_base,val,forecast/mae,0.40057075023651123,926,124
0.25,test,test,forecast/mse,0.575828492641449,3365,124
0.25,test,test,forecast/rmse,0.7588336396348339,3365,124
0.25,test,test,forecast/mae,0.530146062374115,3365,124
0.25,val_0,val,forecast/mse,0.1342620849609375,403,124
0.25,val_0,val,forecast/rmse,0.3664179102622271,403,124
0.25,val_0,val,forecast/mae,0.27823105454444885,403,124
0.25,val_1,val,forecast/mse,0.716835618019104,403,124
0.25,val_1,val,forecast/rmse,0.8466614541947117,403,124
0.25,val_1,val,forecast/mae,0.6463009119033813,403,124
0.25,val_base,val,forecast/mse,0.5652945041656494,926,124
0.25,val_base,val,forecast/rmse,0.7518606946540359,926,124
0.25,val_base,val,forecast/mae,0.3993096649646759,926,124
0.3,test,test,forecast/mse,0.5277289152145386,3365,124
0.3,test,test,forecast/rmse,0.7264495269559603,3365,124
0.3,test,test,forecast/mae,0.5044641494750977,3365,124
0.3,val_0,val,forecast/mse,0.13099505007266998,403,124
0.3,val_0,val,forecast/rmse,0.361932383288191,403,124
0.3,val_0,val,forecast/mae,0.2746434807777405,403,124
0.3,val_1,val,forecast/mse,0.6350909471511841,403,124
0.3,val_1,val,forecast/rmse,0.7969259358003001,403,124
0.3,val_1,val,forecast/mae,0.6076324582099915,403,124
0.3,val_base,val,forecast/mse,0.5616737008094788,926,124
