merge_scale,split,metric,value
0.0,test,forecast/mse,0.889901876449585
0.0,test,forecast/rmse,0.9433461063944585
0.0,test,forecast/mae,0.7050838470458984
0.05,test,forecast/mse,0.701740026473999
0.05,test,forecast/rmse,0.8376992458358782
0.05,test,forecast/mae,0.6194902658462524
0.1,test,forecast/mse,0.5254811644554138
0.1,test,forecast/rmse,0.7249007962855427
0.1,test,forecast/mae,0.5300889611244202
0.15,test,forecast/mse,0.3759540617465973
0.15,test,forecast/rmse,0.613150929010629
0.15,test,forecast/mae,0.4479294717311859
0.2,test,forecast/mse,0.26693466305732727
0.2,test,forecast/rmse,0.5166572007214525
0.2,test,forecast/mae,0.38718181848526
0.25,test,forecast/mse,0.20687130093574524
0.25,test,forecast/rmse,0.45483106856913946
0.25,test,forecast/mae,0.35803088545799255
0.3,test,forecast/mse,0.194571852684021
0.3,test,forecast/rmse,0.4411029955509495
0.3,test,forecast/mae,0.35778942704200745
0.35,test,forecast/mse,0.21973185241222382
0.35,test,forecast/rmse,0.4687556425390779
0.35,test,forecast/mae,0.37927132844924927
0.4,test,forecast/mse,0.26887911558151245
0.4,test,forecast/rmse,0.5185355490046102
0.4,test,forecast/mae,0.41673338413238525
0.45,test,forecast/mse,0.33055105805397034
0.45,test,forecast/rmse,0.5749356990603126
0.45,test,forecast/mae,0.463600754737854
0.5,test,forecast/mse,0.3972788155078888
0.5,test,forecast/rmse,0.630300575525589
0.5,test,forecast/mae,0.513782262802124
0.55,test,forecast/mse,0.4656451642513275
0.55,test,forecast/rmse,0.682381978258019
0.55,test,forecast/mae,0.5636157393455505
0.6,test,forecast/mse,0.5348066091537476
0.6,test,forecast/rmse,0.7313047307065281
0.6,test,forecast/mae,0.6119324564933777
0.65,test,forecast/mse,0.604911744594574
0.65,test,forecast/rmse,0.7777607245127347
0.65,test,forecast/mae,0.6583159565925598
0.7,test,forecast/mse,0.6763536930084229
0.7,test,forecast/rmse,0.822407254958529
0.7,test,forecast/mae,0.702917754650116
0.75,test,forecast/mse,0.7495601773262024
0.75,test,forecast/rmse,0.8657714348060939
0.75,test,forecast/mae,0.7459536194801331
0.8,test,forecast/mse,0.8249474763870239
0.8,test,forecast/rmse,0.9082661924716916
0.8,test,forecast/mae,0.7875749468803406
0.85,test,forecast/mse,0.9029549956321716
0.85,test,forecast/rmse,0.9502394412105676
0.85,test,forecast/mae,0.8278803825378418
0.9,test,forecast/mse,0.9839428067207336
0.9,test,forecast/rmse,0.991938912796919
0.9,test,forecast/mae,0.8669868111610413
0.95,test,forecast/mse,1.068203091621399
0.95,test,forecast/rmse,1.0335391098654172
0.95,test,forecast/mae,0.9050411581993103
1.0,test,forecast/mse,1.155927300453186
1.0,test,forecast/rmse,1.0751405956679276
1.0,test,forecast/mae,0.942150890827179
1.05,test,forecast/mse,1.247275710105896
1.05,test,forecast/rmse,1.1168149847248183
1.05,test,forecast/mae,0.9784538149833679
1.1,test,forecast/mse,1.3423346281051636
1.1,test,forecast/rmse,1.158591657187796
1.1,test,forecast/mae,1.014060378074646
1.15,test,forecast/mse,1.441120982170105
1.15,test,forecast/rmse,1.2004669850396157
1.15,test,forecast/mae,1.0490446090698242
1.2,test,forecast/mse,1.5435881614685059
1.2,test,forecast/rmse,1.2424122349158133
1.2,test,forecast/mae,1.0834569931030273
0.0,val,forecast/mse,0.6871849298477173
0.0,val,forecast/rmse,0.828966181365511
0.0,val,forecast/mae,0.5274763107299805
0.05,val,forecast/mse,0.6094838380813599
0.05,val,forecast/rmse,0.780694458851451
0.05,val,forecast/mae,0.4908117949962616
0.1,val,forecast/mse,0.5410815477371216
0.1,val,forecast/rmse,0.735582454750738
0.1,val,forecast/mae,0.458049476146698
0.15,val,forecast/mse,0.4926460087299347
0.15,val,forecast/rmse,0.7018874615847862
0.15,val,forecast/mae,0.4353266656398773
0.2,val,forecast/mse,0.4639454782009125
0.2,val,forecast/rmse,0.6811354330828139
0.2,val,forecast/mae,0.4245809316635132
0.25,val,forecast/mse,0.45022478699684143
0.25,val,forecast/rmse,0.6709879186668277
0.25,val,forecast/mae,0.4261576235294342
0.3,val,forecast/mse,0.44953224062919617
0.3,val,forecast/rmse,0.6704716553510641
0.3,val,forecast/mae,0.43952709436416626
0.35,val,forecast/mse,0.4624089300632477
0.35,val,forecast/rmse,0.6800065661912741
0.35,val,forecast/mae,0.4637500047683716
0.4,val,forecast/mse,0.48969927430152893
0.4,val,forecast/rmse,0.69978516296184
0.4,val,forecast/mae,0.4969962537288666
0.45,val,forecast/mse,0.5315342545509338
0.45,val,forecast/rmse,0.7290639577917247
0.45,val,forecast/mae,0.5369051098823547
0.5,val,forecast/mse,0.5873842239379883
0.5,val,forecast/rmse,0.7664099581411951
0.5,val,forecast/mae,0.5814653038978577
0.55,val,forecast/mse,0.6565008163452148
0.55,val,forecast/rmse,0.8102473797212891
0.55,val,forecast/mae,0.629020631313324
0.6,val,forecast/mse,0.7382760047912598
0.6,val,forecast/rmse,0.8592298905364383
0.6,val,forecast/mae,0.6788840889930725
0.65,val,forecast/mse,0.8326525688171387
0.65,val,forecast/rmse,0.9124979829112713
0.65,val,forecast/mae,0.7312593460083008
0.7,val,forecast/mse,0.9402458667755127
0.7,val,forecast/rmse,0.9696627593011462
0.7,val,forecast/mae,0.7867780923843384
0.75,val,forecast/mse,1.0622714757919312
0.75,val,forecast/rmse,1.030665549920017
