merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,forecast/mse,0.9767619371414185,3365,124
0.0,test,test,forecast/rmse,0.9883126717498963,3365,124
0.0,test,test,forecast/mae,0.7381460666656494,3365,124
0.1,test,test,forecast/mse,0.6244560480117798,3365,124
0.1,test,test,forecast/rmse,0.7902253147120635,3365,124
0.1,test,test,forecast/mae,0.5735419988632202,3365,124
0.2,test,test,forecast/mse,0.31998664140701294,3365,124
0.2,test,test,forecast/rmse,0.565673617386398,3365,124
0.2,test,test,forecast/mae,0.4080893099308014,3365,124
0.25,test,test,forecast/mse,0.22970689833164215,3365,124
0.25,test,test,forecast/rmse,0.47927747530177356,3365,124
0.25,test,test,forecast/mae,0.3626171350479126,3365,124
0.3,test,test,forecast/mse,0.19198013842105865,3365,124
0.3,test,test,forecast/rmse,0.43815538159545486,3365,124
0.3,test,test,forecast/mae,0.35101065039634705,3365,124
0.4,test,test,forecast/mse,0.2200372964143753,3365,124
0.4,test,test,forecast/rmse,0.46908133240875755,3365,124
0.4,test,test,forecast/mae,0.38379019498825073,3365,124
0.5,test,test,forecast/mse,0.2793235778808594,3365,124
0.5,test,test,forecast/rmse,0.5285107169025614,3365,124
0.5,test,test,forecast/mae,0.4270058870315552,3365,124
0.6,test,test,forecast/mse,0.32096126675605774,3365,124
0.6,test,test,forecast/rmse,0.5665344356312842,3365,124
0.6,test,test,forecast/mae,0.4579322934150696,3365,124
0.7,test,test,forecast/mse,0.344643771648407,3365,124
0.7,test,test,forecast/rmse,0.5870636861946129,3365,124
0.7,test,test,forecast/mae,0.4759473204612732,3365,124
0.8,test,test,forecast/mse,0.3556833863258362,3365,124
0.8,test,test,forecast/rmse,0.5963919737268738,3365,124
0.8,test,test,forecast/mae,0.4834454357624054,3365,124
0.9,test,test,forecast/mse,0.35777804255485535,3365,124
0.9,test,test,forecast/rmse,0.5981455028292492,3365,124
0.9,test,test,forecast/mae,0.48212024569511414,3365,124
1.0,test,test,forecast/mse,0.3546122908592224,3365,124
1.0,test,test,forecast/rmse,0.595493317224654,3365,124
1.0,test,test,forecast/mae,0.4747728705406189,3365,124
1.1,test,test,forecast/mse,0.3511590361595154,3365,124
1.1,test,test,forecast/rmse,0.5925867330269177,3365,124
1.1,test,test,forecast/mae,0.4663710296154022,3365,124
1.2,test,test,forecast/mse,0.35330337285995483,3365,124
1.2,test,test,forecast/rmse,0.5943932813045205,3365,124
1.2,test,test,forecast/mae,0.46361127495765686,3365,124
1.3,test,test,forecast/mse,0.3657878041267395,3365,124
1.3,test,test,forecast/rmse,0.604803938584017,3365,124
1.3,test,test,forecast/mae,0.47155365347862244,3365,124
1.4,test,test,forecast/mse,0.3914121389389038,3365,124
1.4,test,test,forecast/rmse,0.6256293942414342,3365,124
1.4,test,test,forecast/mae,0.49219760298728943,3365,124
1.5,test,test,forecast/mse,0.4326186776161194,3365,124
1.5,test,test,forecast/rmse,0.6577375446301659,3365,124
1.5,test,test,forecast/mae,0.5245721340179443,3365,124
