model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,forecast/mae,0.40845781564712524,1.0,926,43
ft_0,val_base,val,forecast/mae,0.6576912999153137,1.6101816998490395,926,43
ft_1,val_base,val,forecast/mae,0.4081476330757141,0.9992406007192696,926,43
ft_2,val_base,val,forecast/mae,0.6052960157394409,1.4819058236906602,926,43
merged,val_base,val,forecast/mae,0.4798472225666046,1.1747779187585776,926,43
base,val_base,val,forecast/mse,0.5920569896697998,1.0,926,43
ft_0,val_base,val,forecast/mse,0.7363097667694092,1.2436467766051738,926,43
ft_1,val_base,val,forecast/mse,0.5397911071777344,0.9117215345752189,926,43
ft_2,val_base,val,forecast/mse,0.7992129325866699,1.3498918964412607,926,43
merged,val_base,val,forecast/mse,0.5602676272392273,0.9463069214868961,926,43
base,val_base,val,forecast/rmse,0.7694523959737859,1.0,926,43
ft_0,val_base,val,forecast/rmse,0.8580849414652428,1.1151891214521301,926,43
ft_1,val_base,val,forecast/rmse,0.734704775523975,0.9548411043598924,926,43
ft_2,val_base,val,forecast/rmse,0.8939870986690299,1.161848482566148,926,43
merged,val_base,val,forecast/rmse,0.7485102719664088,0.9727830803868333,926,43
base,val_0,val,forecast/mae,0.4314289689064026,1.0,229,43
ft_0,val_0,val,forecast/mae,0.28492486476898193,0.6604212635308586,229,43
ft_1,val_0,val,forecast/mae,0.22693774104118347,0.5260141469323008,229,43
ft_2,val_0,val,forecast/mae,0.41988077759742737,0.973232693812268,229,43
merged,val_0,val,forecast/mae,0.2682628333568573,0.6218006965013428,229,43
base,val_0,val,forecast/mse,0.34145215153694153,1.0,229,43
ft_0,val_0,val,forecast/mse,0.13570889830589294,0.3974463118625588,229,43
ft_1,val_0,val,forecast/mse,0.0928342416882515,0.2718806757268531,229,43
ft_2,val_0,val,forecast/mse,0.27072006464004517,0.7928491984059327,229,43
merged,val_0,val,forecast/mse,0.12327317148447037,0.36102619629015137,229,43
base,val_0,val,forecast/rmse,0.5843390724031224,1.0,229,43
ft_0,val_0,val,forecast/rmse,0.3683868867181525,0.6304334317456195,229,43
ft_1,val_0,val,forecast/rmse,0.30468712097535644,0.5214217829424208,229,43
ft_2,val_0,val,forecast/rmse,0.5203076634454322,0.8904207985025578,229,43
merged,val_0,val,forecast/rmse,0.35110279333048655,0.6008545550215554,229,43
base,val_1,val,forecast/mae,0.8188269138336182,1.0,229,43
