model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,forecast/mae,0.41272884607315063,1.0,926,43
ft_0,val_base,val,forecast/mae,0.5270001292228699,1.276867692280142,926,43
ft_1,val_base,val,forecast/mae,0.5289913415908813,1.2816921972474022,926,43
ft_2,val_base,val,forecast/mae,0.4329665005207062,1.0490337776002423,926,43
ft_3,val_base,val,forecast/mae,0.4679231345653534,1.1337301451481787,926,43
ft_4,val_base,val,forecast/mae,0.7231104373931885,1.7520230152874434,926,43
merged,val_base,val,forecast/mae,0.46597418189048767,1.129008031117602,926,43
base,val_base,val,forecast/mse,0.6042278409004211,1.0,926,43
ft_0,val_base,val,forecast/mse,0.6583420038223267,1.0895592014450453,926,43
ft_1,val_base,val,forecast/mse,0.7227811813354492,1.1962063519919237,926,43
ft_2,val_base,val,forecast/mse,0.5711691975593567,0.9452877853297849,926,43
ft_3,val_base,val,forecast/mse,0.6332422494888306,1.048018986588192,926,43
ft_4,val_base,val,forecast/mse,0.9514671564102173,1.574682747144421,926,43
merged,val_base,val,forecast/mse,0.601936399936676,0.9962076541188,926,43
base,val_base,val,forecast/rmse,0.7773209381590214,1.0,926,43
ft_0,val_base,val,forecast/rmse,0.8113827726925971,1.0438195253227662,926,43
ft_1,val_base,val,forecast/rmse,0.8501653846960892,1.0937121888284522,926,43
ft_2,val_base,val,forecast/rmse,0.7557573668574834,0.9722591142950447,926,43
ft_3,val_base,val,forecast/rmse,0.7957651974601745,1.0237279846659422,926,43
ft_4,val_base,val,forecast/rmse,0.9754317794752319,1.254863636872318,926,43
merged,val_base,val,forecast/rmse,0.7758456031561151,0.9981020259065703,926,43
base,val_0,val,forecast/mae,0.6176882982254028,1.0,89,43
ft_0,val_0,val,forecast/mae,0.46724259853363037,0.7564375104336641,89,43
ft_1,val_0,val,forecast/mae,0.323172003030777,0.5231959290134506,89,43
ft_2,val_0,val,forecast/mae,0.41935911774635315,0.6789170508024152,89,43
ft_3,val_0,val,forecast/mae,0.5529391169548035,0.8951749912429594,89,43
ft_4,val_0,val,forecast/mae,0.5337464809417725,0.864103274216474,89,43
merged,val_0,val,forecast/mae,0.4256235957145691,0.6890588617873626,89,43
base,val_0,val,forecast/mse,0.7811151146888733,1.0,89,43
ft_0,val_0,val,forecast/mse,0.43120551109313965,0.5520383653885554,89,43
ft_1,val_0,val,forecast/mse,0.3052258789539337,0.39075659043610816,89,43
ft_2,val_0,val,forecast/mse,0.3366769552230835,0.4310209198258641,89,43
ft_3,val_0,val,forecast/mse,0.46176671981811523,0.5911634676305578,89,43
ft_4,val_0,val,forecast/mse,0.4862369894981384,0.622490821588841,89,43
merged,val_0,val,forecast/mse,0.3515574634075165,0.45007125940399406,89,43
base,val_0,val,forecast/rmse,0.8838071705348816,1.0,89,43
ft_0,val_0,val,forecast/rmse,0.6566624026797481,0.7429928434302415,89,43
ft_1,val_0,val,forecast/rmse,0.5524725142067556,0.6251052634845656,89,43
ft_2,val_0,val,forecast/rmse,0.580238705381745,0.6565218349955043,89,43
ft_3,val_0,val,forecast/rmse,0.679534193266325,0.768871554702447,89,43
ft_4,val_0,val,forecast/rmse,0.6973069550048518,0.7889808752998015,89,43
merged,val_0,val,forecast/rmse,0.5929228140386542,0.6708735047712007,89,43
base,val_1,val,forecast/mae,0.5428786873817444,1.0,89,43
ft_0,val_1,val,forecast/mae,0.42470550537109375,0.7823211985340788,89,43
ft_1,val_1,val,forecast/mae,0.2721768319606781,0.5013584771090623,89,43
ft_2,val_1,val,forecast/mae,0.3861350417137146,0.7112731641317687,89,43
ft_3,val_1,val,forecast/mae,0.49055203795433044,0.9036126290391308,89,43
ft_4,val_1,val,forecast/mae,0.4742757976055145,0.8736312709067738,89,43
merged,val_1,val,forecast/mae,0.3609596788883209,0.6648993362203945,89,43
base,val_1,val,forecast/mse,0.5612056851387024,1.0,89,43
ft_0,val_1,val,forecast/mse,0.27971893548965454,0.4984249855211674,89,43
ft_1,val_1,val,forecast/mse,0.14345410466194153,0.25561769679237434,89,43
ft_2,val_1,val,forecast/mse,0.2188318371772766,0.3899316114789396,89,43
ft_3,val_1,val,forecast/mse,0.36373141407966614,0.6481249632917914,89,43
ft_4,val_1,val,forecast/mse,0.33389925956726074,0.5949677068662219,89,43
merged,val_1,val,forecast/mse,0.20794175565242767,0.37052681603008836,89,43
base,val_1,val,forecast/rmse,0.7491366264832486,1.0,89,43
ft_0,val_1,val,forecast/rmse,0.5288846145329381,0.7059921993345021,89,43
ft_1,val_1,val,forecast/rmse,0.37875335597449367,0.5055864879448168,89,43
ft_2,val_1,val,forecast/rmse,0.46779465278824706,0.6244450428011576,89,43
ft_3,val_1,val,forecast/rmse,0.6031014956702281,0.8050620866068601,89,43
ft_4,val_1,val,forecast/rmse,0.577840167838184,0.7713414982134839,89,43
merged,val_1,val,forecast/rmse,0.45600631097872724,0.6087091391051135,89,43
base,val_2,val,forecast/mae,0.8397162556648254,1.0,89,43
ft_0,val_2,val,forecast/mae,0.5698345899581909,0.6786037380055694,89,43
ft_1,val_2,val,forecast/mae,0.4760808050632477,0.5669543751851296,89,43
ft_2,val_2,val,forecast/mae,0.23181958496570587,0.2760689499599698,89,43
ft_3,val_2,val,forecast/mae,0.23443450033664703,0.2791829963456395,89,43
ft_4,val_2,val,forecast/mae,0.2617124915122986,0.3116677684238635,89,43
merged,val_2,val,forecast/mae,0.3147023618221283,0.3747722634867538,89,43
base,val_2,val,forecast/mse,1.0694899559020996,1.0,89,43
ft_0,val_2,val,forecast/mse,0.4963788688182831,0.46412672328427296,89,43
ft_1,val_2,val,forecast/mse,0.3693845570087433,0.34538384860021676,89,43
ft_2,val_2,val,forecast/mse,0.09697036445140839,0.0906697289827423,89,43
ft_3,val_2,val,forecast/mse,0.09746009111404419,0.09112763572598304,89,43
ft_4,val_2,val,forecast/mse,0.1254052370786667,0.11725704985503034,89,43
merged,val_2,val,forecast/mse,0.16425368189811707,0.1535813225656443,89,43
base,val_2,val,forecast/rmse,1.0341614747717591,1.0,89,43
ft_0,val_2,val,forecast/rmse,0.7045416019074268,0.6812684663803784,89,43
ft_1,val_2,val,forecast/rmse,0.6077701514624944,0.5876936690149187,89,43
ft_2,val_2,val,forecast/rmse,0.311400649407493,0.30111414610200943,89,43
ft_3,val_2,val,forecast/rmse,0.3121859880168298,0.3018735426068058,89,43
ft_4,val_2,val,forecast/rmse,0.3541260186411988,0.3424281674381217,89,43
merged,val_2,val,forecast/rmse,0.40528222499650424,0.3918945299001305,89,43
