merge_scale,metric,value,selected
0.0,forecast/mse,0.40015745162963867,0
0.05,forecast/mse,0.37338098883628845,0
0.1,forecast/mse,0.348663330078125,0
0.15,forecast/mse,0.3268153965473175,0
0.2,forecast/mse,0.3084660768508911,0
0.25,forecast/mse,0.2940935492515564,0
0.3,forecast/mse,0.28390175104141235,0
0.35,forecast/mse,0.27786484360694885,0
0.4,forecast/mse,0.275818407535553,1
0.45,forecast/mse,0.27756547927856445,0
0.5,forecast/mse,0.28298380970954895,0
0.55,forecast/mse,0.29207438230514526,0
0.6,forecast/mse,0.3049545884132385,0
0.65,forecast/mse,0.32190024852752686,0
0.7,forecast/mse,0.34336617588996887,0
0.75,forecast/mse,0.36994290351867676,0
0.8,forecast/mse,0.40238022804260254,0
0.85,forecast/mse,0.4415821135044098,0
0.9,forecast/mse,0.4886327087879181,0
0.95,forecast/mse,0.544803261756897,0
1.0,forecast/mse,0.6115707755088806,0
1.05,forecast/mse,0.6906938552856445,0
1.1,forecast/mse,0.7842111587524414,0
1.15,forecast/mse,0.8945162892341614,0
1.2,forecast/mse,1.0243875980377197,0
