merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,forecast/mse,0.5920668840408325,13817,8
0.0,test,test,forecast/rmse,0.7694588254356646,13817,8
0.0,test,test,forecast/mae,0.5518953204154968,13817,8
0.0,val_0,val,forecast/mse,0.11642024666070938,1971,8
0.0,val_0,val,forecast/rmse,0.3412041129012213,1971,8
0.0,val_0,val,forecast/mae,0.2542329728603363,1971,8
0.0,val_1,val,forecast/mse,0.6147953271865845,1971,8
0.0,val_1,val,forecast/rmse,0.7840888515892727,1971,8
0.0,val_1,val,forecast/mae,0.6344242691993713,1971,8
0.0,val_base,val,forecast/mse,0.4336947500705719,4061,8
0.0,val_base,val,forecast/rmse,0.658555047107356,4061,8
0.0,val_base,val,forecast/mae,0.3291011154651642,4061,8
0.1,test,test,forecast/mse,0.4085042476654053,13817,8
0.1,test,test,forecast/rmse,0.639143370195925,13817,8
0.1,test,test,forecast/mae,0.4610183537006378,13817,8
0.1,val_0,val,forecast/mse,0.09070604294538498,1971,8
0.1,val_0,val,forecast/rmse,0.30117443939581756,1971,8
0.1,val_0,val,forecast/mae,0.22428670525550842,1971,8
0.1,val_1,val,forecast/mse,0.48373937606811523,1971,8
0.1,val_1,val,forecast/rmse,0.6955137497333286,1971,8
0.1,val_1,val,forecast/mae,0.5578210353851318,1971,8
0.1,val_base,val,forecast/mse,0.40830355882644653,4061,8
0.1,val_base,val,forecast/rmse,0.6389863526136114,4061,8
0.1,val_base,val,forecast/mae,0.32109686732292175,4061,8
0.2,test,test,forecast/mse,0.2626512348651886,13817,8
0.2,test,test,forecast/rmse,0.5124951071621939,13817,8
0.2,test,test,forecast/mae,0.3743607997894287,13817,8
0.2,val_0,val,forecast/mse,0.07798062264919281,1971,8
0.2,val_0,val,forecast/rmse,0.27925010769772823,1971,8
0.2,val_0,val,forecast/mae,0.20817922055721283,1971,8
0.2,val_1,val,forecast/mse,0.38000938296318054,1971,8
0.2,val_1,val,forecast/rmse,0.6164490108380258,1971,8
0.2,val_1,val,forecast/mae,0.4898689091205597,1971,8
0.2,val_base,val,forecast/mse,0.38560840487480164,4061,8
0.2,val_base,val,forecast/rmse,0.6209737553832703,4061,8
0.2,val_base,val,forecast/mae,0.3203783631324768,4061,8
0.3,test,test,forecast/mse,0.1643291711807251,13817,8
0.3,test,test,forecast/rmse,0.4053753460445333,13817,8
0.3,test,test,forecast/mae,0.3033324182033539,13817,8
0.3,val_0,val,forecast/mse,0.07676838338375092,1971,8
0.3,val_0,val,forecast/rmse,0.27707108002054437,1971,8
0.3,val_0,val,forecast/mae,0.20934166014194489,1971,8
0.3,val_1,val,forecast/mse,0.3190072178840637,1971,8
0.3,val_1,val,forecast/rmse,0.5648072395818451,1971,8
0.3,val_1,val,forecast/mae,0.4490341544151306,1971,8
0.3,val_base,val,forecast/mse,0.36739516258239746,4061,8
0.3,val_base,val,forecast/rmse,0.6061313080367962,4061,8
0.3,val_base,val,forecast/mae,0.3296896517276764,4061,8
0.4,test,test,forecast/mse,0.11527949571609497,13817,8
0.4,test,test,forecast/rmse,0.3395283430232224,13817,8
0.4,test,test,forecast/mae,0.2579008936882019,13817,8
0.4,val_0,val,forecast/mse,0.08554105460643768,1971,8
0.4,val_0,val,forecast/rmse,0.2924740238148299,1971,8
0.4,val_0,val,forecast/mae,0.22610816359519958,1971,8
0.4,val_1,val,forecast/mse,0.301187664270401,1971,8
0.4,val_1,val,forecast/rmse,0.5488056707709943,1971,8
0.4,val_1,val,forecast/mae,0.44147542119026184,1971,8
0.4,val_base,val,forecast/mse,0.3558562099933624,4061,8
0.4,val_base,val,forecast/rmse,0.5965368471380141,4061,8
0.4,val_base,val,forecast/mae,0.3483027219772339,4061,8
0.5,test,test,forecast/mse,0.10955523699522018,13817,8
0.5,test,test,forecast/rmse,0.33099129444023173,13817,8
0.5,test,test,forecast/mae,0.24713784456253052,13817,8
0.5,val_0,val,forecast/mse,0.10320945084095001,1971,8
0.5,val_0,val,forecast/rmse,0.3212622773388591,1971,8
0.5,val_0,val,forecast/mae,0.2522825300693512,1971,8
0.5,val_1,val,forecast/mse,0.31670600175857544,1971,8
0.5,val_1,val,forecast/rmse,0.5627663829321856,1971,8
0.5,val_1,val,forecast/mae,0.4590798020362854,1971,8
0.5,val_base,val,forecast/mse,0.3538700044155121,4061,8
0.5,val_base,val,forecast/rmse,0.5948697373505498,4061,8
0.5,val_base,val,forecast/mae,0.3761725425720215,4061,8
0.6,test,test,forecast/mse,0.13795562088489532,13817,8
0.6,test,test,forecast/rmse,0.3714237753360645,13817,8
0.6,test,test,forecast/mae,0.28118041157722473,13817,8
0.6,val_0,val,forecast/mse,0.13036872446537018,1971,8
0.6,val_0,val,forecast/rmse,0.36106609431705183,1971,8
0.6,val_0,val,forecast/mae,0.28425389528274536,1971,8
0.6,val_1,val,forecast/mse,0.3557523787021637,1971,8
0.6,val_1,val,forecast/rmse,0.5964498123917583,1971,8
0.6,val_1,val,forecast/mae,0.4922099709510803,1971,8
0.6,val_base,val,forecast/mse,0.36503493785858154,4061,8
0.6,val_base,val,forecast/rmse,0.6041812127653272,4061,8
0.6,val_base,val,forecast/mae,0.41194161772727966,4061,8
0.7,test,test,forecast/mse,0.19223517179489136,13817,8
0.7,test,test,forecast/rmse,0.4384463157501627,13817,8
0.7,test,test,forecast/mae,0.3489823043346405,13817,8
0.7,val_0,val,forecast/mse,0.1699075996875763,1971,8
0.7,val_0,val,forecast/rmse,0.4121984954940718,1971,8
0.7,val_0,val,forecast/mae,0.32283470034599304,1971,8
0.7,val_1,val,forecast/mse,0.41171857714653015,1971,8
0.7,val_1,val,forecast/rmse,0.6416530036916606,1971,8
0.7,val_1,val,forecast/mae,0.5353088974952698,1971,8
0.7,val_base,val,forecast/mse,0.39437925815582275,4061,8
0.7,val_base,val,forecast/rmse,0.6279962246350075,4061,8
0.7,val_base,val,forecast/mae,0.4556800127029419,4061,8
0.8,test,test,forecast/mse,0.26720699667930603,13817,8
0.8,test,test,forecast/rmse,0.5169206870297474,13817,8
0.8,test,test,forecast/mae,0.42734742164611816,13817,8
0.8,val_0,val,forecast/mse,0.22707653045654297,1971,8
0.8,val_0,val,forecast/rmse,0.47652547723762156,1971,8
0.8,val_0,val,forecast/mae,0.37147921323776245,1971,8
0.8,val_1,val,forecast/mse,0.4826675355434418,1971,8
0.8,val_1,val,forecast/rmse,0.6947427837289436,1971,8
0.8,val_1,val,forecast/mae,0.5851198434829712,1971,8
0.8,val_base,val,forecast/mse,0.4484962821006775,4061,8
0.8,val_base,val,forecast/rmse,0.6696986502156604,4061,8
0.8,val_base,val,forecast/mae,0.5097375512123108,4061,8
0.9,test,test,forecast/mse,0.3616430461406708,13817,8
0.9,test,test,forecast/rmse,0.6013676464033219,13817,8
0.9,test,test,forecast/mae,0.5073337554931641,13817,8
0.9,val_0,val,forecast/mse,0.3098277151584625,1971,8
0.9,val_0,val,forecast/rmse,0.5566216984258362,1971,8
0.9,val_0,val,forecast/mae,0.4361947178840637,1971,8
0.9,val_1,val,forecast/mse,0.5710310339927673,1971,8
