merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,forecast/mse,0.6440943479537964,13817,124
0.0,test,test,forecast/rmse,0.8025548878137846,13817,124
0.0,test,test,forecast/mae,0.6163520216941833,13817,124
0.0,val_0,val,forecast/mse,0.11825286597013474,1971,124
0.0,val_0,val,forecast/rmse,0.3438791444245125,1971,124
0.0,val_0,val,forecast/mae,0.26225927472114563,1971,124
0.0,val_1,val,forecast/mse,0.4618857204914093,1971,124
0.0,val_1,val,forecast/rmse,0.6796217481006691,1971,124
0.0,val_1,val,forecast/mae,0.5325295925140381,1971,124
0.0,val_base,val,forecast/mse,0.4422145485877991,4061,124
0.0,val_base,val,forecast/rmse,0.6649921417489075,4061,124
0.0,val_base,val,forecast/mae,0.31466248631477356,4061,124
0.05,test,test,forecast/mse,0.5369618535041809,13817,124
0.05,test,test,forecast/rmse,0.7327768101572135,13817,124
0.05,test,test,forecast/mae,0.5606688857078552,13817,124
0.05,val_0,val,forecast/mse,0.10267239809036255,1971,124
0.05,val_0,val,forecast/rmse,0.32042533933876477,1971,124
0.05,val_0,val,forecast/mae,0.24375732243061066,1971,124
0.05,val_1,val,forecast/mse,0.4102783203125,1971,124
0.05,val_1,val,forecast/rmse,0.640529718524051,1971,124
0.05,val_1,val,forecast/mae,0.4989944398403168,1971,124
0.05,val_base,val,forecast/mse,0.42717060446739197,4061,124
0.05,val_base,val,forecast/rmse,0.6535828979306236,4061,124
0.05,val_base,val,forecast/mae,0.31098493933677673,4061,124
0.1,test,test,forecast/mse,0.4388885200023651,13817,124
0.1,test,test,forecast/rmse,0.6624866187345712,13817,124
0.1,test,test,forecast/mae,0.5051992535591125,13817,124
0.1,val_0,val,forecast/mse,0.09092800319194794,1971,124
0.1,val_0,val,forecast/rmse,0.3015427054198923,1971,124
0.1,val_0,val,forecast/mae,0.22864492237567902,1971,124
0.1,val_1,val,forecast/mse,0.3675210177898407,1971,124
0.1,val_1,val,forecast/rmse,0.6062351175821479,1971,124
0.1,val_1,val,forecast/mae,0.47106680274009705,1971,124
0.1,val_base,val,forecast/mse,0.4123372733592987,4061,124
0.1,val_base,val,forecast/rmse,0.6421349339191091,4061,124
0.1,val_base,val,forecast/mae,0.30843740701675415,4061,124
0.15,test,test,forecast/mse,0.3528660833835602,13817,124
0.15,test,test,forecast/rmse,0.5940253221736933,13817,124
0.15,test,test,forecast/mae,0.4523884952068329,13817,124
0.15,val_0,val,forecast/mse,0.0825839713215828,1971,124
0.15,val_0,val,forecast/rmse,0.2873742704585482,1971,124
0.15,val_0,val,forecast/mae,0.21718694269657135,1971,124
0.15,val_1,val,forecast/mse,0.33439353108406067,1971,124
0.15,val_1,val,forecast/rmse,0.5782676984615868,1971,124
0.15,val_1,val,forecast/mae,0.4502725899219513,1971,124
0.15,val_base,val,forecast/mse,0.398275762796402,4061,124
0.15,val_base,val,forecast/rmse,0.6310909306878066,4061,124
0.15,val_base,val,forecast/mae,0.3072996437549591,4061,124
0.2,test,test,forecast/mse,0.28071698546409607,13817,124
0.2,test,test,forecast/rmse,0.5298273166458068,13817,124
0.2,test,test,forecast/mae,0.404351145029068,13817,124
0.2,val_0,val,forecast/mse,0.07715371996164322,1971,124
0.2,val_0,val,forecast/rmse,0.27776558455223216,1971,124
0.2,val_0,val,forecast/mae,0.20954297482967377,1971,124
0.2,val_1,val,forecast/mse,0.3109256327152252,1971,124
0.2,val_1,val,forecast/rmse,0.5576070594201845,1971,124
0.2,val_1,val,forecast/mae,0.4367479383945465,1971,124
0.2,val_base,val,forecast/mse,0.3855474293231964,4061,124
0.2,val_base,val,forecast/rmse,0.6209246567202791,4061,124
0.2,val_base,val,forecast/mae,0.30788832902908325,4061,124
0.25,test,test,forecast/mse,0.2230665683746338,13817,124
0.25,test,test,forecast/rmse,0.47229923605129176,13817,124
0.25,test,test,forecast/mae,0.36240971088409424,13817,124
0.25,val_0,val,forecast/mse,0.07415425777435303,1971,124
0.25,val_0,val,forecast/rmse,0.27231279399681724,1971,124
0.25,val_0,val,forecast/mae,0.20532137155532837,1971,124
0.25,val_1,val,forecast/mse,0.2966150641441345,1971,124
0.25,val_1,val,forecast/rmse,0.5446237822057852,1971,124
0.25,val_1,val,forecast/mae,0.42958199977874756,1971,124
0.25,val_base,val,forecast/mse,0.37459659576416016,4061,124
0.25,val_base,val,forecast/rmse,0.6120429688871201,4061,124
0.25,val_base,val,forecast/mae,0.3101883828639984,4061,124
0.3,test,test,forecast/mse,0.17951369285583496,13817,124
0.3,test,test,forecast/rmse,0.423690562623048,13817,124
0.3,test,test,forecast/mae,0.32753700017929077,13817,124
0.3,val_0,val,forecast/mse,0.07314735651016235,1971,124
0.3,val_0,val,forecast/rmse,0.2704576797026891,1971,124
0.3,val_0,val,forecast/mae,0.20390091836452484,1971,124
0.3,val_1,val,forecast/mse,0.2905813753604889,1971,124
0.3,val_1,val,forecast/rmse,0.5390560039184138,1971,124
0.3,val_1,val,forecast/mae,0.42833736538887024,1971,124
0.3,val_base,val,forecast/mse,0.3656723201274872,4061,124
0.3,val_base,val,forecast/rmse,0.6047084587861221,4061,124
0.3,val_base,val,forecast/mae,0.3142094314098358,4061,124
0.35,test,test,forecast/mse,0.1488960087299347,13817,124
0.35,test,test,forecast/rmse,0.38587045589152674,13817,124
0.35,test,test,forecast/mae,0.3001631498336792,13817,124
0.35,val_0,val,forecast/mse,0.07379452884197235,1971,124
0.35,val_0,val,forecast/rmse,0.271651484151978,1971,124
0.35,val_0,val,forecast/mae,0.2049558162689209,1971,124
0.35,val_1,val,forecast/mse,0.29181137681007385,1971,124
0.35,val_1,val,forecast/rmse,0.5401956838128882,1971,124
0.35,val_1,val,forecast/mae,0.4327830374240875,1971,124
0.35,val_base,val,forecast/mse,0.3587508797645569,4061,124
0.35,val_base,val,forecast/rmse,0.5989581619483592,4061,124
0.35,val_base,val,forecast/mae,0.31994643807411194,4061,124
0.4,test,test,forecast/mse,0.12962958216667175,13817,124
0.4,test,test,forecast/rmse,0.36004108399830115,13817,124
0.4,test,test,forecast/mae,0.28003546595573425,13817,124
0.4,val_0,val,forecast/mse,0.07587464153766632,1971,124
0.4,val_0,val,forecast/rmse,0.2754535197409289,1971,124
0.4,val_0,val,forecast/mae,0.2082698941230774,1971,124
0.4,val_1,val,forecast/mse,0.29924577474594116,1971,124
0.4,val_1,val,forecast/rmse,0.5470336139086347,1971,124
0.4,val_1,val,forecast/mae,0.4424581527709961,1971,124
0.4,val_base,val,forecast/mse,0.3535715937614441,4061,124
0.4,val_base,val,forecast/rmse,0.5946188642832012,4061,124
0.4,val_base,val,forecast/mae,0.3273979425430298,4061,124
0.45,test,test,forecast/mse,0.11991477012634277,13817,124
0.45,test,test,forecast/rmse,0.34628712093628716,13817,124
0.45,test,test,forecast/mae,0.26658371090888977,13817,124
0.45,val_0,val,forecast/mse,0.07927757501602173,1971,124
0.45,val_0,val,forecast/rmse,0.2815627372647555,1971,124
0.45,val_0,val,forecast/mae,0.21365585923194885,1971,124
0.45,val_1,val,forecast/mse,0.3119008541107178,1971,124
0.45,val_1,val,forecast/rmse,0.5584808448914947,1971,124
0.45,val_1,val,forecast/mae,0.45653435587882996,1971,124
0.45,val_base,val,forecast/mse,0.34968969225883484,4061,124
0.45,val_base,val,forecast/rmse,0.5913456622474159,4061,124
0.45,val_base,val,forecast/mae,0.33648985624313354,4061,124
0.5,test,test,forecast/mse,0.1178840920329094,13817,124
0.5,test,test,forecast/rmse,0.34334252872737653,13817,124
0.5,test,test,forecast/mae,0.25967729091644287,13817,124
0.5,val_0,val,forecast/mse,0.08399798721075058,1971,124
0.5,val_0,val,forecast/rmse,0.2898240625116393,1971,124
0.5,val_0,val,forecast/mae,0.2208719551563263,1971,124
0.5,val_1,val,forecast/mse,0.32885634899139404,1971,124
0.5,val_1,val,forecast/rmse,0.5734599802875472,1971,124
0.5,val_1,val,forecast/mae,0.4739294648170471,1971,124
0.5,val_base,val,forecast/mse,0.34673914313316345,4061,124
0.5,val_base,val,forecast/rmse,0.5888456021175359,4061,124
0.5,val_base,val,forecast/mae,0.3471984267234802,4061,124
0.55,test,test,forecast/mse,0.12175528705120087,13817,124
0.55,test,test,forecast/rmse,0.3489345025233258,13817,124
0.55,test,test,forecast/mae,0.2597973346710205,13817,124
0.55,val_0,val,forecast/mse,0.09011989831924438,1971,124
0.55,val_0,val,forecast/rmse,0.30019976402263276,1971,124
0.55,val_0,val,forecast/mae,0.22959937155246735,1971,124
0.55,val_1,val,forecast/mse,0.34937170147895813,1971,124
0.55,val_1,val,forecast/rmse,0.5910767306187565,1971,124
0.55,val_1,val,forecast/mae,0.4936438500881195,1971,124
0.55,val_base,val,forecast/mse,0.3446718156337738,4061,124
0.55,val_base,val,forecast/rmse,0.5870875706687835,4061,124
0.55,val_base,val,forecast/mae,0.3595607876777649,4061,124
0.6,test,test,forecast/mse,0.12993167340755463,13817,124
0.6,test,test,forecast/rmse,0.36046036315738605,13817,124
0.6,test,test,forecast/mae,0.2672712504863739,13817,124
0.6,val_0,val,forecast/mse,0.09782730787992477,1971,124
0.6,val_0,val,forecast/rmse,0.3127735728605036,1971,124
0.6,val_0,val,forecast/mae,0.2397840917110443,1971,124
0.6,val_1,val,forecast/mse,0.3729867935180664,1971,124
0.6,val_1,val,forecast/rmse,0.6107264473707246,1971,124
0.6,val_1,val,forecast/mae,0.514950156211853,1971,124
0.6,val_base,val,forecast/mse,0.3440815508365631,4061,124
0.6,val_base,val,forecast/rmse,0.5865846493359361,4061,124
0.6,val_base,val,forecast/mae,0.3737770617008209,4061,124
0.65,test,test,forecast/mse,0.14108730852603912,13817,124
0.65,test,test,forecast/rmse,0.3756159055818046,13817,124
0.65,test,test,forecast/mae,0.28067901730537415,13817,124
0.65,val_0,val,forecast/mse,0.10741892457008362,1971,124
0.65,val_0,val,forecast/rmse,0.32774826402299007,1971,124
0.65,val_0,val,forecast/mae,0.25155356526374817,1971,124
0.65,val_1,val,forecast/mse,0.39949628710746765,1971,124
0.65,val_1,val,forecast/rmse,0.6320571865800338,1971,124
0.65,val_1,val,forecast/mae,0.5374727249145508,1971,124
0.65,val_base,val,forecast/mse,0.34604841470718384,4061,124
0.65,val_base,val,forecast/rmse,0.5882587990903186,4061,124
0.65,val_base,val,forecast/mae,0.3900977373123169,4061,124
0.7,test,test,forecast/mse,0.15423980355262756,13817,124
0.7,test,test,forecast/rmse,0.3927337565738748,13817,124
0.7,test,test,forecast/mae,0.29764097929000854,13817,124
0.7,val_0,val,forecast/mse,0.11933864653110504,1971,124
0.7,val_0,val,forecast/rmse,0.3454542611274393,1971,124
0.7,val_0,val,forecast/mae,0.26529625058174133,1971,124
0.7,val_1,val,forecast/mse,0.42893528938293457,1971,124
0.7,val_1,val,forecast/rmse,0.6549315150326289,1971,124
0.7,val_1,val,forecast/mae,0.5609571933746338,1971,124
0.7,val_base,val,forecast/mse,0.3518931269645691,4061,124
0.7,val_base,val,forecast/rmse,0.5932058048979031,4061,124
0.7,val_base,val,forecast/mae,0.40894249081611633,4061,124
0.75,test,test,forecast/mse,0.16878873109817505,13817,124
0.75,test,test,forecast/rmse,0.41083905741564425,13817,124
0.75,test,test,forecast/mae,0.3161337971687317,13817,124
0.75,val_0,val,forecast/mse,0.1342018097639084,1971,124
0.75,val_0,val,forecast/rmse,0.36633565177840444,1971,124
0.75,val_0,val,forecast/mae,0.2816412150859833,1971,124
0.75,val_1,val,forecast/mse,0.46139201521873474,1971,124
0.75,val_1,val,forecast/rmse,0.6792584303626528,1971,124
0.75,val_1,val,forecast/mae,0.5851244926452637,1971,124
0.75,val_base,val,forecast/mse,0.36316803097724915,4061,124
0.75,val_base,val,forecast/rmse,0.6026342431170412,4061,124
0.75,val_base,val,forecast/mae,0.43066632747650146,4061,124
0.8,test,test,forecast/mse,0.18452191352844238,13817,124
0.8,test,test,forecast/rmse,0.4295601395944954,13817,124
0.8,test,test,forecast/mae,0.3350275456905365,13817,124
0.8,val_0,val,forecast/mse,0.15282073616981506,1971,124
0.8,val_0,val,forecast/rmse,0.39092292868264333,1971,124
0.8,val_0,val,forecast/mae,0.30152279138565063,1971,124
0.8,val_1,val,forecast/mse,0.4971437454223633,1971,124
0.8,val_1,val,forecast/rmse,0.7050842115821083,1971,124
0.8,val_1,val,forecast/mae,0.6098196506500244,1971,124
0.8,val_base,val,forecast/mse,0.3815428912639618,4061,124
0.8,val_base,val,forecast/rmse,0.6176915826397198,4061,124
0.8,val_base,val,forecast/mae,0.45580849051475525,4061,124
0.85,test,test,forecast/mse,0.20156343281269073,13817,124
0.85,test,test,forecast/rmse,0.44895816376661507,13817,124
0.85,test,test,forecast/mae,0.35420724749565125,13817,124
0.85,val_0,val,forecast/mse,0.17621563374996185,1971,124
0.85,val_0,val,forecast/rmse,0.41978045899012717,1971,124
0.85,val_0,val,forecast/mae,0.32619956135749817,1971,124
0.85,val_1,val,forecast/mse,0.5367220640182495,1971,124
0.85,val_1,val,forecast/rmse,0.7326131748871634,1971,124
0.85,val_1,val,forecast/mae,0.6350665092468262,1971,124
0.85,val_base,val,forecast/mse,0.40874359011650085,4061,124
0.85,val_base,val,forecast/rmse,0.6393305796819834,4061,124
0.85,val_base,val,forecast/mae,0.4850330650806427,4061,124
0.9,test,test,forecast/mse,0.2203296571969986,13817,124
0.9,test,test,forecast/rmse,0.4693928601896269,13817,124
0.9,test,test,forecast/mae,0.374087929725647,13817,124
0.9,val_0,val,forecast/mse,0.20564517378807068,1971,124
0.9,val_0,val,forecast/rmse,0.4534811724736438,1971,124
0.9,val_0,val,forecast/mae,0.3568994700908661,1971,124
0.9,val_1,val,forecast/mse,0.5809078812599182,1971,124
0.9,val_1,val,forecast/rmse,0.7621731307648665,1971,124
0.9,val_1,val,forecast/mae,0.6611019968986511,1971,124
0.9,val_base,val,forecast/mse,0.44665512442588806,4061,124
0.9,val_base,val,forecast/rmse,0.6683226200166265,4061,124
0.9,val_base,val,forecast/mae,0.5192042589187622,4061,124
0.95,test,test,forecast/mse,0.2415122389793396,13817,124
0.95,test,test,forecast/rmse,0.49143894735698307,13817,124
0.95,test,test,forecast/mae,0.3953550457954407,13817,124
0.95,val_0,val,forecast/mse,0.24263381958007812,1971,124
0.95,val_0,val,forecast/rmse,0.49257874454758815,1971,124
0.95,val_0,val,forecast/mae,0.39427775144577026,1971,124
0.95,val_1,val,forecast/mse,0.6307165622711182,1971,124
0.95,val_1,val,forecast/rmse,0.7941766568409816,1971,124
0.95,val_1,val,forecast/mae,0.6882125735282898,1971,124
0.95,val_base,val,forecast/mse,0.497406005859375,4061,124
0.95,val_base,val,forecast/rmse,0.7052701651561443,4061,124
0.95,val_base,val,forecast/mae,0.5592458248138428,4061,124
1.0,test,test,forecast/mse,0.2660122513771057,13817,124
1.0,test,test,forecast/rmse,0.5157637553930149,13817,124
1.0,test,test,forecast/mae,0.4187980890274048,13817,124
1.0,val_0,val,forecast/mse,0.2889854907989502,1971,124
1.0,val_0,val,forecast/rmse,0.5375737073173782,1971,124
1.0,val_0,val,forecast/mae,0.43882572650909424,1971,124
1.0,val_1,val,forecast/mse,0.6875374913215637,1971,124
1.0,val_1,val,forecast/rmse,0.8291788053981866,1971,124
1.0,val_1,val,forecast/mae,0.716775119304657,1971,124
1.0,val_base,val,forecast/mse,0.5633413791656494,4061,124
1.0,val_base,val,forecast/rmse,0.7505607098467448,4061,124
1.0,val_base,val,forecast/mae,0.6058890223503113,4061,124
1.05,test,test,forecast/mse,0.2949999272823334,13817,124
1.05,test,test,forecast/rmse,0.5431389576179685,13817,124
1.05,test,test,forecast/mae,0.44527003169059753,13817,124
