model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,forecast/mae,0.3104012608528137,1.0,4061,8
ft_0,val_base,val,forecast/mae,0.38395991921424866,1.2369792511774462,4061,8
ft_1,val_base,val,forecast/mae,0.3415302336215973,1.100286231709427,4061,8
ft_2,val_base,val,forecast/mae,0.4869729280471802,1.5688497099181995,4061,8
merged,val_base,val,forecast/mae,0.32636725902557373,1.0514366408464133,4061,8
base,val_base,val,forecast/mse,0.42736923694610596,1.0,4061,8
ft_0,val_base,val,forecast/mse,0.3490056097507477,0.8166371829771163,4061,8
ft_1,val_base,val,forecast/mse,0.4464075565338135,1.044547707092236,4061,8
ft_2,val_base,val,forecast/mse,0.5685158371925354,1.3302685079886294,4061,8
merged,val_base,val,forecast/mse,0.3621010184288025,0.8472790905969345,4061,8
base,val_base,val,forecast/rmse,0.6537348368766238,1.0,4061,8
ft_0,val_base,val,forecast/rmse,0.5907669673828655,0.9036798011337402,4061,8
ft_1,val_base,val,forecast/rmse,0.6681373784887458,1.022031167378097,4061,8
ft_2,val_base,val,forecast/rmse,0.7539998920374826,1.1533726665690625,4061,8
merged,val_base,val,forecast/rmse,0.6017483015587186,0.9204776426382852,4061,8
base,val_0,val,forecast/mae,0.44664138555526733,1.0,1274,8
ft_0,val_0,val,forecast/mae,0.19201426208019257,0.42990700882203126,1274,8
ft_1,val_0,val,forecast/mae,0.17498400807380676,0.39177741636338864,1274,8
ft_2,val_0,val,forecast/mae,0.31170788407325745,0.6978929722012668,1274,8
merged,val_0,val,forecast/mae,0.22250604629516602,0.49817606135746945,1274,8
base,val_0,val,forecast/mse,0.368248850107193,1.0,1274,8
ft_0,val_0,val,forecast/mse,0.0742102712392807,0.20152207187525215,1274,8
ft_1,val_0,val,forecast/mse,0.06258037686347961,0.16994045424789023,1274,8
ft_2,val_0,val,forecast/mse,0.15687307715415955,0.42599746641027014,1274,8
merged,val_0,val,forecast/mse,0.08907817304134369,0.2418966767049349,1274,8
base,val_0,val,forecast/rmse,0.6068351094879012,1.0,1274,8
ft_0,val_0,val,forecast/rmse,0.27241562223793386,0.448912098160934,1274,8
ft_1,val_0,val,forecast/rmse,0.25016070207664437,0.4122383464064087,1274,8
ft_2,val_0,val,forecast/rmse,0.3960720605573682,0.6526848139877854,1274,8
merged,val_0,val,forecast/rmse,0.2984596673611758,0.4918299266056661,1274,8
base,val_1,val,forecast/mae,0.6760104298591614,1.0,1274,8
ft_0,val_1,val,forecast/mae,0.5288637280464172,0.7823307225549754,1274,8
ft_1,val_1,val,forecast/mae,0.1962728053331375,0.29033990699526424,1274,8
ft_2,val_1,val,forecast/mae,0.1803741604089737,0.2668215643456159,1274,8
merged,val_1,val,forecast/mae,0.24808384478092194,0.3669822739755764,1274,8
base,val_1,val,forecast/mse,0.7122540473937988,1.0,1274,8
ft_0,val_1,val,forecast/mse,0.4246387779712677,0.5961900525873582,1274,8
ft_1,val_1,val,forecast/mse,0.08333894610404968,0.11700733243846677,1274,8
ft_2,val_1,val,forecast/mse,0.07217070460319519,0.1013271947941528,1274,8
merged,val_1,val,forecast/mse,0.11580275744199753,0.1625863101315186,1274,8
base,val_1,val,forecast/rmse,0.8439514484813678,1.0,1274,8
ft_0,val_1,val,forecast/rmse,0.6516431369785672,0.7721334422153714,1274,8
ft_1,val_1,val,forecast/rmse,0.28868485603517496,0.34206334565174734,1274,8
ft_2,val_1,val,forecast/rmse,0.2686460582312631,0.3183193283389383,1274,8
