model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,forecast/mae,0.31040123105049133,1.0,4061,8
ft_0,val_base,val,forecast/mae,0.38395997881889343,1.236979561967126,4061,8
ft_1,val_base,val,forecast/mae,0.34153029322624207,1.1002865293749016,4061,8
ft_2,val_base,val,forecast/mae,0.48697298765182495,1.5688500525715106,4061,8
merged,val_base,val,forecast/mae,0.3263672888278961,1.0514368378094727,4061,8
base,val_base,val,forecast/mse,0.42736923694610596,1.0,4061,8
ft_0,val_base,val,forecast/mse,0.34900563955307007,0.8166372527114814,4061,8
ft_1,val_base,val,forecast/mse,0.44640758633613586,1.044547776826601,4061,8
ft_2,val_base,val,forecast/mse,0.5685158967971802,1.3302686474573595,4061,8
merged,val_base,val,forecast/mse,0.3621010482311249,0.8472791603312996,4061,8
base,val_base,val,forecast/rmse,0.6537348368766238,1.0,4061,8
ft_0,val_base,val,forecast/rmse,0.5907669926062813,0.9036798397172979,4061,8
ft_1,val_base,val,forecast/rmse,0.6681374007912863,1.0220312014936732,4061,8
ft_2,val_base,val,forecast/rmse,0.7539999315631137,1.1533727270303211,4061,8
merged,val_base,val,forecast/rmse,0.6017483263218311,0.9204776805177297,4061,8
base,val_0,val,forecast/mae,0.44664138555526733,1.0,1274,8
ft_0,val_0,val,forecast/mae,0.19201426208019257,0.42990700882203126,1274,8
ft_1,val_0,val,forecast/mae,0.17498402297496796,0.3917774497260856,1274,8
ft_2,val_0,val,forecast/mae,0.311708003282547,0.6978932391028424,1274,8
merged,val_0,val,forecast/mae,0.22250604629516602,0.49817606135746945,1274,8
base,val_0,val,forecast/mse,0.3682488799095154,1.0,1274,8
ft_0,val_0,val,forecast/mse,0.0742102712392807,0.20152205556610342,1274,8
ft_1,val_0,val,forecast/mse,0.06258036941289902,0.16994042026217707,1274,8
ft_2,val_0,val,forecast/mse,0.15687315165996552,0.42599763425896026,1274,8
merged,val_0,val,forecast/mse,0.08907818794250488,0.24189669759319515,1274,8
base,val_0,val,forecast/rmse,0.6068351340434364,1.0,1274,8
ft_0,val_0,val,forecast/rmse,0.27241562223793386,0.4489120799957419,1274,8
ft_1,val_0,val,forecast/rmse,0.25016068718505513,0.41223830518545584,1274,8
ft_2,val_0,val,forecast/rmse,0.3960721546132289,0.6526849425710388,1274,8
merged,val_0,val,forecast/rmse,0.2984596923246167,0.49182994784091294,1274,8
base,val_1,val,forecast/mae,0.6760105490684509,1.0,1274,8
ft_0,val_1,val,forecast/mae,0.5288637280464172,0.7823305845969365,1274,8
ft_1,val_1,val,forecast/mae,0.1962728053331375,0.29033985579604243,1274,8
ft_2,val_1,val,forecast/mae,0.1803741604089737,0.2668215172936739,1274,8
merged,val_1,val,forecast/mae,0.24808387458324432,0.3669822533466472,1274,8
base,val_1,val,forecast/mse,0.7122541666030884,1.0,1274,8
ft_0,val_1,val,forecast/mse,0.42463886737823486,0.5961900783303801,1274,8
ft_1,val_1,val,forecast/mse,0.08333895355463028,0.11700732331562737,1274,8
ft_2,val_1,val,forecast/mse,0.07217070460319519,0.10132717783511841,1274,8
merged,val_1,val,forecast/mse,0.11580277979373932,0.16258631430129875,1274,8
base,val_1,val,forecast/rmse,0.8439515191070447,1.0,1274,8
ft_0,val_1,val,forecast/rmse,0.6516432055797367,0.7721334588854314,1274,8
ft_1,val_1,val,forecast/rmse,0.2886848689395242,0.34206333231673247,1274,8
ft_2,val_1,val,forecast/rmse,0.2686460582312631,0.31831930170053846,1274,8
merged,val_1,val,forecast/rmse,0.340298074919238,0.4032199329166389,1274,8
base,val_2,val,forecast/mae,0.6515341401100159,1.0,1274,8
ft_0,val_2,val,forecast/mae,1.0955358743667603,1.6814711723038362,1274,8
ft_1,val_2,val,forecast/mae,0.4513666033744812,0.6927750605643856,1274,8
ft_2,val_2,val,forecast/mae,0.24373440444469452,0.3740930665636928,1274,8
merged,val_2,val,forecast/mae,0.3569502532482147,0.5478611653227279,1274,8
base,val_2,val,forecast/mse,0.6253019571304321,1.0,1274,8
ft_0,val_2,val,forecast/mse,1.5666322708129883,2.5054011952919626,1274,8
ft_1,val_2,val,forecast/mse,0.32135775685310364,0.5139241180818365,1274,8
ft_2,val_2,val,forecast/mse,0.110567107796669,0.17682194423966235,1274,8
merged,val_2,val,forecast/mse,0.20625241100788116,0.32984449937497773,1274,8
base,val_2,val,forecast/rmse,0.7907603664388043,1.0,1274,8
ft_0,val_2,val,forecast/rmse,1.251651816925533,1.5828459164719613,1274,8
ft_1,val_2,val,forecast/rmse,0.5668842534884028,0.716885010362078,1274,8
