merge_scale,split,metric,value
0.0,test,forecast/mse,0.6308784484863281
0.0,test,forecast/rmse,0.7942785710859435
0.0,test,forecast/mae,0.5940061807632446
0.05,test,forecast/mse,0.39518022537231445
0.05,test,forecast/rmse,0.6286336177554573
0.05,test,forecast/mae,0.46911799907684326
0.1,test,forecast/mse,0.22225165367126465
0.1,test,forecast/rmse,0.47143573652329823
0.1,test,forecast/mae,0.35815560817718506
0.15,test,forecast/mse,0.13174882531166077
0.15,test,forecast/rmse,0.3629722101093426
0.15,test,forecast/mae,0.2867078483104706
0.2,test,forecast/mse,0.11133002489805222
0.2,test,forecast/rmse,0.3336615424319264
0.2,test,forecast/mae,0.26607415080070496
0.25,test,forecast/mse,0.13141103088855743
0.25,test,forecast/rmse,0.3625065942690663
0.25,test,forecast/mae,0.28528162837028503
0.3,test,forecast/mse,0.16929861903190613
0.3,test,forecast/rmse,0.4114591340970645
0.3,test,forecast/mae,0.3240784704685211
0.35,test,forecast/mse,0.21340860426425934
0.35,test,forecast/rmse,0.4619616913384262
0.35,test,forecast/mae,0.3679191768169403
0.4,test,forecast/mse,0.25816044211387634
0.4,test,forecast/rmse,0.5080949144735424
0.4,test,forecast/mae,0.4101478159427643
0.45,test,forecast/mse,0.2993018329143524
0.45,test,forecast/rmse,0.5470848498307666
0.45,test,forecast/mae,0.446349561214447
0.5,test,forecast/mse,0.33284249901771545
0.5,test,forecast/rmse,0.5769250376068935
0.5,test,forecast/mae,0.4736258089542389
0.55,test,forecast/mse,0.35570862889289856
0.55,test,forecast/rmse,0.5964131360834523
0.55,test,forecast/mae,0.48987725377082825
0.6,test,forecast/mse,0.3680901527404785
0.6,test,forecast/rmse,0.6067043371696617
0.6,test,forecast/mae,0.4954091012477875
0.65,test,forecast/mse,0.3789634704589844
0.65,test,forecast/rmse,0.6156000897165175
0.65,test,forecast/mae,0.49676644802093506
0.7,test,forecast/mse,0.4035671353340149
0.7,test,forecast/rmse,0.6352693407791807
0.7,test,forecast/mae,0.5030437111854553
0.75,test,forecast/mse,0.44648289680480957
0.75,test,forecast/rmse,0.6681937569334284
0.75,test,forecast/mae,0.5197153091430664
