merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,forecast/mse,0.720401406288147,1470,8
0.0,test,test,forecast/rmse,0.8487646353896626,1470,8
0.0,test,test,forecast/mae,0.7017748355865479,1470,8
0.0,val_0,val,forecast/mse,0.20498473942279816,206,8
0.0,val_0,val,forecast/rmse,0.4527524041049348,206,8
0.0,val_0,val,forecast/mae,0.39138129353523254,206,8
0.0,val_1,val,forecast/mse,0.19297224283218384,206,8
0.0,val_1,val,forecast/rmse,0.4392860603663447,206,8
0.0,val_1,val,forecast/mae,0.35116860270500183,206,8
0.0,val_2,val,forecast/mse,1.439769983291626,206,8
0.0,val_2,val,forecast/rmse,1.1999041558773043,206,8
0.0,val_2,val,forecast/mae,1.0985796451568604,206,8
0.0,val_base,val,forecast/mse,0.1415184736251831,711,8
0.0,val_base,val,forecast/rmse,0.3761894118993557,711,8
0.0,val_base,val,forecast/mae,0.31549081206321716,711,8
0.1,test,test,forecast/mse,0.5780461430549622,1470,8
0.1,test,test,forecast/rmse,0.7602934585112265,1470,8
0.1,test,test,forecast/mae,0.6290255784988403,1470,8
0.1,val_0,val,forecast/mse,0.1461614966392517,206,8
0.1,val_0,val,forecast/rmse,0.382310733094497,206,8
0.1,val_0,val,forecast/mae,0.33175307512283325,206,8
0.1,val_1,val,forecast/mse,0.14308737218379974,206,8
0.1,val_1,val,forecast/rmse,0.3782689151698825,206,8
0.1,val_1,val,forecast/mae,0.3019399344921112,206,8
0.1,val_2,val,forecast/mse,1.1078015565872192,206,8
0.1,val_2,val,forecast/rmse,1.0525215230992757,206,8
0.1,val_2,val,forecast/mae,0.9691949486732483,206,8
0.1,val_base,val,forecast/mse,0.12632045149803162,711,8
0.1,val_base,val,forecast/rmse,0.3554158852640546,711,8
0.1,val_base,val,forecast/mae,0.29767242074012756,711,8
0.2,test,test,forecast/mse,0.4568506181240082,1470,8
0.2,test,test,forecast/rmse,0.6759072555639628,1470,8
0.2,test,test,forecast/mae,0.5639315247535706,1470,8
0.2,val_0,val,forecast/mse,0.09835195541381836,206,8
0.2,val_0,val,forecast/rmse,0.3136111532038017,206,8
0.2,val_0,val,forecast/mae,0.27195993065834045,206,8
0.2,val_1,val,forecast/mse,0.10955425351858139,206,8
0.2,val_1,val,forecast/rmse,0.3309898087835657,206,8
0.2,val_1,val,forecast/mae,0.2639480233192444,206,8
0.2,val_2,val,forecast/mse,0.8204349875450134,206,8
0.2,val_2,val,forecast/rmse,0.9057786636618316,206,8
0.2,val_2,val,forecast/mae,0.8388022184371948,206,8
0.2,val_base,val,forecast/mse,0.11821287125349045,711,8
0.2,val_base,val,forecast/rmse,0.3438209872208072,711,8
0.2,val_base,val,forecast/mae,0.2898218035697937,711,8
0.3,test,test,forecast/mse,0.3674667775630951,1470,8
0.3,test,test,forecast/rmse,0.6061903806256703,1470,8
0.3,test,test,forecast/mae,0.5175299644470215,1470,8
0.3,val_0,val,forecast/mse,0.06421007215976715,206,8
0.3,val_0,val,forecast/rmse,0.25339706422878533,206,8
0.3,val_0,val,forecast/mae,0.21494972705841064,206,8
0.3,val_1,val,forecast/mse,0.09290996193885803,206,8
0.3,val_1,val,forecast/rmse,0.304811354675081,206,8
0.3,val_1,val,forecast/mae,0.25060516595840454,206,8
0.3,val_2,val,forecast/mse,0.5929261445999146,206,8
0.3,val_2,val,forecast/rmse,0.7700169768257805,206,8
0.3,val_2,val,forecast/mae,0.7155023813247681,206,8
0.3,val_base,val,forecast/mse,0.116452656686306,711,8
0.3,val_base,val,forecast/rmse,0.34125160319961284,711,8
0.3,val_base,val,forecast/mae,0.2914871871471405,711,8
0.4,test,test,forecast/mse,0.3162263333797455,1470,8
0.4,test,test,forecast/rmse,0.5623400513743846,1470,8
0.4,test,test,forecast/mae,0.487204372882843,1470,8
0.4,val_0,val,forecast/mse,0.044626668095588684,206,8
0.4,val_0,val,forecast/rmse,0.21125024993023958,206,8
0.4,val_0,val,forecast/mae,0.17155839502811432,206,8
0.4,val_1,val,forecast/mse,0.09197407215833664,206,8
0.4,val_1,val,forecast/rmse,0.3032722739690139,206,8
0.4,val_1,val,forecast/mae,0.2531084418296814,206,8
0.4,val_2,val,forecast/mse,0.4271213710308075,206,8
0.4,val_2,val,forecast/rmse,0.6535452325821125,206,8
0.4,val_2,val,forecast/mae,0.6062995791435242,206,8
0.4,val_base,val,forecast/mse,0.12030738592147827,711,8
0.4,val_base,val,forecast/rmse,0.3468535511155656,711,8
0.4,val_base,val,forecast/mae,0.29885903000831604,711,8
0.5,test,test,forecast/mse,0.30347394943237305,1470,8
0.5,test,test,forecast/rmse,0.5508846970395648,1470,8
0.5,test,test,forecast/mae,0.47129663825035095,1470,8
0.5,val_0,val,forecast/mse,0.03852003067731857,206,8
0.5,val_0,val,forecast/rmse,0.19626520495828742,206,8
0.5,val_0,val,forecast/mae,0.15529121458530426,206,8
0.5,val_1,val,forecast/mse,0.10377581417560577,206,8
0.5,val_1,val,forecast/rmse,0.32214253704781953,206,8
0.5,val_1,val,forecast/mae,0.2680523991584778,206,8
0.5,val_2,val,forecast/mse,0.3143293559551239,206,8
0.5,val_2,val,forecast/rmse,0.5606508324751903,206,8
0.5,val_2,val,forecast/mae,0.51519775390625,206,8
0.5,val_base,val,forecast/mse,0.1291680485010147,711,8
0.5,val_base,val,forecast/rmse,0.3593995666399929,711,8
0.5,val_base,val,forecast/mae,0.31056496500968933,711,8
0.6,test,test,forecast/mse,0.3240160644054413,1470,8
0.6,test,test,forecast/rmse,0.5692240897971916,1470,8
0.6,test,test,forecast/mae,0.4714929461479187,1470,8
0.6,val_0,val,forecast/mse,0.0437932051718235,206,8
0.6,val_0,val,forecast/rmse,0.20926826126248457,206,8
0.6,val_0,val,forecast/mae,0.16830642521381378,206,8
0.6,val_1,val,forecast/mse,0.12475620210170746,206,8
0.6,val_1,val,forecast/rmse,0.3532084400204891,206,8
0.6,val_1,val,forecast/mae,0.2955247461795807,206,8
0.6,val_2,val,forecast/mse,0.24084345996379852,206,8
0.6,val_2,val,forecast/rmse,0.49075804625476954,206,8
0.6,val_2,val,forecast/mae,0.4441147446632385,206,8
0.6,val_base,val,forecast/mse,0.14248788356781006,711,8
0.6,val_base,val,forecast/rmse,0.3774756728158916,711,8
0.6,val_base,val,forecast/mae,0.3265197277069092,711,8
0.7,test,test,forecast/mse,0.36957308650016785,1470,8
0.7,test,test,forecast/rmse,0.6079252310113209,1470,8
0.7,test,test,forecast/mae,0.486579567193985,1470,8
0.7,val_0,val,forecast/mse,0.05807265639305115,206,8
0.7,val_0,val,forecast/rmse,0.24098268899041514,206,8
0.7,val_0,val,forecast/mae,0.20002420246601105,206,8
0.7,val_1,val,forecast/mse,0.15178687870502472,206,8
0.7,val_1,val,forecast/rmse,0.38959835562412826,206,8
0.7,val_1,val,forecast/mae,0.32572412490844727,206,8
0.7,val_2,val,forecast/mse,0.19361428916454315,206,8
0.7,val_2,val,forecast/rmse,0.44001623738737544,206,8
0.7,val_2,val,forecast/mae,0.3906421661376953,206,8
0.7,val_base,val,forecast/mse,0.15974393486976624,711,8
0.7,val_base,val,forecast/rmse,0.3996797904194885,711,8
0.7,val_base,val,forecast/mae,0.345851868391037,711,8
0.8,test,test,forecast/mse,0.4320662319660187,1470,8
0.8,test,test,forecast/rmse,0.6573174514388148,1470,8
0.8,test,test,forecast/mae,0.5122382640838623,1470,8
0.8,val_0,val,forecast/mse,0.07912584394216537,206,8
0.8,val_0,val,forecast/rmse,0.28129316369610796,206,8
0.8,val_0,val,forecast/mae,0.2358216941356659,206,8
0.8,val_1,val,forecast/mse,0.18266938626766205,206,8
0.8,val_1,val,forecast/rmse,0.4273983929165645,206,8
0.8,val_1,val,forecast/mae,0.3548627197742462,206,8
0.8,val_2,val,forecast/mse,0.1628187596797943,206,8
0.8,val_2,val,forecast/rmse,0.40350806643708415,206,8
0.8,val_2,val,forecast/mae,0.3509369492530823,206,8
0.8,val_base,val,forecast/mse,0.1804642677307129,711,8
0.8,val_base,val,forecast/rmse,0.4248108611261168,711,8
0.8,val_base,val,forecast/mae,0.3674578070640564,711,8
0.9,test,test,forecast/mse,0.504658579826355,1470,8
0.9,test,test,forecast/rmse,0.7103932571656033,1470,8
0.9,test,test,forecast/mae,0.544563353061676,1470,8
0.9,val_0,val,forecast/mse,0.10526738315820694,206,8
0.9,val_0,val,forecast/rmse,0.3244493537645081,206,8
0.9,val_0,val,forecast/mae,0.2706034779548645,206,8
0.9,val_1,val,forecast/mse,0.21601171791553497,206,8
0.9,val_1,val,forecast/rmse,0.46477060784384266,206,8
0.9,val_1,val,forecast/mae,0.38186901807785034,206,8
0.9,val_2,val,forecast/mse,0.14244793355464935,206,8
