merge_scale,column,block,metric,value,n_windows,eval_seed
0.0,test,test,forecast/mse,0.7006294131278992,1470,124
0.0,test,test,forecast/rmse,0.8370360883067702,1470,124
0.0,test,test,forecast/mae,0.6742931604385376,1470,124
0.0,val_0,val,forecast/mse,0.1745801717042923,206,124
0.0,val_0,val,forecast/rmse,0.4178279211640748,206,124
0.0,val_0,val,forecast/mae,0.373081237077713,206,124
0.0,val_1,val,forecast/mse,0.16464243829250336,206,124
0.0,val_1,val,forecast/rmse,0.40576155349232307,206,124
0.0,val_1,val,forecast/mae,0.32305964827537537,206,124
0.0,val_2,val,forecast/mse,1.4468339681625366,206,124
0.0,val_2,val,forecast/rmse,1.2028441163187094,206,124
0.0,val_2,val,forecast/mae,1.0863521099090576,206,124
0.0,val_base,val,forecast/mse,0.14126378297805786,711,124
0.0,val_base,val,forecast/rmse,0.37585074561327914,711,124
0.0,val_base,val,forecast/mae,0.3068266212940216,711,124
0.1,test,test,forecast/mse,0.5412552356719971,1470,124
0.1,test,test,forecast/rmse,0.7357005067770425,1470,124
0.1,test,test,forecast/mae,0.5976248383522034,1470,124
0.1,val_0,val,forecast/mse,0.11665759235620499,206,124
0.1,val_0,val,forecast/rmse,0.34155174184331866,206,124
0.1,val_0,val,forecast/mae,0.2991270422935486,206,124
0.1,val_1,val,forecast/mse,0.10951821506023407,206,124
0.1,val_1,val,forecast/rmse,0.3309353638707022,206,124
0.1,val_1,val,forecast/mae,0.2623993754386902,206,124
0.1,val_2,val,forecast/mse,1.0854603052139282,206,124
0.1,val_2,val,forecast/rmse,1.0418542629436847,206,124
0.1,val_2,val,forecast/mae,0.9492008686065674,206,124
0.1,val_base,val,forecast/mse,0.12197677046060562,711,124
0.1,val_base,val,forecast/rmse,0.349251729359506,711,124
0.1,val_base,val,forecast/mae,0.2813653349876404,711,124
0.2,test,test,forecast/mse,0.4218323230743408,1470,124
0.2,test,test,forecast/rmse,0.6494861992947508,1470,124
0.2,test,test,forecast/mae,0.5349327921867371,1470,124
0.2,val_0,val,forecast/mse,0.07470490038394928,206,124
0.2,val_0,val,forecast/rmse,0.2733219720109404,206,124
0.2,val_0,val,forecast/mae,0.22988083958625793,206,124
0.2,val_1,val,forecast/mse,0.07894158363342285,206,124
0.2,val_1,val,forecast/rmse,0.28096544918089633,206,124
0.2,val_1,val,forecast/mae,0.22076183557510376,206,124
0.2,val_2,val,forecast/mse,0.7912114262580872,206,124
0.2,val_2,val,forecast/rmse,0.8895006611903598,206,124
0.2,val_2,val,forecast/mae,0.815250813961029,206,124
0.2,val_base,val,forecast/mse,0.11169883608818054,711,124
0.2,val_base,val,forecast/rmse,0.33421375807734266,711,124
0.2,val_base,val,forecast/mae,0.27171751856803894,711,124
0.3,test,test,forecast/mse,0.35248473286628723,1470,124
0.3,test,test,forecast/rmse,0.5937042469666923,1470,124
0.3,test,test,forecast/mae,0.5027440190315247,1470,124
0.3,val_0,val,forecast/mse,0.047218043357133865,206,124
0.3,val_0,val,forecast/rmse,0.21729713149771182,206,124
0.3,val_0,val,forecast/mae,0.17291010916233063,206,124
0.3,val_1,val,forecast/mse,0.07412587851285934,206,124
0.3,val_1,val,forecast/rmse,0.2722606811731348,206,124
0.3,val_1,val,forecast/mae,0.21385128796100616,206,124
0.3,val_2,val,forecast/mse,0.5694103837013245,206,124
0.3,val_2,val,forecast/rmse,0.7545928595615814,206,124
0.3,val_2,val,forecast/mae,0.6932734251022339,206,124
0.3,val_base,val,forecast/mse,0.10815434157848358,711,124
0.3,val_base,val,forecast/rmse,0.32886827390078777,711,124
0.3,val_base,val,forecast/mae,0.2716256082057953,711,124
0.4,test,test,forecast/mse,0.3336702883243561,1470,124
0.4,test,test,forecast/rmse,0.5776420070635064,1470,124
0.4,test,test,forecast/mae,0.49410662055015564,1470,124
0.4,val_0,val,forecast/mse,0.032137952744960785,206,124
0.4,val_0,val,forecast/rmse,0.17927061316613158,206,124
0.4,val_0,val,forecast/mae,0.14370164275169373,206,124
0.4,val_1,val,forecast/mse,0.09283741563558578,206,124
0.4,val_1,val,forecast/rmse,0.30469232946627617,206,124
0.4,val_1,val,forecast/mae,0.25073763728141785,206,124
0.4,val_2,val,forecast/mse,0.41601771116256714,206,124
0.4,val_2,val,forecast/rmse,0.6449943497136755,206,124
0.4,val_2,val,forecast/mae,0.5922781229019165,206,124
0.4,val_base,val,forecast/mse,0.10980117321014404,711,124
0.4,val_base,val,forecast/rmse,0.33136260080181656,711,124
0.4,val_base,val,forecast/mae,0.27669447660446167,711,124
0.5,test,test,forecast/mse,0.3561879098415375,1470,124
0.5,test,test,forecast/rmse,0.5968148036380612,1470,124
0.5,test,test,forecast/mae,0.5013071894645691,1470,124
0.5,val_0,val,forecast/mse,0.026962298899888992,206,124
0.5,val_0,val,forecast/rmse,0.16420200638204452,206,124
0.5,val_0,val,forecast/mae,0.13565132021903992,206,124
0.5,val_1,val,forecast/mse,0.1300159990787506,206,124
0.5,val_1,val,forecast/rmse,0.3605773135941176,206,124
0.5,val_1,val,forecast/mae,0.307279497385025,206,124
0.5,val_2,val,forecast/mse,0.3151957094669342,206,124
0.5,val_2,val,forecast/rmse,0.561422932793927,206,124
0.5,val_2,val,forecast/mae,0.5118432641029358,206,124
0.5,val_base,val,forecast/mse,0.1155354455113411,711,124
0.5,val_base,val,forecast/rmse,0.33990505367137613,711,124
0.5,val_base,val,forecast/mae,0.285476952791214,711,124
0.6,test,test,forecast/mse,0.40741899609565735,1470,124
0.6,test,test,forecast/rmse,0.6382938164322582,1470,124
0.6,test,test,forecast/mae,0.5218667984008789,1470,124
0.6,val_0,val,forecast/mse,0.0301449503749609,206,124
0.6,val_0,val,forecast/rmse,0.17362301222752963,206,124
0.6,val_0,val,forecast/mae,0.1448657065629959,206,124
0.6,val_1,val,forecast/mse,0.17856858670711517,206,124
0.6,val_1,val,forecast/rmse,0.4225737648116778,206,124
0.6,val_1,val,forecast/mae,0.3677958846092224,206,124
0.6,val_2,val,forecast/mse,0.2486005574464798,206,124
0.6,val_2,val,forecast/rmse,0.49859859350631924,206,124
0.6,val_2,val,forecast/mae,0.4486372470855713,206,124
0.6,val_base,val,forecast/mse,0.12444364279508591,711,124
0.6,val_base,val,forecast/rmse,0.35276570524228384,711,124
0.6,val_base,val,forecast/mae,0.29696083068847656,711,124
0.7,test,test,forecast/mse,0.4775369465351105,1470,124
0.7,test,test,forecast/rmse,0.691040481111715,1470,124
0.7,test,test,forecast/mae,0.5530333518981934,1470,124
0.7,val_0,val,forecast/mse,0.040538981556892395,206,124
0.7,val_0,val,forecast/rmse,0.20134294513812098,206,124
0.7,val_0,val,forecast/mae,0.16936756670475006,206,124
0.7,val_1,val,forecast/mse,0.23254507780075073,206,124
0.7,val_1,val,forecast/rmse,0.4822292792860578,206,124
0.7,val_1,val,forecast/mae,0.4226396679878235,206,124
0.7,val_2,val,forecast/mse,0.20140273869037628,206,124
0.7,val_2,val,forecast/rmse,0.44877916472400575,206,124
0.7,val_2,val,forecast/mae,0.3984430432319641,206,124
0.7,val_base,val,forecast/mse,0.13588689267635345,711,124
0.7,val_base,val,forecast/rmse,0.36862839374681033,711,124
0.7,val_base,val,forecast/mae,0.3104058504104614,711,124
0.8,test,test,forecast/mse,0.5594092011451721,1470,124
0.8,test,test,forecast/rmse,0.7479366290971262,1470,124
0.8,test,test,forecast/mae,0.5898904800415039,1470,124
0.8,val_0,val,forecast/mse,0.05723952129483223,206,124
0.8,val_0,val,forecast/rmse,0.23924782401274255,206,124
0.8,val_0,val,forecast/mae,0.20290499925613403,206,124
0.8,val_1,val,forecast/mse,0.2884039580821991,206,124
0.8,val_1,val,forecast/rmse,0.5370325484383597,206,124
0.8,val_1,val,forecast/mae,0.4705042243003845,206,124
0.8,val_2,val,forecast/mse,0.167863130569458,206,124
0.8,val_2,val,forecast/rmse,0.40971103300919054,206,124
0.8,val_2,val,forecast/mae,0.3586084246635437,206,124
0.8,val_base,val,forecast/mse,0.14940129220485687,711,124
0.8,val_base,val,forecast/rmse,0.3865246333739376,711,124
0.8,val_base,val,forecast/mae,0.3252350389957428,711,124
0.9,test,test,forecast/mse,0.6466779112815857,1470,124
0.9,test,test,forecast/rmse,0.8041628636548604,1470,124
0.9,test,test,forecast/mae,0.6288231015205383,1470,124
0.9,val_0,val,forecast/mse,0.07985694706439972,206,124
0.9,val_0,val,forecast/rmse,0.2825897150718683,206,124
0.9,val_0,val,forecast/mae,0.24004393815994263,206,124
0.9,val_1,val,forecast/mse,0.344849556684494,206,124
0.9,val_1,val,forecast/rmse,0.5872389264043163,206,124
0.9,val_1,val,forecast/mae,0.5131044387817383,206,124
0.9,val_2,val,forecast/mse,0.14372873306274414,206,124
0.9,val_2,val,forecast/rmse,0.3791157251588809,206,124
0.9,val_2,val,forecast/mae,0.32725128531455994,206,124
0.9,val_base,val,forecast/mse,0.16476692259311676,711,124
0.9,val_base,val,forecast/rmse,0.40591492038740923,711,124
0.9,val_base,val,forecast/mae,0.3411445617675781,711,124
1.0,test,test,forecast/mse,0.7349669933319092,1470,124
1.0,test,test,forecast/rmse,0.8573021598782481,1470,124
1.0,test,test,forecast/mae,0.6663531064987183,1470,124
1.0,val_0,val,forecast/mse,0.10828901827335358,206,124
1.0,val_0,val,forecast/rmse,0.3290729680076344,206,124
1.0,val_0,val,forecast/mae,0.2792796492576599,206,124
1.0,val_1,val,forecast/mse,0.4010794460773468,206,124
1.0,val_1,val,forecast/rmse,0.6333083341290772,206,124
1.0,val_1,val,forecast/mae,0.5512648820877075,206,124
1.0,val_2,val,forecast/mse,0.12628990411758423,206,124
1.0,val_2,val,forecast/rmse,0.35537290853072107,206,124
1.0,val_2,val,forecast/mae,0.3033691346645355,206,124
1.0,val_base,val,forecast/mse,0.18193864822387695,711,124
1.0,val_base,val,forecast/rmse,0.4265426687025308,711,124
1.0,val_base,val,forecast/mae,0.3580574691295624,711,124
1.1,test,test,forecast/mse,0.8213594555854797,1470,124
1.1,test,test,forecast/rmse,0.9062888367322416,1470,124
1.1,test,test,forecast/mae,0.7005048990249634,1470,124
1.1,val_0,val,forecast/mse,0.14236722886562347,206,124
1.1,val_0,val,forecast/rmse,0.37731582111756656,206,124
1.1,val_0,val,forecast/mae,0.32008904218673706,206,124
1.1,val_1,val,forecast/mse,0.45691442489624023,206,124
1.1,val_1,val,forecast/rmse,0.6759544547499041,206,124
1.1,val_1,val,forecast/mae,0.5862186551094055,206,124
1.1,val_2,val,forecast/mse,0.11362030357122421,206,124
1.1,val_2,val,forecast/rmse,0.33707610946375927,206,124
1.1,val_2,val,forecast/mae,0.28603142499923706,206,124
1.1,val_base,val,forecast/mse,0.20099124312400818,711,124
1.1,val_base,val,forecast/rmse,0.4483204692226401,711,124
1.1,val_base,val,forecast/mae,0.375885933637619,711,124
1.2,test,test,forecast/mse,0.9043806791305542,1470,124
1.2,test,test,forecast/rmse,0.9509893159918014,1470,124
1.2,test,test,forecast/mae,0.7311286926269531,1470,124
