merge_scale,metric,value,selected
0.0,forecast/mse,0.8494783043861389,0
0.05,forecast/mse,0.6753247976303101,0
0.1,forecast/mse,0.5338912606239319,0
0.15,forecast/mse,0.4431804120540619,0
0.2,forecast/mse,0.4088994562625885,1
0.25,forecast/mse,0.422354519367218,0
0.3,forecast/mse,0.471054345369339,0
0.35,forecast/mse,0.5470332503318787,0
0.4,forecast/mse,0.6463988423347473,0
0.45,forecast/mse,0.7680457830429077,0
0.5,forecast/mse,0.9124948978424072,0
0.55,forecast/mse,1.0785999298095703,0
0.6,forecast/mse,1.263546109199524,0
0.65,forecast/mse,1.4646141529083252,0
0.7,forecast/mse,1.677398443222046,0
0.75,forecast/mse,1.8952624797821045,0
0.8,forecast/mse,2.1097981929779053,0
0.85,forecast/mse,2.316878080368042,0
0.9,forecast/mse,2.516385555267334,0
0.95,forecast/mse,2.708686113357544,0
1.0,forecast/mse,2.896091938018799,0
1.05,forecast/mse,3.075836420059204,0
1.1,forecast/mse,3.2508299350738525,0
1.15,forecast/mse,3.425213575363159,0
1.2,forecast/mse,3.597822666168213,0
1.25,forecast/mse,3.762497663497925,0
1.3,forecast/mse,3.9300284385681152,0
1.35,forecast/mse,4.100599765777588,0
1.4,forecast/mse,4.26793909072876,0
1.45,forecast/mse,4.426785945892334,0
1.5,forecast/mse,4.5834527015686035,0
